"Statistic Label","Year","HSE Regions","Sex","Age Group","UNIT","VALUE"
"Percentage of Individuals","2022","Dublin and Midlands","Female","50 - 54 years","%","6.5"
"Percentage of Individuals","2022","Dublin and Midlands","Female","55 - 59 years","%","5.6"
"Percentage of Individuals","2022","Dublin and Midlands","Female","60 - 64 years","%","4.8"
"Percentage of Individuals","2022","Dublin and Midlands","Female","65 - 69 years","%","4"
"Percentage of Individuals","2022","Dublin and Midlands","Female","70 - 74 years","%","3.5"
"Percentage of Individuals","2022","Dublin and Midlands","Female","75 - 79 years","%","2.7"
"Percentage of Individuals","2022","Dublin and Midlands","Female","80 - 84 years","%","1.8"
"Percentage of Individuals","2022","Dublin and Midlands","Female","85 years and over","%","1.8"
"Percentage of Individuals","2022","Dublin and South East","Male","All ages","%","100"
"Percentage of Individuals","2022","Dublin and South East","Male","0 - 4 years","%","5.7"
"Percentage of Individuals","2022","Dublin and South East","Male","5 - 9 years","%","6.8"
"Percentage of Individuals","2022","Dublin and South East","Male","10 - 14 years","%","7.4"
"Percentage of Individuals","2022","Dublin and South East","Male","15 - 19 years","%","6.7"
"Percentage of Individuals","2022","Dublin and South East","Male","20 - 24 years","%","5.9"
"Percentage of Individuals","2022","Dublin and South East","Male","25 - 29 years","%","5.6"
"Percentage of Individuals","2022","Dublin and South East","Male","30 - 34 years","%","6.1"
"Percentage of Individuals","2022","Dublin and South East","Male","35 - 39 years","%","6.8"
"Percentage of Individuals","2022","Dublin and South East","Male","40 - 44 years","%","7.7"
"Percentage of Individuals","2022","Dublin and South East","Male","45 - 49 years","%","7.2"
"Percentage of Individuals","2022","Dublin and South East","Male","50 - 54 years","%","6.7"
"Percentage of Individuals","2022","Dublin and South East","Male","55 - 59 years","%","6.2"
"Percentage of Individuals","2022","Dublin and South East","Male","60 - 64 years","%","5.6"
"Percentage of Individuals","2022","Dublin and South East","Male","65 - 69 years","%","4.9"
"Percentage of Individuals","2022","Dublin and South East","Male","70 - 74 years","%","4.1"
"Percentage of Individuals","2022","Dublin and South East","Male","75 - 79 years","%","3.2"
"Percentage of Individuals","2022","Dublin and South East","Male","80 - 84 years","%","2"
"Percentage of Individuals","2022","Dublin and South East","Male","85 years and over","%","1.5"
"Percentage of Individuals","2022","Dublin and South East","Female","All ages","%","100"
"Percentage of Individuals","2022","Dublin and South East","Female","0 - 4 years","%","5.6"
"Percentage of Individuals","2022","Dublin and South East","Female","5 - 9 years","%","6.5"
"Percentage of Individuals","2022","Dublin and South East","Female","10 - 14 years","%","7.1"
"Percentage of Individuals","2022","Dublin and South East","Female","15 - 19 years","%","6.4"
"Percentage of Individuals","2022","Dublin and South East","Female","20 - 24 years","%","6.1"
"Percentage of Individuals","2022","Dublin and South East","Female","25 - 29 years","%","6.4"
"Percentage of Individuals","2022","Dublin and South East","Female","30 - 34 years","%","7.3"
"Percentage of Individuals","2022","Dublin and South East","Female","35 - 39 years","%","8.2"
"Percentage of Individuals","2022","Dublin and South East","Female","40 - 44 years","%","8.4"
"Percentage of Individuals","2022","Dublin and South East","Female","45 - 49 years","%","7.2"
"Percentage of Individuals","2022","Dublin and South East","Female","50 - 54 years","%","6.3"
"Percentage of Individuals","2022","Dublin and South East","Female","55 - 59 years","%","5.6"
"Percentage of Individuals","2022","Dublin and South East","Female","60 - 64 years","%","4.9"
"Percentage of Individuals","2022","Dublin and South East","Female","65 - 69 years","%","4.4"
"Percentage of Individuals","2022","Dublin and South East","Female","70 - 74 years","%","3.6"
"Percentage of Individuals","2022","Dublin and South East","Female","75 - 79 years","%","2.6"
"Percentage of Individuals","2022","Dublin and South East","Female","80 - 84 years","%","1.6"
"Percentage of Individuals","2022","Dublin and South East","Female","85 years and over","%","1.6"
"Percentage of Individuals","2022","South West","Male","All ages","%","100"
"Percentage of Individuals","2022","South West","Male","0 - 4 years","%","5.7"
"Percentage of Individuals","2022","South West","Male","5 - 9 years","%","6.7"
"Percentage of Individuals","2022","South West","Male","10 - 14 years","%","7.3"
"Percentage of Individuals","2022","South West","Male","15 - 19 years","%","6.7"
"Percentage of Individuals","2022","South West","Male","20 - 24 years","%","5.9"
"Percentage of Individuals","2022","South West","Male","25 - 29 years","%","5.5"
"Percentage of Individuals","2022","South West","Male","30 - 34 years","%","5.9"
"Percentage of Individuals","2022","South West","Male","35 - 39 years","%","6.9"
"Percentage of Individuals","2022","South West","Male","40 - 44 years","%","7.8"
"Percentage of Individuals","2022","South West","Male","45 - 49 years","%","7.4"
"Percentage of Individuals","2022","South West","Male","50 - 54 years","%","6.8"
"Percentage of Individuals","2022","South West","Male","55 - 59 years","%","6.3"
"Percentage of Individuals","2022","South West","Male","60 - 64 years","%","5.6"
"Percentage of Individuals","2022","South West","Male","65 - 69 years","%","4.9"
"Percentage of Individuals","2022","South West","Male","70 - 74 years","%","4.2"
"Percentage of Individuals","2022","South West","Male","75 - 79 years","%","3.1"
"Percentage of Individuals","2022","South West","Male","80 - 84 years","%","1.8"
"Percentage of Individuals","2022","South West","Male","85 years and over","%","1.3"
"Percentage of Individuals","2022","South West","Female","All ages","%","100"
"Percentage of Individuals","2022","South West","Female","0 - 4 years","%","5.3"
"Percentage of Individuals","2022","South West","Female","5 - 9 years","%","6.3"
"Percentage of Individuals","2022","South West","Female","10 - 14 years","%","6.8"
"Percentage of Individuals","2022","South West","Female","15 - 19 years","%","6.2"
"Percentage of Individuals","2022","South West","Female","20 - 24 years","%","5.6"
"Percentage of Individuals","2022","South West","Female","25 - 29 years","%","5.6"
"Percentage of Individuals","2022","South West","Female","30 - 34 years","%","6.3"
"Percentage of Individuals","2022","South West","Female","35 - 39 years","%","7.3"
"Percentage of Individuals","2022","South West","Female","40 - 44 years","%","7.8"
"Percentage of Individuals","2022","South West","Female","45 - 49 years","%","7.1"
"Percentage of Individuals","2022","South West","Female","50 - 54 years","%","6.6"
"Percentage of Individuals","2022","South West","Female","55 - 59 years","%","6.3"
"Percentage of Individuals","2022","South West","Female","60 - 64 years","%","5.6"
"Percentage of Individuals","2022","South West","Female","65 - 69 years","%","4.8"
"Percentage of Individuals","2022","South West","Female","70 - 74 years","%","4.2"
"Percentage of Individuals","2022","South West","Female","75 - 79 years","%","3.4"
"Percentage of Individuals","2022","South West","Female","80 - 84 years","%","2.3"
"Percentage of Individuals","2022","South West","Female","85 years and over","%","2.4"
"Percentage of Individuals","2022","Mid West","Male","All ages","%","100"
"Percentage of Individuals","2022","Mid West","Male","0 - 4 years","%","5.7"
"Percentage of Individuals","2022","Mid West","Male","5 - 9 years","%","6.7"
"Percentage of Individuals","2022","Mid West","Male","10 - 14 years","%","7.4"
"Percentage of Individuals","2022","Mid West","Male","15 - 19 years","%","7"
"Percentage of Individuals","2022","Mid West","Male","20 - 24 years","%","6.1"
"Percentage of Individuals","2022","Mid West","Male","25 - 29 years","%","5.4"
"Percentage of Individuals","2022","Mid West","Male","30 - 34 years","%","5.6"
"Percentage of Individuals","2022","Mid West","Male","35 - 39 years","%","6.7"
"Percentage of Individuals","2022","Mid West","Male","40 - 44 years","%","7.4"
"Percentage of Individuals","2022","Mid West","Male","45 - 49 years","%","7.3"
"Percentage of Individuals","2022","Mid West","Male","50 - 54 years","%","6.8"
"Percentage of Individuals","2022","Mid West","Male","55 - 59 years","%","6.2"
"Percentage of Individuals","2022","Mid West","Male","60 - 64 years","%","5.7"
"Percentage of Individuals","2022","Mid West","Male","65 - 69 years","%","5.1"
"Percentage of Individuals","2022","Mid West","Male","70 - 74 years","%","4.4"
"Percentage of Individuals","2022","Mid West","Male","75 - 79 years","%","3.2"
"Percentage of Individuals","2022","Mid West","Male","80 - 84 years","%","1.9"
"Percentage of Individuals","2022","Mid West","Male","85 years and over","%","1.3"
"Percentage of Individuals","2022","Mid West","Female","All ages","%","100"
"Percentage of Individuals","2022","Mid West","Female","0 - 4 years","%","5.4"
"Percentage of Individuals","2022","Mid West","Female","5 - 9 years","%","6.3"
"Percentage of Individuals","2022","Mid West","Female","10 - 14 years","%","7"
"Percentage of Individuals","2022","Mid West","Female","15 - 19 years","%","6.3"
"Percentage of Individuals","2022","Mid West","Female","20 - 24 years","%","5.7"
"Percentage of Individuals","2022","Mid West","Female","25 - 29 years","%","5.3"
"Percentage of Individuals","2022","Mid West","Female","30 - 34 years","%","6.2"
"Percentage of Individuals","2022","Mid West","Female","35 - 39 years","%","7.5"
"Percentage of Individuals","2022","Mid West","Female","40 - 44 years","%","8"
"Percentage of Individuals","2022","Mid West","Female","45 - 49 years","%","7.3"
"Percentage of Individuals","2022","Mid West","Female","50 - 54 years","%","6.6"
"Percentage of Individuals","2022","Mid West","Female","55 - 59 years","%","6.2"
"Percentage of Individuals","2022","Mid West","Female","60 - 64 years","%","5.6"
"Percentage of Individuals","2022","Mid West","Female","65 - 69 years","%","4.9"
"Percentage of Individuals","2022","Mid West","Female","70 - 74 years","%","4.2"
"Percentage of Individuals","2022","Mid West","Female","75 - 79 years","%","3.3"
"Percentage of Individuals","2022","Mid West","Female","80 - 84 years","%","2.2"
"Percentage of Individuals","2022","Mid West","Female","85 years and over","%","2.1"
"Percentage of Individuals","2022","West and North West","Male","All ages","%","100"
"Percentage of Individuals","2022","West and North West","Male","0 - 4 years","%","5.9"
"Percentage of Individuals","2022","West and North West","Male","5 - 9 years","%","6.9"
"Percentage of Individuals","2022","West and North West","Male","10 - 14 years","%","7.5"
"Percentage of Individuals","2022","West and North West","Male","15 - 19 years","%","6.8"
"Percentage of Individuals","2022","West and North West","Male","20 - 24 years","%","5.6"
"Percentage of Individuals","2022","West and North West","Male","25 - 29 years","%","4.8"
"Percentage of Individuals","2022","West and North West","Male","30 - 34 years","%","5.4"
"Percentage of Individuals","2022","West and North West","Male","35 - 39 years","%","6.6"
"Percentage of Individuals","2022","West and North West","Male","40 - 44 years","%","7.4"
"Percentage of Individuals","2022","West and North West","Male","45 - 49 years","%","7.1"
"Percentage of Individuals","2022","West and North West","Male","50 - 54 years","%","6.8"
