HospitalGroup,Hospital,Region,Year,Quarter,Cancellations
Saolta University Health Care Group,Sligo University Hospital,West and North West,2022,1,902
Saolta University Health Care Group,Sligo University Hospital,West and North West,2022,2,730
Saolta University Health Care Group,Sligo University Hospital,West and North West,2022,3,826
Saolta University Health Care Group,Sligo University Hospital,West and North West,2022,4,928
Saolta University Health Care Group,Sligo University Hospital,West and North West,2023,1,1006
Saolta University Health Care Group,Sligo University Hospital,West and North West,2023,2,991
Saolta University Health Care Group,Sligo University Hospital,West and North West,2023,3,1095
Saolta University Health Care Group,Sligo University Hospital,West and North West,2023,4,1287
Saolta University Health Care Group,Sligo University Hospital,West and North West,2024,1,1142
Saolta University Health Care Group,Sligo University Hospital,West and North West,2024,2,925
Saolta University Health Care Group,Sligo University Hospital,West and North West,2024,3,714
Saolta University Health Care Group,Sligo University Hospital,West and North West,2024,4,813
