"Statistic Label","Year","HSE Health Regions","UNIT","VALUE"
"Percentage of total population with GP Visit Card","2022","Dublin and North East","%","10"
"Percentage of total population with GP Visit Card","2022","Dublin and Midlands","%","10"
"Percentage of total population with GP Visit Card","2022","Dublin and South East","%","12"
"Percentage of total population with GP Visit Card","2022","South West","%","11"
"Percentage of total population with GP Visit Card","2022","Mid West","%","11"
"Percentage of total population with GP Visit Card","2022","West and North West","%","11"
