week,floor,ceiling,extract_date,weekly_cases,total_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,Total_0_14,Total_15_24,Total_25_44,Total_45_64,Total_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total,disease,ObjectId
2019 W07,2019/02/10 00:00:00+00,2019/02/16 00:00:00+00,2026/05/10 00:00:00+00,91,6531,54,1,5,7,24,4933,48,208,389,951,4.48,0.1,0.37,0.41,2.32,1.45,RSV,333
2020 W14,2020/03/29 00:00:00+00,2020/04/04 00:00:00+00,2026/05/10 00:00:00+00,18,31065,2,4,7,2,2,9761,2021,4947,4964,9354,10.7,3.93,3.54,2.16,6.87,5.17,Influenza,334
2017 W52,2017/12/24 00:00:00+00,2017/12/30 00:00:00+00,2026/05/10 00:00:00+00,98,479,25,5,19,15,34,105,38,90,100,143,5.93,3.52,4.03,5.67,20.87,7.3,Influenza,335
2017 W52,2017/12/24 00:00:00+00,2017/12/30 00:00:00+00,2026/05/10 00:00:00+00,115,1530,95,0,3,5,12,1370,7,19,44,89,22.52,0.16,0.42,1.01,3.95,5.41,RSV,336
2019 W08,2019/02/17 00:00:00+00,2019/02/23 00:00:00+00,2026/05/10 00:00:00+00,698,17815,314,40,120,120,103,5082,969,2959,3275,5520,27.99,6.51,8.79,10,20.87,14.41,Influenza,337
2020 W14,2020/03/29 00:00:00+00,2020/04/04 00:00:00+00,2026/05/10 00:00:00+00,2,11183,2,0,0,0,0,8433,118,379,675,1573,0.79,0.16,0.02,0.28,0.52,0.33,RSV,338
2018 W01,2017/12/31 00:00:00+00,2018/01/06 00:00:00+00,2026/05/10 00:00:00+00,844,1323,110,53,123,171,387,215,91,213,271,530,7.87,7.08,7.83,11.19,42.29,13.79,Influenza,339
2019 W08,2019/02/17 00:00:00+00,2019/02/23 00:00:00+00,2026/05/10 00:00:00+00,52,6583,37,0,1,3,11,4970,48,209,392,962,3.52,0.05,0.19,0.31,1.8,1.1,RSV,340
2018 W01,2017/12/31 00:00:00+00,2018/01/06 00:00:00+00,2026/05/10 00:00:00+00,401,1931,313,1,9,24,54,1683,8,28,68,143,18.6,0.26,0.89,1.6,6.57,5.33,RSV,341
2020 W15,2020/04/05 00:00:00+00,2020/04/11 00:00:00+00,2026/05/10 00:00:00+00,4510,9359,55,304,1665,1599,886,114,585,3365,3188,2099,6.52,42.44,101.4,109.3,125.29,80.99,COVID-19,342
2019 W09,2019/02/24 00:00:00+00,2019/03/02 00:00:00+00,2026/05/10 00:00:00+00,498,18313,114,33,95,96,160,5196,1002,3054,3371,5680,18.08,4.91,6.12,6.49,13.7,9.56,Influenza,343
2018 W02,2018/01/07 00:00:00+00,2018/01/13 00:00:00+00,2026/05/10 00:00:00+00,1188,2511,104,79,192,248,564,319,170,405,519,1094,14.59,10.03,11.27,16.91,60.11,20.57,Influenza,344
2020 W15,2020/04/05 00:00:00+00,2020/04/11 00:00:00+00,2026/05/10 00:00:00+00,43,31108,23,3,11,2,4,9784,2024,4958,4966,9358,0.89,0.41,0.54,0.13,0.3,0.46,Influenza,345
2019 W09,2019/02/24 00:00:00+00,2019/03/02 00:00:00+00,2026/05/10 00:00:00+00,27,6610,16,0,2,2,7,4986,48,211,394,969,2.37,0,0.09,0.13,1.29,0.72,RSV,346
2018 W02,2018/01/07 00:00:00+00,2018/01/13 00:00:00+00,2026/05/10 00:00:00+00,307,2238,157,4,26,33,87,1840,12,54,101,230,18.84,0.41,1.01,2.09,9.02,5.92,RSV,347
2020 W15,2020/04/05 00:00:00+00,2020/04/11 00:00:00+00,2026/05/10 00:00:00+00,14,11197,5,1,0,3,5,8438,119,379,678,1578,0.26,0.05,0,0.08,0.21,0.11,RSV,348
2019 W10,2019/03/03 00:00:00+00,2019/03/09 00:00:00+00,2026/05/10 00:00:00+00,281,18594,121,22,46,36,56,5317,1024,3100,3407,5736,9.62,3.57,4.1,4.2,11.08,6.2,Influenza,349
2018 W03,2018/01/14 00:00:00+00,2018/01/20 00:00:00+00,2026/05/10 00:00:00+00,1145,3656,229,62,166,237,449,548,232,571,756,1543,17.91,9.56,11.93,17.45,59.51,21.39,Influenza,350
2020 W16,2020/04/12 00:00:00+00,2020/04/18 00:00:00+00,2026/05/10 00:00:00+00,5598,14957,126,404,1871,1872,1323,240,989,5236,5060,3422,7.31,48.8,106.6,113.48,161.1,89.81,COVID-19,351
2019 W10,2019/03/03 00:00:00+00,2019/03/09 00:00:00+00,2026/05/10 00:00:00+00,32,6642,19,0,1,0,12,5005,48,212,394,981,1.58,0,0.16,0.1,0.94,0.52,RSV,352
2018 W03,2018/01/14 00:00:00+00,2018/01/20 00:00:00+00,2026/05/10 00:00:00+00,206,2444,102,3,8,24,69,1942,15,62,125,299,10.9,0.41,0.94,1.98,9.1,4.32,RSV,353
2020 W16,2020/04/12 00:00:00+00,2020/04/18 00:00:00+00,2026/05/10 00:00:00+00,10,31118,2,1,5,1,1,9786,2025,4963,4967,9359,0.86,0.21,0.37,0.1,0.26,0.36,Influenza,354
2018 W04,2018/01/21 00:00:00+00,2018/01/27 00:00:00+00,2026/05/10 00:00:00+00,971,4627,211,44,151,192,373,759,276,722,948,1916,22.46,7.6,10.85,15.75,51.14,20.05,Influenza,355
2020 W16,2020/04/12 00:00:00+00,2020/04/18 00:00:00+00,2026/05/10 00:00:00+00,1,11198,1,0,0,0,0,8439,119,379,678,1578,0.2,0.05,0,0.08,0.21,0.1,RSV,356
2018 W04,2018/01/21 00:00:00+00,2018/01/27 00:00:00+00,2026/05/10 00:00:00+00,155,2599,72,1,6,20,56,2014,16,68,145,355,7.18,0.26,0.42,1.39,6.74,2.93,RSV,357
2020 W17,2020/04/19 00:00:00+00,2020/04/25 00:00:00+00,2026/05/10 00:00:00+00,3766,18723,41,236,1013,932,1543,281,1225,6249,5992,4965,7.18,45.08,87.22,89.72,154.58,77.02,COVID-19,358
2018 W05,2018/01/28 00:00:00+00,2018/02/03 00:00:00+00,2026/05/10 00:00:00+00,981,5608,242,41,146,182,369,1001,317,868,1130,2285,24.27,6.98,10.55,13.58,44.78,18.73,Influenza,359
2020 W17,2020/04/19 00:00:00+00,2020/04/25 00:00:00+00,2026/05/10 00:00:00+00,3,31121,1,0,0,1,1,9787,2025,4963,4968,9360,0.16,0.1,0.14,0.08,0.09,0.12,Influenza,360
2018 W05,2018/01/28 00:00:00+00,2018/02/03 00:00:00+00,2026/05/10 00:00:00+00,92,2691,44,1,4,10,32,2058,17,72,155,387,5.56,0.1,0.35,0.93,4.68,2.15,RSV,361
2020 W17,2020/04/19 00:00:00+00,2020/04/25 00:00:00+00,2026/05/10 00:00:00+00,0,11198,0,0,0,0,0,8439,119,379,678,1578,0.1,0,0,0,0,0.02,RSV,362
2018 W06,2018/02/04 00:00:00+00,2018/02/10 00:00:00+00,2026/05/10 00:00:00+00,942,6550,284,50,153,153,301,1285,367,1021,1283,2586,27.59,7.86,11.15,13.09,43.07,19.28,Influenza,363
2020 W18,2020/04/26 00:00:00+00,2020/05/02 00:00:00+00,2026/05/10 00:00:00+00,2533,21256,51,232,838,677,734,332,1457,7087,6669,5699,4.51,31.38,57.04,52.27,110.14,50.33,COVID-19,364
2018 W06,2018/02/04 00:00:00+00,2018/02/10 00:00:00+00,2026/05/10 00:00:00+00,85,2776,53,0,5,6,21,2111,17,77,161,408,4.25,0.05,0.28,0.54,2.79,1.48,RSV,365
2020 W18,2020/04/26 00:00:00+00,2020/05/02 00:00:00+00,2026/05/10 00:00:00+00,5,31126,2,1,1,1,0,9789,2026,4964,4969,9360,0.1,0.1,0.02,0.05,0.04,0.06,Influenza,366
2018 W07,2018/02/11 00:00:00+00,2018/02/17 00:00:00+00,2026/05/10 00:00:00+00,1056,7606,312,61,177,173,333,1597,428,1198,1456,2919,26.51,7.96,10.87,12.99,44.18,19.14,Influenza,367
2020 W18,2020/04/26 00:00:00+00,2020/05/02 00:00:00+00,2026/05/10 00:00:00+00,2,11200,2,0,0,0,0,8441,119,379,678,1578,0.07,0,0,0,0,0.01,RSV,368
2018 W07,2018/02/11 00:00:00+00,2018/02/17 00:00:00+00,2026/05/10 00:00:00+00,52,2828,32,0,3,5,12,2143,17,80,166,420,3.49,0.05,0.21,0.34,1.59,1.07,RSV,369
2020 W19,2020/05/03 00:00:00+00,2020/05/09 00:00:00+00,2026/05/10 00:00:00+00,1476,22732,45,139,583,419,288,377,1596,7670,7088,5987,3.92,25.33,46.28,36.31,51.01,33.56,COVID-19,370
2018 W08,2018/02/18 00:00:00+00,2018/02/24 00:00:00+00,2026/05/10 00:00:00+00,959,8565,209,43,134,178,395,1806,471,1332,1634,3314,22.13,6.82,9.91,11.57,38.94,16.72,Influenza,371
2020 W19,2020/05/03 00:00:00+00,2020/05/09 00:00:00+00,2026/05/10 00:00:00+00,1,31127,0,1,0,0,0,9789,2027,4964,4969,9360,0.07,0.16,0.07,0.03,0,0.06,Influenza,372
2018 W08,2018/02/18 00:00:00+00,2018/02/24 00:00:00+00,2026/05/10 00:00:00+00,29,2857,21,1,1,2,4,2164,18,81,168,424,2.11,0.05,0.09,0.23,1.2,0.69,RSV,373
2020 W19,2020/05/03 00:00:00+00,2020/05/09 00:00:00+00,2026/05/10 00:00:00+00,0,11200,0,0,0,0,0,8441,119,379,678,1578,0.07,0,0,0.03,0.04,0.03,RSV,374
2018 W09,2018/02/25 00:00:00+00,2018/03/03 00:00:00+00,2026/05/10 00:00:00+00,568,9133,151,28,112,98,179,1957,499,1444,1732,3493,17.02,5.64,8.23,9.82,35.25,14.11,Influenza,375
2020 W20,2020/05/10 00:00:00+00,2020/05/16 00:00:00+00,2026/05/10 00:00:00+00,1175,23907,23,119,554,313,166,400,1715,8224,7401,6153,3.42,17.27,31.68,22.47,23.96,20.86,COVID-19,376
2018 W09,2018/02/25 00:00:00+00,2018/03/03 00:00:00+00,2026/05/10 00:00:00+00,25,2882,11,0,0,2,12,2175,18,81,170,436,1.98,0.05,0.05,0.21,1.16,0.63,RSV,377
2020 W20,2020/05/10 00:00:00+00,2020/05/16 00:00:00+00,2026/05/10 00:00:00+00,3,31130,0,1,2,0,0,9789,2028,4966,4969,9360,0,0.16,0.05,0.03,0,0.04,Influenza,378
2018 W10,2018/03/04 00:00:00+00,2018/03/10 00:00:00+00,2026/05/10 00:00:00+00,652,9785,157,38,105,105,247,2114,537,1549,1837,3740,14.79,4.65,7.94,7.5,28.64,11.89,Influenza,379
2020 W20,2020/05/10 00:00:00+00,2020/05/16 00:00:00+00,2026/05/10 00:00:00+00,2,11202,0,0,0,1,1,8441,119,379,679,1579,0,0,0,0.03,0.04,0.01,RSV,380
2018 W10,2018/03/04 00:00:00+00,2018/03/10 00:00:00+00,2026/05/10 00:00:00+00,44,2926,28,0,1,4,11,2203,18,82,174,447,1.81,0.05,0.07,0.21,1.63,0.68,RSV,381
2020 W21,2020/05/17 00:00:00+00,2020/05/23 00:00:00+00,2026/05/10 00:00:00+00,571,24478,36,76,215,140,104,436,1791,8439,7541,6257,2.77,11.79,21.16,14.87,15.67,13.96,COVID-19,382
2018 W11,2018/03/11 00:00:00+00,2018/03/17 00:00:00+00,2026/05/10 00:00:00+00,616,10401,141,24,122,88,241,2255,561,1671,1925,3981,12.08,4.08,6.73,6.88,24.99,10.24,Influenza,383
2020 W21,2020/05/17 00:00:00+00,2020/05/23 00:00:00+00,2026/05/10 00:00:00+00,2,31132,0,1,0,1,0,9789,2029,4966,4970,9360,0.03,0.1,0.05,0.03,0,0.04,Influenza,384
2018 W11,2018/03/11 00:00:00+00,2018/03/17 00:00:00+00,2026/05/10 00:00:00+00,36,2962,16,1,2,2,15,2219,19,84,176,462,1.71,0.05,0.09,0.23,1.46,0.65,RSV,385
2020 W21,2020/05/17 00:00:00+00,2020/05/23 00:00:00+00,2026/05/10 00:00:00+00,0,11202,0,0,0,0,0,8441,119,379,679,1579,0,0,0,0.03,0.09,0.02,RSV,386
2018 W12,2018/03/18 00:00:00+00,2018/03/24 00:00:00+00,2026/05/10 00:00:00+00,314,10715,69,17,60,74,94,2324,578,1731,1999,4075,9.94,2.79,5.46,5.21,18.21,7.87,Influenza,387
2020 W22,2020/05/24 00:00:00+00,2020/05/30 00:00:00+00,2026/05/10 00:00:00+00,411,24889,25,33,134,124,95,461,1824,8573,7665,6352,2.63,7.34,9.7,8.66,10.39,7.86,COVID-19,388
2018 W12,2018/03/18 00:00:00+00,2018/03/24 00:00:00+00,2026/05/10 00:00:00+00,20,2982,8,0,1,3,8,2227,19,85,179,470,1.38,0.05,0.07,0.13,1.25,0.52,RSV,389
2020 W22,2020/05/24 00:00:00+00,2020/05/30 00:00:00+00,2026/05/10 00:00:00+00,1,31133,1,0,0,0,0,9790,2029,4966,4970,9360,0.03,0.05,0,0.03,0,0.02,Influenza,390
2020 W22,2020/05/24 00:00:00+00,2020/05/30 00:00:00+00,2026/05/10 00:00:00+00,1,11203,0,0,0,0,1,8441,119,379,679,1580,0,0,0,0,0.04,0.01,RSV,391
2020 W23,2020/05/31 00:00:00+00,2020/06/06 00:00:00+00,2026/05/10 00:00:00+00,232,25121,19,33,65,72,43,480,1857,8638,7737,6395,1.75,4.19,5.51,5.7,7,4.87,COVID-19,392
2020 W23,2020/05/31 00:00:00+00,2020/06/06 00:00:00+00,2026/05/10 00:00:00+00,0,31133,0,0,0,0,0,9790,2029,4966,4970,9360,0.03,0,0,0,0,0.01,Influenza,393
2020 W23,2020/05/31 00:00:00+00,2020/06/06 00:00:00+00,2026/05/10 00:00:00+00,0,11203,0,0,0,0,0,8441,119,379,679,1580,0,0,0,0,0.04,0.01,RSV,394
2020 W24,2020/06/07 00:00:00+00,2020/06/13 00:00:00+00,2026/05/10 00:00:00+00,110,25231,9,15,36,25,25,489,1872,8674,7762,6420,1.15,3,3.14,3.14,3.78,2.83,COVID-19,395
2020 W24,2020/06/07 00:00:00+00,2020/06/13 00:00:00+00,2026/05/10 00:00:00+00,0,31133,0,0,0,0,0,9790,2029,4966,4970,9360,0,0,0,0,0,0,Influenza,396
2020 W24,2020/06/07 00:00:00+00,2020/06/13 00:00:00+00,2026/05/10 00:00:00+00,0,11203,0,0,0,0,0,8441,119,379,679,1580,0,0,0,0,0,0,RSV,397
2020 W25,2020/06/14 00:00:00+00,2020/06/20 00:00:00+00,2026/05/10 00:00:00+00,95,25326,7,10,33,25,20,496,1882,8707,7787,6440,0.59,1.71,2.25,1.65,2.36,1.72,COVID-19,398
2020 W25,2020/06/14 00:00:00+00,2020/06/20 00:00:00+00,2026/05/10 00:00:00+00,0,31133,0,0,0,0,0,9790,2029,4966,4970,9360,0.23,0,0.07,0.05,0,0.08,Influenza,399
2020 W25,2020/06/14 00:00:00+00,2020/06/20 00:00:00+00,2026/05/10 00:00:00+00,0,11203,0,0,0,0,0,8441,119,379,679,1580,0,0,0,0,0.04,0.01,RSV,400
2022 W04,2022/01/23 00:00:00+00,2022/01/29 00:00:00+00,2026/05/10 00:00:00+00,7,31220,1,2,2,1,1,9808,2046,4992,4981,9375,0.07,0.62,0.14,0.05,0.04,0.15,Influenza,401
2022 W04,2022/01/23 00:00:00+00,2022/01/29 00:00:00+00,2026/05/10 00:00:00+00,76,15839,43,2,11,2,18,12123,216,663,881,1944,2.77,0.16,0.61,0.21,1.59,1.02,RSV,402
2022 W05,2022/01/30 00:00:00+00,2022/02/05 00:00:00+00,2026/05/10 00:00:00+00,36332,1228619,7010,5508,13296,8331,2185,220169,222510,436362,260655,88833,1490.62,1315.45,1692.56,1165.1,584.77,1306.16,COVID-19,403
2022 W05,2022/01/30 00:00:00+00,2022/02/05 00:00:00+00,2026/05/10 00:00:00+00,13,31233,0,9,3,1,0,9808,2055,4995,4982,9375,0.03,1.65,0.23,0.15,0.34,0.37,Influenza,404
2022 W05,2022/01/30 00:00:00+00,2022/02/05 00:00:00+00,2026/05/10 00:00:00+00,24,15863,13,0,5,2,4,12136,216,668,883,1948,1.98,0.26,0.4,0.1,1.12,0.73,RSV,405
2022 W06,2022/02/06 00:00:00+00,2022/02/12 00:00:00+00,2026/05/10 00:00:00+00,36361,1264980,6119,4661,13258,9709,2612,226288,227171,449620,270364,91445,605.46,678.85,892.91,701.26,339.47,678.06,COVID-19,406
2022 W06,2022/02/06 00:00:00+00,2022/02/12 00:00:00+00,2026/05/10 00:00:00+00,37,31270,0,21,5,4,7,9808,2076,5000,4986,9382,0.13,3.83,1.08,0.36,1.07,1.06,Influenza,407
2022 W06,2022/02/06 00:00:00+00,2022/02/12 00:00:00+00,2026/05/10 00:00:00+00,12,15875,4,3,1,0,4,12140,219,669,883,1952,0.66,0.16,0.14,0.08,0.47,0.28,RSV,408
2022 W07,2022/02/13 00:00:00+00,2022/02/19 00:00:00+00,2026/05/10 00:00:00+00,32049,1297029,5258,2962,11549,9169,3109,231546,230133,461169,279533,94554,496.07,489.73,787.41,685.56,367.29,603.97,COVID-19,409
2022 W07,2022/02/13 00:00:00+00,2022/02/19 00:00:00+00,2026/05/10 00:00:00+00,113,31383,4,44,38,9,18,9812,2120,5038,4995,9400,0.43,7.34,1.99,1.21,2.23,2.19,Influenza,410
2022 W07,2022/02/13 00:00:00+00,2022/02/19 00:00:00+00,2026/05/10 00:00:00+00,7,15882,3,0,0,1,3,12143,219,669,884,1955,0.36,0.16,0.07,0.03,0.39,0.17,RSV,411
2022 W08,2022/02/20 00:00:00+00,2022/02/26 00:00:00+00,2026/05/10 00:00:00+00,24887,1321916,3688,1850,8794,7722,2833,235234,231983,469963,287255,97387,388.1,358.16,664.19,599.15,373.77,511.49,COVID-19,412
2022 W08,2022/02/20 00:00:00+00,2022/02/26 00:00:00+00,2026/05/10 00:00:00+00,189,31572,9,77,42,34,27,9821,2197,5080,5029,9427,1.02,11.37,3.21,1.96,4.21,3.64,Influenza,413
2022 W08,2022/02/20 00:00:00+00,2022/02/26 00:00:00+00,2026/05/10 00:00:00+00,8,15890,4,0,2,0,2,12147,219,671,884,1957,0.3,0,0.07,0.05,0.34,0.14,RSV,414
2022 W09,2022/02/27 00:00:00+00,2022/03/05 00:00:00+00,2026/05/10 00:00:00+00,22076,1343992,2840,2116,8000,6356,2763,238074,234099,477963,293611,100150,376.97,361.11,665.09,580.33,394.64,508.33,COVID-19,415
2022 W09,2022/02/27 00:00:00+00,2022/03/05 00:00:00+00,2026/05/10 00:00:00+00,260,31832,18,99,57,33,53,9839,2296,5137,5062,9480,1.35,13.54,3.68,2.71,7.13,4.73,Influenza,416
2022 W09,2022/02/27 00:00:00+00,2022/03/05 00:00:00+00,2026/05/10 00:00:00+00,7,15897,2,0,1,1,3,12149,219,672,885,1960,0.36,0,0.07,0.05,0.39,0.16,RSV,417
2022 W10,2022/03/06 00:00:00+00,2022/03/12 00:00:00+00,2026/05/10 00:00:00+00,31561,1375553,4920,3019,11587,8439,3595,242994,237118,489550,302050,103745,443.15,404.95,748.58,626.7,452.95,570.37,COVID-19,418
2022 W10,2022/03/06 00:00:00+00,2022/03/12 00:00:00+00,2026/05/10 00:00:00+00,282,32114,14,86,58,38,86,9853,2382,5195,5100,9566,1.94,11.32,3.98,2.42,8.46,4.78,Influenza,419
2022 W10,2022/03/06 00:00:00+00,2022/03/12 00:00:00+00,2026/05/10 00:00:00+00,10,15907,5,0,0,1,4,12154,219,672,886,1964,0.33,0.05,0.02,0.05,0.3,0.14,RSV,420
2022 W11,2022/03/13 00:00:00+00,2022/03/19 00:00:00+00,2026/05/10 00:00:00+00,34471,1410024,5698,2698,12357,9521,4191,248692,239816,501907,311571,107936,547.37,531.56,1023.28,853.83,599.41,761.75,COVID-19,421
2022 W11,2022/03/13 00:00:00+00,2022/03/19 00:00:00+00,2026/05/10 00:00:00+00,197,32311,27,34,55,23,58,9880,2416,5250,5123,9624,2.27,9.62,4.52,3.09,9.79,5.15,Influenza,422
2022 W11,2022/03/13 00:00:00+00,2022/03/19 00:00:00+00,2026/05/10 00:00:00+00,4,15911,3,1,0,0,0,12157,220,672,886,1964,0.4,0.05,0.02,0.05,0.21,0.14,RSV,423
2022 W12,2022/03/20 00:00:00+00,2022/03/26 00:00:00+00,2026/05/10 00:00:00+00,51638,1461662,6005,4565,19722,15169,6174,254697,244381,521629,326740,114110,500.58,511.45,1038.74,899.89,657.42,774.64,COVID-19,424
