Region,Mean,0.42%,99.58%,Sig
HSE South West,0.9177,0.0637,1.7646,Yes
HSE Dublin and North East,0.7937,0.3207,1.2772,Yes
HSE Dublin and South East,0.754,0.2471,1.2713,Yes
HSE Dublin and Midlands,0.604,-0.0589,1.2641,No
HSE West and North West,0.1242,-0.8573,1.09,No
HSE Mid West,-0.437,-1.5354,0.6192,No
