Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,-1.5051,-2.8224,-0.3666,Yes
HSE Dublin and Midlands,HSE Dublin and South East,-1.1503,-2.3088,-0.1143,Yes
HSE Dublin and Midlands,HSE Mid West,0.9737,0.441,1.6115,Yes
HSE Dublin and Midlands,HSE South West,0.5996,-0.002,1.2799,No
HSE Dublin and Midlands,HSE West and North West,0.8446,0.279,1.4958,Yes
HSE Dublin and North East,HSE Dublin and South East,0.3548,-1.0584,1.8166,No
HSE Dublin and North East,HSE Mid West,2.4788,1.4716,3.7001,Yes
HSE Dublin and North East,HSE South West,2.1046,1.0639,3.3425,Yes
HSE Dublin and North East,HSE West and North West,2.3497,1.3498,3.5806,Yes
HSE Dublin and South East,HSE Mid West,2.124,1.2488,3.1744,Yes
HSE Dublin and South East,HSE South West,1.7498,0.8235,2.8182,Yes
HSE Dublin and South East,HSE West and North West,1.9949,1.1068,3.0482,Yes
HSE Mid West,HSE South West,-0.3742,-0.7862,0.0011,No
HSE Mid West,HSE West and North West,-0.1291,-0.461,0.196,No
HSE South West,HSE West and North West,0.2451,-0.1617,0.6716,No
