Region,Mean,0.42%,99.58%,Sig
HSE Dublin and Midlands,0.7482,0.0889,1.4218,Yes
HSE Mid West,0.3337,-0.7665,1.435,No
HSE West and North West,0.3126,-0.6816,1.2979,No
HSE Dublin and North East,0.3016,-0.1823,0.7759,No
HSE South West,0.2903,-0.563,1.1516,No
HSE Dublin and South East,0.2088,-0.302,0.7123,No
