Region,Mean,SD,2.5%,97.5%
HSE Dublin and Midlands,0.604,0.2473,0.1164,1.089
HSE Dublin and North East,0.7937,0.1795,0.4414,1.1494
HSE Dublin and South East,0.754,0.1892,0.3841,1.1289
HSE Mid West,-0.437,0.4036,-1.2371,0.3486
HSE South West,0.9177,0.3177,0.2901,1.5418
HSE West and North West,0.1242,0.3637,-0.6001,0.832
