Region,Mean,SD,2.5%,97.5%
HSE Dublin and Midlands,1.5713,0.1842,1.2335,1.9524
HSE Dublin and North East,3.0764,0.3693,2.3939,3.8382
HSE Dublin and South East,2.7216,0.3196,2.1333,3.3846
HSE Mid West,0.5976,0.0709,0.4674,0.7438
HSE South West,0.9718,0.1132,0.7627,1.2057
HSE West and North West,0.7267,0.0859,0.5683,0.905
