Region,Mean,0.42%,99.58%,Sig
HSE South West,1.0178,0.2353,1.8407,Yes
HSE Dublin and Midlands,0.9945,0.3646,1.6597,Yes
HSE Dublin and North East,0.8682,0.4049,1.3461,Yes
HSE Dublin and South East,0.8059,0.3181,1.3135,Yes
HSE Mid West,0.7173,0.0587,1.7559,Yes
HSE West and North West,0.5502,0.0398,1.4286,Yes
