Region,Mean,SD,2.5%,97.5%
HSE Dublin and Midlands,-0.8907,0.2703,-1.4236,-0.3605
HSE Dublin and North East,-0.3636,0.216,-0.7862,0.0636
HSE Dublin and South East,-0.2707,0.2518,-0.7647,0.226
HSE Mid West,-1.2858,1.9726,-3.071,3.0556
HSE South West,-0.3076,0.3623,-1.0273,0.3973
HSE West and North West,-0.836,1.2956,-2.8333,2.6766
