Region,Mean,0.42%,99.58%,Sig
HSE Dublin and North East,-1.1669,-2.1354,-0.2033,Yes
HSE Mid West,-1.2969,-3.5002,0.9359,No
HSE Dublin and South East,-1.4283,-2.5047,-0.3454,Yes
HSE South West,-1.4587,-3.2676,0.3428,No
HSE Dublin and Midlands,-1.8014,-3.198,-0.3821,Yes
HSE West and North West,-2.0952,-4.0384,-0.1331,Yes
