parameter,Mean,SD,2.5%,97.5%
alpha[1],3.958,0.1832,3.5958,4.3163
alpha[2],2.3318,0.1315,2.0723,2.5917
alpha[3],3.0177,0.14,2.742,3.293
alpha[4],8.1475,0.2996,7.5473,8.7291
alpha[5],4.3935,0.2335,3.9343,4.8508
alpha[6],6.3018,0.2691,5.77,6.8284
beta[1],0.604,0.2473,0.1164,1.089
beta[2],0.7937,0.1795,0.4414,1.1494
beta[3],0.754,0.1892,0.3841,1.1289
beta[4],-0.437,0.4036,-1.2371,0.3486
beta[5],0.9177,0.3177,0.2901,1.5418
beta[6],0.1242,0.3637,-0.6001,0.832
gamma[1],0.7482,0.2502,0.26,1.2436
gamma[2],0.3016,0.1786,-0.0508,0.6527
gamma[3],0.2088,0.1896,-0.1662,0.5799
gamma[4],0.3337,0.408,-0.4683,1.1339
gamma[5],0.2903,0.3184,-0.3364,0.9172
gamma[6],0.3126,0.3685,-0.4123,1.035
tau[1],1.5713,0.1842,1.2335,1.9524
tau[2],3.0764,0.3693,2.3939,3.8382
tau[3],2.7216,0.3196,2.1333,3.3846
tau[4],0.5976,0.0709,0.4674,0.7438
tau[5],0.9718,0.1132,0.7627,1.2057
tau[6],0.7267,0.0859,0.5683,0.905
delta_mid,-3.3411,0.2071,-3.7517,-2.9385
delta_post,0.1203,0.1844,-0.2406,0.4832
delta_pre,-1.4488,0.2147,-1.8688,-1.0303
phi,0.6465,0.0289,0.59,0.7035
sigma_mid,-7.2083,1.4281,-10.0052,-4.4021
sigma_post,-3.679,1.2737,-6.1906,-1.1786
sigma_pre,-4.1896,1.27,-6.6927,-1.6998
