Region,Mean,0.42%,99.58%,Sig
HSE Dublin and North East,3.0764,2.1868,4.134,Yes
HSE Dublin and South East,2.7216,1.9456,3.6373,Yes
HSE Dublin and Midlands,1.5713,1.1283,2.1043,Yes
HSE South West,0.9718,0.6988,1.2965,Yes
HSE West and North West,0.7267,0.5198,0.973,Yes
HSE Mid West,0.5976,0.4282,0.8028,Yes
