Region,Mean,SD,2.5%,97.5%
HSE Dublin and Midlands,3.958,0.1832,3.5958,4.3163
HSE Dublin and North East,2.3318,0.1315,2.0723,2.5917
HSE Dublin and South East,3.0177,0.14,2.742,3.293
HSE Mid West,8.1475,0.2996,7.5473,8.7291
HSE South West,4.3935,0.2335,3.9343,4.8508
HSE West and North West,6.3018,0.2691,5.77,6.8284
