Region,Mean,0.42%,99.58%,Sig
HSE Dublin and North East,-2.4526,-3.3635,-1.5326,Yes
HSE Dublin and South East,-2.8637,-3.8777,-1.8397,Yes
HSE Dublin and Midlands,-3.8961,-5.246,-2.5693,Yes
HSE South West,-4.0881,-5.8027,-2.3879,Yes
HSE West and North West,-4.9347,-6.7776,-3.0706,Yes
HSE Mid West,-5.4625,-7.5527,-3.3472,Yes
