Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,-0.1897,-1.1085,0.7191,No
HSE Dublin and Midlands,HSE Dublin and South East,-0.15,-1.0863,0.7633,No
HSE Dublin and Midlands,HSE Mid West,1.041,-0.3338,2.4694,No
HSE Dublin and Midlands,HSE South West,-0.3138,-1.5192,0.9035,No
HSE Dublin and Midlands,HSE West and North West,0.4798,-0.8357,1.7796,No
HSE Dublin and North East,HSE Dublin and South East,0.0397,-0.7255,0.8049,No
HSE Dublin and North East,HSE Mid West,1.2308,-0.0446,2.5663,No
HSE Dublin and North East,HSE South West,-0.124,-1.2062,0.9775,No
HSE Dublin and North East,HSE West and North West,0.6695,-0.5044,1.9019,No
HSE Dublin and South East,HSE Mid West,1.191,-0.1106,2.5499,No
HSE Dublin and South East,HSE South West,-0.1638,-1.2624,0.9431,No
HSE Dublin and South East,HSE West and North West,0.6298,-0.5601,1.8773,No
HSE Mid West,HSE South West,-1.3548,-2.8904,0.1674,No
HSE Mid West,HSE West and North West,-0.5613,-2.2063,1.0313,No
HSE South West,HSE West and North West,0.7935,-0.6335,2.236,No
