Region,Mean,SD,2.5%,97.5%
HSE Dublin and Midlands,0.7482,0.2502,0.26,1.2436
HSE Dublin and North East,0.3016,0.1786,-0.0508,0.6527
HSE Dublin and South East,0.2088,0.1896,-0.1662,0.5799
HSE Mid West,0.3337,0.408,-0.4683,1.1339
HSE South West,0.2903,0.3184,-0.3364,0.9172
HSE West and North West,0.3126,0.3685,-0.4123,1.035
