Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,1.6262,0.9577,2.2877,Yes
HSE Dublin and Midlands,HSE Dublin and South East,0.9403,0.2496,1.6266,Yes
HSE Dublin and Midlands,HSE Mid West,-4.1895,-5.2258,-3.1253,Yes
HSE Dublin and Midlands,HSE South West,-0.4355,-1.3312,0.4415,No
HSE Dublin and Midlands,HSE West and North West,-2.3438,-3.3151,-1.3692,Yes
HSE Dublin and North East,HSE Dublin and South East,-0.6859,-1.2559,-0.1078,Yes
HSE Dublin and North East,HSE Mid West,-5.8157,-6.7684,-4.8123,Yes
HSE Dublin and North East,HSE South West,-2.0617,-2.8505,-1.2416,Yes
HSE Dublin and North East,HSE West and North West,-3.97,-4.873,-3.0447,Yes
HSE Dublin and South East,HSE Mid West,-5.1298,-6.0971,-4.1204,Yes
HSE Dublin and South East,HSE South West,-1.3758,-2.1839,-0.5406,Yes
HSE Dublin and South East,HSE West and North West,-3.2841,-4.1967,-2.3526,Yes
HSE Mid West,HSE South West,3.754,2.5746,4.8633,Yes
HSE Mid West,HSE West and North West,1.8457,0.6256,3.0291,Yes
HSE South West,HSE West and North West,-1.9083,-2.9659,-0.8374,Yes
