Region,time,residual
HSE Dublin and South East,138,-0.153
HSE Mid West,138,2.0979
HSE South West,138,-5.5674
HSE West and North West,138,3.1856
HSE Dublin and Midlands,139,-2.4678
HSE Dublin and North East,139,-1.0526
HSE Dublin and South East,139,0.6494
HSE Mid West,139,-0.3923
HSE South West,139,0.0267
HSE West and North West,139,2.443
HSE Dublin and Midlands,140,0.928
HSE Dublin and North East,140,-1.9398
HSE Dublin and South East,140,-7.2488
HSE Mid West,140,4.2596
HSE South West,140,-1.6226
HSE West and North West,140,5.0226
HSE Dublin and Midlands,141,0.4685
HSE Dublin and North East,141,-6.8848
HSE Dublin and South East,141,-0.5386
HSE Mid West,141,3.0112
HSE South West,141,1.7986
HSE West and North West,141,5.1689
HSE Dublin and Midlands,142,-6.2518
HSE Dublin and North East,142,-3.3999
HSE Dublin and South East,142,-3.1833
HSE Mid West,142,3.9953
HSE South West,142,1.7617
HSE West and North West,142,5.5482
HSE Dublin and Midlands,143,-1.5569
HSE Dublin and North East,143,-3.73
HSE Dublin and South East,143,-0.0469
HSE Mid West,143,6.187
HSE South West,143,1.007
HSE West and North West,143,1.8166
HSE Dublin and Midlands,144,-4.2313
HSE Dublin and North East,144,-2.5759
HSE Dublin and South East,144,-0.3226
HSE Mid West,144,6.2104
HSE South West,144,-4.3154
HSE West and North West,144,-0.9957
HSE Dublin and Midlands,145,-0.8248
HSE Dublin and North East,145,-0.2828
HSE Dublin and South East,145,-0.0785
HSE Mid West,145,1.7766
HSE South West,145,1.5258
HSE West and North West,145,-0.0267
HSE Dublin and Midlands,146,1.6005
HSE Dublin and North East,146,-2.3212
HSE Dublin and South East,146,-7.1262
HSE Mid West,146,3.0631
HSE South West,146,-0.5237
HSE West and North West,146,3.6089
HSE Dublin and Midlands,147,-0.4412
HSE Dublin and North East,147,-6.7931
HSE Dublin and South East,147,-0.978
HSE Mid West,147,-1.9431
HSE South West,147,2.6727
HSE West and North West,147,2.3931
HSE Dublin and Midlands,148,-6.4451
HSE Dublin and North East,148,-4.5256
HSE Dublin and South East,148,-1.6945
HSE Mid West,148,-0.0993
HSE South West,148,3.0937
HSE West and North West,148,1.3924
HSE Dublin and Midlands,149,-0.5233
HSE Dublin and North East,149,-4.124
HSE Dublin and South East,149,-1.366
HSE Mid West,149,1.1069
HSE South West,149,3.0705
HSE West and North West,149,-0.6212
HSE Dublin and Midlands,150,-3.7996
HSE Dublin and North East,150,-3.8709
HSE Dublin and South East,150,2.5768
HSE Mid West,150,0.9506
HSE South West,150,-2.8484
HSE West and North West,150,0.6463
HSE Dublin and Midlands,151,-1.1269
HSE Dublin and North East,151,-1.1533
HSE Dublin and South East,151,1.8009
HSE Mid West,151,-4.9925
HSE South West,151,0.0236
HSE West and North West,151,-0.7932
