Region,Mean,0.42%,99.58%,Sig
HSE West and North West,1.5841,-0.0929,3.2564,No
HSE South West,0.5024,-1.0307,2.0424,No
HSE Mid West,0.0977,-1.8103,1.9896,No
HSE Dublin and South East,0.0607,-0.861,0.9759,No
HSE Dublin and Midlands,-0.0512,-1.264,1.169,No
HSE Dublin and North East,-0.2074,-1.0327,0.6125,No
