Region,Mean,0.42%,99.58%,Sig
HSE Mid West,8.1475,7.3213,8.9278,Yes
HSE West and North West,6.3018,5.5683,7.0246,Yes
HSE South West,4.3935,3.7624,5.0169,Yes
HSE Dublin and Midlands,3.958,3.4681,4.4493,Yes
HSE Dublin and South East,3.0177,2.6446,3.3982,Yes
HSE Dublin and North East,2.3318,1.979,2.6928,Yes
