Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,0.1263,-0.7584,1.034,No
HSE Dublin and Midlands,HSE Dublin and South East,0.1886,-0.711,1.1033,No
HSE Dublin and Midlands,HSE Mid West,0.2772,-1.0572,1.3744,No
HSE Dublin and Midlands,HSE South West,-0.0233,-1.1941,1.1055,No
HSE Dublin and Midlands,HSE West and North West,0.4443,-0.7565,1.4245,No
HSE Dublin and North East,HSE Dublin and South East,0.0623,-0.6959,0.8092,No
HSE Dublin and North East,HSE Mid West,0.1509,-1.1156,1.0997,No
HSE Dublin and North East,HSE South West,-0.1496,-1.2037,0.8599,No
HSE Dublin and North East,HSE West and North West,0.318,-0.7852,1.1377,No
HSE Dublin and South East,HSE Mid West,0.0886,-1.1918,1.0532,No
HSE Dublin and South East,HSE South West,-0.2119,-1.2747,0.8259,No
HSE Dublin and South East,HSE West and North West,0.2556,-0.8614,1.0942,No
HSE Mid West,HSE South West,-0.3005,-1.5356,1.1626,No
HSE Mid West,HSE West and North West,0.1671,-1.0902,1.5075,No
HSE South West,HSE West and North West,0.4675,-0.8322,1.6143,No
