Region,Mean,0.42%,99.58%,Sig
HSE Dublin and South East,-0.2707,-0.9784,0.4326,No
HSE South West,-0.3076,-1.388,0.7704,No
HSE Dublin and North East,-0.3636,-0.9625,0.2302,No
HSE West and North West,-0.836,-3.0805,3.0771,No
HSE Dublin and Midlands,-0.8907,-1.6511,-0.1296,Yes
HSE Mid West,-1.2858,-3.1299,3.1269,No
