"time","Region","fitted"
23,"HSE Mid West",8.69029879244713
23,"HSE South West",4.60756462235662
23,"HSE West and North West",6.79472821340935
24,"HSE Dublin and Midlands",3.89245753877744
24,"HSE Dublin and North East",1.65701033950186
24,"HSE Dublin and South East",2.06652633288853
24,"HSE Mid West",8.00515958227566
24,"HSE South West",3.51334146523746
24,"HSE West and North West",5.91180473472977
25,"HSE Dublin and Midlands",3.23072212848025
25,"HSE Dublin and North East",0.866846946345274
25,"HSE Dublin and South East",2.18140914124975
25,"HSE Mid West",8.11795387451808
25,"HSE South West",2.77179513331034
25,"HSE West and North West",6.53371944969945
26,"HSE Dublin and Midlands",4.02490619705475
26,"HSE Dublin and North East",0.814675051055431
26,"HSE Dublin and South East",2.55840150215178
26,"HSE Mid West",7.83006591878821
26,"HSE South West",3.71140553902472
26,"HSE West and North West",6.73982940126576
27,"HSE Dublin and Midlands",4.0942424741023
27,"HSE Dublin and North East",1.11126768184276
27,"HSE Dublin and South East",2.17769733617
27,"HSE Mid West",8.21269111342508
27,"HSE South West",3.63993828436518
27,"HSE West and North West",7.26907689968978
28,"HSE Dublin and Midlands",4.44999012862179
28,"HSE Dublin and North East",0.783332324504916
28,"HSE Dublin and South East",2.07275499381623
28,"HSE Mid West",9.1222168819749
28,"HSE South West",2.93182312517455
28,"HSE West and North West",5.87918983582737
29,"HSE Dublin and Midlands",4.40007755063056
29,"HSE Dublin and North East",0.68741133785694
29,"HSE Dublin and South East",2.56987390886232
29,"HSE Mid West",8.67273136507102
29,"HSE South West",2.55871475593409
29,"HSE West and North West",4.88222858257805
30,"HSE Dublin and Midlands",4.09174089643883
30,"HSE Dublin and North East",1.05148491216944
30,"HSE Dublin and South East",2.32272714811203
30,"HSE Mid West",8.43097426565249
30,"HSE South West",3.51002260142354
30,"HSE West and North West",5.9122884978356
31,"HSE Dublin and Midlands",2.62445177356971
31,"HSE Dublin and North East",1.15237686805659
31,"HSE Dublin and South East",2.28982032312302
31,"HSE Mid West",8.36523874026187
31,"HSE South West",3.71725769180191
31,"HSE West and North West",5.91001579075699
32,"HSE Dublin and Midlands",2.79822355561647
32,"HSE Dublin and North East",1.05665748608008
32,"HSE Dublin and South East",2.86528546272803
32,"HSE Mid West",8.81145808032197
32,"HSE South West",4.19643156239511
32,"HSE West and North West",6.11833114536393
33,"HSE Dublin and Midlands",2.82398393672514
33,"HSE Dublin and North East",1.03107569469257
33,"HSE Dublin and South East",2.80463071178186
33,"HSE Mid West",7.97962373148083
33,"HSE South West",4.12701202924769
33,"HSE West and North West",6.61546235305227
34,"HSE Dublin and Midlands",2.88543077488349
34,"HSE Dublin and North East",1.90965333850472
34,"HSE Dublin and South East",2.57668679279845
34,"HSE Mid West",7.85205311862513
34,"HSE South West",2.92911009748805
34,"HSE West and North West",7.21017094449851
35,"HSE Dublin and Midlands",3.80950740949867
35,"HSE Dublin and North East",1.94004406605683
35,"HSE Dublin and South East",2.58225451339995
35,"HSE Mid West",7.3899839645831
35,"HSE South West",3.84729309896664
35,"HSE West and North West",6.45091912847718
36,"HSE Dublin and Midlands",3.43318379691085
36,"HSE Dublin and North East",1.77263798890433
36,"HSE Dublin and South East",2.68497380022066
36,"HSE Mid West",7.68057211128876
36,"HSE South West",5.21394752958841
36,"HSE West and North West",6.22368533183854
37,"HSE Dublin and Midlands",3.62482924241257
37,"HSE Dublin and North East",1.52383921727508
37,"HSE Dublin and South East",2.3949041723918
37,"HSE Mid West",8.30841246596875
37,"HSE South West",5.96763627638755
37,"HSE West and North West",6.5196695810452
38,"HSE Dublin and Midlands",4.21863646645126
38,"HSE Dublin and North East",1.73829495231177
