Model,deviance,penalty,DIC
v3,2277.9396664741,46.8227211798934,2324.762387654
v2,2318.66850441042,31.8462604766499,2350.51476488707
v2_pymc,2318.63,35.68,2354.31
v1,2647.41554164077,25.5501289918912,2672.96567063266
