region,mean_pk,ci_lo,ci_hi,width,p_winter
HSE Dublin and Midlands,4.8335364554162386,0.09507554464218604,9.707318953677671,9.612243409035484,0.9320875
HSE Dublin and North East,1.4037933333176773,-2.123786045820872,5.004063931187153,7.127849977008024,0.99825
HSE Dublin and South East,1.5687718259926704,-2.2640811257416367,5.509603015371173,7.77368414111281,0.996775
HSE Mid West,19.069474363506167,-2.901734762640686,41.04984694113475,43.95158170377544,0.1342
HSE South West,2.288686888879175,-2.369570132644517,7.101008071104049,9.470578203748566,0.987575
HSE West and North West,4.72155765102488,-7.304303814251534,17.349529392113006,24.65383320636454,0.7197
