Region,Mean,0.42%,99.58%,Sig
HSE Dublin and North East,2.417,1.7391,3.2283,Yes
HSE Dublin and South East,1.8505,1.3312,2.4699,Yes
HSE Dublin and Midlands,1.0132,0.7258,1.3531,Yes
HSE South West,0.7003,0.5025,0.9364,Yes
HSE West and North West,0.5079,0.3653,0.6759,Yes
HSE Mid West,0.3905,0.2812,0.5192,Yes
