Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,0.4452,-0.4679,1.341,No
HSE Dublin and Midlands,HSE Dublin and South East,0.538,-0.4113,1.4909,No
HSE Dublin and Midlands,HSE Mid West,0.2432,-1.2026,1.6884,No
HSE Dublin and Midlands,HSE South West,0.4567,-0.7596,1.6457,No
HSE Dublin and Midlands,HSE West and North West,0.4344,-0.8788,1.7489,No
HSE Dublin and North East,HSE Dublin and South East,0.0929,-0.6555,0.8433,No
HSE Dublin and North East,HSE Mid West,-0.2019,-1.5178,1.122,No
HSE Dublin and North East,HSE South West,0.0116,-1.0327,1.0576,No
HSE Dublin and North East,HSE West and North West,-0.0108,-1.2049,1.19,No
HSE Dublin and South East,HSE Mid West,-0.2948,-1.6597,1.0778,No
HSE Dublin and South East,HSE South West,-0.0813,-1.1604,1.0092,No
HSE Dublin and South East,HSE West and North West,-0.1036,-1.3125,1.1429,No
HSE Mid West,HSE South West,0.2135,-1.3035,1.7598,No
HSE Mid West,HSE West and North West,0.1912,-1.4626,1.8323,No
HSE South West,HSE West and North West,-0.0223,-1.4319,1.4092,No
