Region,Mean,SD,2.5%,97.5%
HSE Dublin and Midlands,1.0132,0.1179,0.7957,1.2579
HSE Dublin and North East,2.417,0.2821,1.8938,2.997
HSE Dublin and South East,1.8505,0.2157,1.4554,2.2976
HSE Mid West,0.3905,0.0454,0.3062,0.4832
HSE South West,0.7003,0.0815,0.5494,0.8685
HSE West and North West,0.5079,0.0592,0.3979,0.6304
