Region,Mean,SD,2.5%,97.5%
HSE Dublin and Midlands,0.8512,0.2462,0.3704,1.3377
HSE Dublin and North East,0.5937,0.1619,0.2765,0.9124
HSE Dublin and South East,0.5396,0.1801,0.1918,0.9003
HSE Mid West,0.8484,0.3696,0.1959,1.6239
HSE South West,0.7963,0.2873,0.2468,1.3765
HSE West and North West,0.5373,0.2761,0.0993,1.148
