Region,Mean,SD,2.5%,97.5%
HSE Dublin and Midlands,-1.1406,0.3454,-1.8124,-0.4763
HSE Dublin and North East,-0.5376,0.3119,-1.157,0.068
HSE Dublin and South East,-0.4047,0.4304,-1.2481,0.4298
HSE Mid West,-1.7033,1.6194,-3.0537,3.0284
HSE South West,-0.3921,0.4976,-1.3653,0.5742
HSE West and North West,-1.0522,1.6494,-2.9946,2.9656
