Region,Mean,0.42%,99.58%,Sig
HSE Dublin and Midlands,0.8512,0.2114,1.5147,Yes
HSE Mid West,0.8484,0.0806,1.916,Yes
HSE South West,0.7963,0.1136,1.5769,Yes
HSE Dublin and North East,0.5937,0.1645,1.0286,Yes
HSE Dublin and South East,0.5396,0.0964,1.0345,Yes
HSE West and North West,0.5373,0.041,1.3968,Yes
