Region,Mean,0.42%,99.58%,Sig
HSE Dublin and Midlands,0.7357,0.0442,1.4176,Yes
HSE Mid West,0.4925,-0.6182,1.6036,No
HSE West and North West,0.3013,-0.6774,1.2688,No
HSE Dublin and North East,0.2906,-0.1518,0.7365,No
HSE South West,0.279,-0.544,1.113,No
HSE Dublin and South East,0.1977,-0.3106,0.7002,No
