Region,Mean,SD,2.5%,97.5%
HSE Dublin and Midlands,0.7357,0.2543,0.2344,1.2349
HSE Dublin and North East,0.2906,0.1649,-0.0333,0.6145
HSE Dublin and South East,0.1977,0.1884,-0.175,0.5674
HSE Mid West,0.4925,0.4123,-0.3176,1.3033
HSE South West,0.279,0.3064,-0.3237,0.8786
HSE West and North West,0.3013,0.3614,-0.4111,1.0124
