Region,Mean,SD,2.5%,97.5%
HSE Dublin and Midlands,3.8212,0.1849,3.4548,4.183
HSE Dublin and North East,2.1758,0.1198,1.9378,2.408
HSE Dublin and South East,2.8679,0.1366,2.5971,3.1345
HSE Mid West,7.9648,0.2978,7.3717,8.5466
HSE South West,4.2691,0.2216,3.8313,4.7027
HSE West and North West,6.1883,0.2621,5.6698,6.7005
