Region,time,residual
HSE Dublin and Midlands,1,-3.346
HSE Dublin and North East,1,-2.014
HSE Dublin and South East,1,-2.6902
HSE Mid West,1,-6.3427
HSE South West,1,-3.9035
HSE West and North West,1,-4.834
HSE Dublin and Midlands,2,4.4082
HSE Dublin and North East,2,3.3627
HSE Dublin and South East,2,4.1603
HSE Mid West,2,2.9071
HSE South West,2,4.3436
HSE West and North West,2,7.0935
HSE Dublin and Midlands,3,-0.2997
HSE Dublin and North East,3,-0.7051
HSE Dublin and South East,3,-0.3371
HSE Mid West,3,-3.5105
HSE South West,3,-1.2248
HSE West and North West,3,-2.6466
HSE Dublin and Midlands,4,0.1949
HSE Dublin and North East,4,-0.627
HSE Dublin and South East,4,-0.4109
HSE Mid West,4,-0.9585
HSE South West,4,0.0355
HSE West and North West,4,1.8133
HSE Dublin and Midlands,5,-0.7609
HSE Dublin and North East,5,-0.5442
HSE Dublin and South East,5,0.2452
HSE Mid West,5,-2.1369
HSE South West,5,0.9157
HSE West and North West,5,-0.7372
HSE Dublin and Midlands,6,0.0933
HSE Dublin and North East,6,-0.6036
HSE Dublin and South East,6,-0.3236
HSE Mid West,6,-0.3911
HSE South West,6,-0.3108
HSE West and North West,6,-0.348
HSE Dublin and Midlands,7,0.6944
HSE Dublin and North East,7,-0.3924
HSE Dublin and South East,7,1.065
HSE Mid West,7,-0.1041
HSE South West,7,-1.2372
HSE West and North West,7,-0.5151
HSE Dublin and Midlands,8,0.6442
HSE Dublin and North East,8,1.3225
HSE Dublin and South East,8,0.3144
HSE Mid West,8,0.0805
HSE South West,8,1.6455
HSE West and North West,8,1.7791
HSE Dublin and Midlands,9,0.9707
HSE Dublin and North East,9,0.3595
HSE Dublin and South East,9,-0.1463
HSE Mid West,9,0.1013
HSE South West,9,0.4583
HSE West and North West,9,0.7769
HSE Dublin and Midlands,10,0.0817
HSE Dublin and North East,10,-0.5869
HSE Dublin and South East,10,0.8416
HSE Mid West,10,-0.4741
HSE South West,10,-0.3385
HSE West and North West,10,-0.9031
HSE Dublin and Midlands,11,2.4502
HSE Dublin and North East,11,-0.4105
HSE Dublin and South East,11,0.5933
HSE Mid West,11,-0.5154
HSE South West,11,2.5762
HSE West and North West,11,1.1922
HSE Dublin and Midlands,12,0.1442
HSE Dublin and North East,12,-0.0949
HSE Dublin and South East,12,0.1437
HSE Mid West,12,-0.5355
HSE South West,12,0.021
HSE West and North West,12,1.5518
HSE Dublin and Midlands,13,1.4175
HSE Dublin and North East,13,0.4848
HSE Dublin and South East,13,1.0965
HSE Mid West,13,0.8353
HSE South West,13,0.9585
HSE West and North West,13,1.8121
HSE Dublin and Midlands,14,0.7724
HSE Dublin and North East,14,0.3346
HSE Dublin and South East,14,-0.0776
HSE Mid West,14,-0.335
HSE South West,14,1.5588
HSE West and North West,14,0.5924
HSE Dublin and Midlands,15,-1.1109
HSE Dublin and North East,15,-0.3858
HSE Dublin and South East,15,-1.3753
HSE Mid West,15,-0.4261
HSE South West,15,0.0176
HSE West and North West,15,1.4667
HSE Dublin and Midlands,16,0.7736
HSE Dublin and North East,16,-0.8239
HSE Dublin and South East,16,0.8463
HSE Mid West,16,-1.3178
HSE South West,16,1.0961
HSE West and North West,16,0.4203
HSE Dublin and Midlands,17,0.9461
HSE Dublin and North East,17,0.2105
HSE Dublin and South East,17,1.2736
HSE Mid West,17,0.3709
HSE South West,17,1.3084
HSE West and North West,17,0.4727
HSE Dublin and Midlands,18,0.7271
HSE Dublin and North East,18,-0.158
HSE Dublin and South East,18,1.131
HSE Mid West,18,0.0317
HSE South West,18,0.5533
HSE West and North West,18,-0.0631
HSE Dublin and Midlands,19,1.7368
HSE Dublin and North East,19,0.7707
HSE Dublin and South East,19,1.4692
HSE Mid West,19,0.3528
HSE South West,19,0.7937
HSE West and North West,19,1.8741
HSE Dublin and Midlands,20,1.8958
HSE Dublin and North East,20,0.3432
HSE Dublin and South East,20,0.2949
HSE Mid West,20,-1.2942
HSE South West,20,1.3412
HSE West and North West,20,1.0942
HSE Dublin and Midlands,21,-1.0151
HSE Dublin and North East,21,0.0067
HSE Dublin and South East,21,-0.6487
HSE Mid West,21,-0.704
HSE South West,21,0.8522
HSE West and North West,21,-0.056
HSE Dublin and Midlands,22,0.2912
HSE Dublin and North East,22,0.6427
HSE Dublin and South East,22,0.6343
HSE Mid West,22,0.871
HSE South West,22,0.1675
HSE West and North West,22,-0.0263
HSE Dublin and Midlands,23,-0.0067
HSE Dublin and North East,23,-0.5944
HSE Dublin and South East,23,-0.9977
HSE Mid West,23,-0.943
HSE South West,23,-0.9569
HSE West and North West,23,-0.9812
HSE Dublin and Midlands,24,-0.6703
HSE Dublin and North East,24,-1.1773
HSE Dublin and South East,24,-0.012
HSE Mid West,24,-0.1566
HSE South West,24,-1.1267
HSE West and North West,24,0.734
HSE Dublin and Midlands,25,1.15
HSE Dublin and North East,25,-0.5661
HSE Dublin and South East,25,0.4721
HSE Mid West,25,-0.6511
HSE South West,25,0.9421
HSE West and North West,25,0.5399
