Region,Mean,SD,2.5%,97.5%
HSE Dublin and Midlands,0.3364,0.2569,-0.1716,0.8406
HSE Dublin and North East,0.4889,0.1672,0.1571,0.8159
HSE Dublin and South East,0.4611,0.1907,0.0847,0.8363
HSE Mid West,-0.5226,0.4131,-1.3424,0.2879
HSE South West,0.6709,0.3078,0.0599,1.2696
HSE West and North West,-0.1113,0.3621,-0.8276,0.5941
