Region,Mean,0.42%,99.58%,Sig
HSE South West,0.6709,-0.159,1.4791,No
HSE Dublin and North East,0.4889,0.0348,0.931,Yes
HSE Dublin and South East,0.4611,-0.0588,0.9632,No
HSE Dublin and Midlands,0.3364,-0.3558,1.0096,No
HSE West and North West,-0.1113,-1.0877,0.8476,No
HSE Mid West,-0.5226,-1.6439,0.5654,No
