Region,Mean,0.42%,99.58%,Sig
HSE South West,-0.3921,-1.9995,1.3498,No
HSE Dublin and South East,-0.4047,-1.7666,0.969,No
HSE Dublin and North East,-0.5376,-1.4566,0.349,No
HSE West and North West,-1.0522,-3.1163,3.1173,No
HSE Dublin and Midlands,-1.1406,-2.1494,-0.1211,Yes
HSE Mid West,-1.7033,-3.1265,3.124,No
