"time","Region","fitted"
1,"HSE Dublin and Midlands",4.24457358156141
1,"HSE Dublin and North East",2.69670010436062
1,"HSE Dublin and South East",3.35079965523052
1,"HSE Mid West",7.50422826652058
1,"HSE South West",4.96929788507631
1,"HSE West and North West",6.11396373375573
2,"HSE Dublin and Midlands",2.44903502572298
2,"HSE Dublin and North East",1.59080942922904
2,"HSE Dublin and South East",1.85470635402644
2,"HSE Mid West",4.01755151049726
2,"HSE South West",2.79915112167078
2,"HSE West and North West",3.4388191021372
3,"HSE Dublin and Midlands",5.82017306602344
3,"HSE Dublin and North East",3.99016654974434
3,"HSE Dublin and South East",4.85856919694698
3,"HSE Mid West",7.28752081409383
3,"HSE South West",6.2066258431036
3,"HSE West and North West",8.64933657743053
4,"HSE Dublin and Midlands",5.09379223247441
4,"HSE Dublin and North East",3.05287209698856
4,"HSE Dublin and South East",4.01609415837286
4,"HSE Mid West",5.55906501710872
4,"HSE South West",4.98710843291033
4,"HSE West and North West",6.12469505283511
5,"HSE Dublin and Midlands",4.9824946273586
5,"HSE Dublin and North East",2.56571391082204
5,"HSE Dublin and South East",3.49404046707224
5,"HSE Mid West",6.05960833087758
5,"HSE South West",4.99809999970767
5,"HSE West and North West",7.22675506191271
6,"HSE Dublin and Midlands",4.3976008249867
6,"HSE Dublin and North East",2.33020692482603
6,"HSE Dublin and South East",3.55835687115923
6,"HSE Mid West",5.71805702688174
6,"HSE South West",5.48202307299893
6,"HSE West and North West",6.42936936999357
7,"HSE Dublin and Midlands",4.55750259783688
7,"HSE Dublin and North East",2.15264665589728
7,"HSE Dublin and South East",3.26143719387791
7,"HSE Mid West",6.54463438400688
7,"HSE South West",5.0448561851641
7,"HSE West and North West",6.21454377332812
8,"HSE Dublin and Midlands",4.98817211589203
8,"HSE Dublin and North East",2.15612586195142
8,"HSE Dublin and South East",3.85753524641702
8,"HSE Mid West",7.2073089379863
8,"HSE South West",4.25520839809036
8,"HSE West and North West",6.01322740506381
9,"HSE Dublin and Midlands",5.20003492279845
9,"HSE Dublin and North East",3.10200555848939
9,"HSE Dublin and South East",3.75187418395389
9,"HSE Mid West",7.71911736806146
9,"HSE South West",5.4018353868541
9,"HSE West and North West",7.19932239586644
10,"HSE Dublin and Midlands",5.49516020884501
10,"HSE Dublin and North East",3.07116968959451
10,"HSE Dublin and South East",3.41283357635108
10,"HSE Mid West",8.05235773666754
10,"HSE South West",5.34806422341186
10,"HSE West and North West",7.31259609673323
11,"HSE Dublin and Midlands",5.14978216861465
11,"HSE Dublin and North East",2.49886489019868
11,"HSE Dublin and South East",3.75381200723404
11,"HSE Mid West",7.94838733356491
11,"HSE South West",4.8369412275274
11,"HSE West and North West",6.44155591403746
12,"HSE Dublin and Midlands",6.26797742757243
12,"HSE Dublin and North East",2.25058196039775
12,"HSE Dublin and South East",3.78115013908615
12,"HSE Mid West",7.89585217314792
12,"HSE South West",6.14978194802333
12,"HSE West and North West",7.13480039802414
13,"HSE Dublin and Midlands",5.57957562809899
13,"HSE Dublin and North East",2.26051558239542
13,"HSE Dublin and South East",3.51832395509067
13,"HSE Mid West",7.8807431934432
13,"HSE South West",5.41501489444848
13,"HSE West and North West",7.73003279734265
14,"HSE Dublin and Midlands",5.88141598585665
14,"HSE Dublin and North East",2.56216527795592
14,"HSE Dublin and South East",3.87880046236667
14,"HSE Mid West",8.66352584091375
14,"HSE South West",5.48990143796055
14,"HSE West and North West",8.21241632424656
15,"HSE Dublin and Midlands",5.65844799629071
15,"HSE Dublin and North East",2.61701698451349
15,"HSE Dublin and South East",3.3950911693365
15,"HSE Mid West",8.46405919605854
15,"HSE South West",5.82942796743435
15,"HSE West and North West",7.79883515319714
16,"HSE Dublin and Midlands",4.4424225921784
16,"HSE Dublin and North East",2.21277185638679
16,"HSE Dublin and South East",2.36810267814963
16,"HSE Mid West",8.31464987518581
16,"HSE South West",5.11568556080076
16,"HSE West and North West",8.05545524686233
17,"HSE Dublin and Midlands",4.78038654647536
17,"HSE Dublin and North East",1.70917257785618
17,"HSE Dublin and South East",3.01160710175229
17,"HSE Mid West",7.73957447727096
17,"HSE South West",5.28150710440386
17,"HSE West and North West",7.60821438736928
18,"HSE Dublin and Midlands",5.02725419312956
18,"HSE Dublin and North East",1.97653863442605
18,"HSE Dublin and South East",3.58650282558476
18,"HSE Mid West",8.3690700368708
18,"HSE South West",5.45604697985438
18,"HSE West and North West",7.3806186711133
19,"HSE Dublin and Midlands",5.00133372832322
19,"HSE Dublin and North East",1.89015678359026
19,"HSE Dublin and South East",3.80421842770538
19,"HSE Mid West",8.53194105455308
19,"HSE South West",5.09427486471335
19,"HSE West and North West",6.9442752679948
20,"HSE Dublin and Midlands",5.51042044856208
20,"HSE Dublin and North East",2.33451177570693
20,"HSE Dublin and South East",4.09276806104532
