"Model","deviance","penalty","DIC","delta_DIC"
"V7a: ED only",2275.09185609735,40.530751199606,2315.62260729696,0
"V7b: Public total",2275.85931181907,40.6495765931666,2316.50888841224,0.886281115284419
"V7b: Public + Private",2277.28790386647,40.9830139203899,2318.27091778686,2.64831048990527
