"week_start","hospital","region","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week"
2023-01-09,MRH Mullingar,HSE Dublin and Midlands,73,0,73,24,1,6,0,7
2023-01-09,MRH Portlaoise,HSE Dublin and Midlands,8,0,8,59,59,0,0,7
2023-01-09,MRH Tullamore,HSE Dublin and Midlands,0,0,0,29,36,0,0,7
2023-01-09,Naas General Hospital,HSE Dublin and Midlands,107,23,130,57,82,30,0,7
2023-01-09,St. James's Hospital,HSE Dublin and Midlands,149,0,149,0,372,5,0,7
2023-01-09,Tallaght University Hospital,HSE Dublin and Midlands,187,0,187,48,258,49,0,7
2023-01-09,Beaumont Hospital,HSE Dublin and North East,36,0,36,66,168,0,0,7
2023-01-09,Cavan General Hospital,HSE Dublin and North East,78,8,86,51,35,21,0,7
2023-01-09,Connolly Hospital,HSE Dublin and North East,22,0,22,210,50,0,0,7
2023-01-09,Mater Misericordiae University Hospital,HSE Dublin and North East,148,0,148,0,287,20,0,7
2023-01-09,Our Lady of Lourdes Hospital,HSE Dublin and North East,61,8,69,113,234,0,0,7
2023-01-09,Our Lady's Hospital Navan,HSE Dublin and North East,29,0,29,141,39,1,0,7
2023-01-09,St Luke's General Hospital Kilkenny,HSE Dublin and South East,83,30,113,153,89,43,0,7
2023-01-09,St. Vincent's University Hospital,HSE Dublin and South East,192,0,192,155,346,56,0,7
2023-01-09,Tipperary University Hospital,HSE Dublin and South East,60,0,60,154,49,13,0,7
2023-01-09,UH Waterford,HSE Dublin and South East,0,0,0,309,116,0,0,7
2023-01-09,Wexford General Hospital,HSE Dublin and South East,60,14,74,257,73,12,0,7
2023-01-09,UH Limerick,HSE Mid West,46,110,156,241,111,3,0,7
2023-01-09,Cork University Hospital,HSE South West,158,19,177,167,224,16,0,7
2023-01-09,Mercy University Hospital,HSE South West,87,0,87,65,119,13,0,7
2023-01-09,UH Kerry,HSE South West,105,0,105,109,137,20,0,7
2023-01-09,Galway University Hospital,HSE West and North West,74,16,90,96,114,8,0,7
2023-01-09,Letterkenny University Hospital,HSE West and North West,90,28,118,85,127,37,0,7
2023-01-09,Mayo University Hospital,HSE West and North West,64,32,96,81,79,25,0,7
