"week_start","hospital","region","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week"
2023-12-11,CHI at Tallaght,HSE Dublin and Midlands,20,0,20,0,9,0,0,7
2023-12-11,CHI at Temple Street,HSE Dublin and Midlands,58,0,58,28,35,6,0,7
2023-12-11,MRH Mullingar,HSE Dublin and Midlands,62,16,78,40,10,12,4,7
2023-12-11,MRH Portlaoise,HSE Dublin and Midlands,54,0,54,56,38,2,0,7
2023-12-11,MRH Tullamore,HSE Dublin and Midlands,0,0,0,123,65,0,0,7
2023-12-11,Naas General Hospital,HSE Dublin and Midlands,31,12,43,8,50,7,0,7
2023-12-11,St. James's Hospital,HSE Dublin and Midlands,162,33,195,108,181,24,0,7
2023-12-11,St. Luke's Radiation Oncology Network,HSE Dublin and Midlands,0,0,0,0,14,0,0,7
2023-12-11,Tallaght University Hospital,HSE Dublin and Midlands,199,34,233,153,190,75,14,7
2023-12-11,Beaumont Hospital,HSE Dublin and North East,50,0,50,40,154,0,0,7
2023-12-11,Cavan General Hospital,HSE Dublin and North East,31,2,33,21,20,1,0,7
2023-12-11,Connolly Hospital,HSE Dublin and North East,4,0,4,84,77,0,0,7
2023-12-11,Mater Misericordiae University Hospital,HSE Dublin and North East,145,0,145,0,125,23,17,7
2023-12-11,National Orthopaedic Hospital Cappagh,HSE Dublin and North East,0,0,0,0,0,0,0,7
2023-12-11,Our Lady of Lourdes Hospital,HSE Dublin and North East,81,8,89,108,7,9,7,7
2023-12-11,Our Lady's Hospital Navan,HSE Dublin and North East,8,0,8,21,14,0,0,7
2023-12-11,National Rehabilitation Hospital,HSE Dublin and South East,0,0,0,0,106,0,0,7
2023-12-11,St Luke's General Hospital Kilkenny,HSE Dublin and South East,28,12,40,175,69,3,1,7
2023-12-11,St. Columcille's Hospital,HSE Dublin and South East,0,0,0,0,76,0,0,7
2023-12-11,St. Michael's Hospital,HSE Dublin and South East,0,0,0,0,81,0,0,7
2023-12-11,St. Vincent's University Hospital,HSE Dublin and South East,142,15,157,196,187,39,16,7
2023-12-11,Tipperary University Hospital,HSE Dublin and South East,133,0,133,119,68,68,0,7
2023-12-11,UH Waterford,HSE Dublin and South East,0,0,0,122,172,0,0,7
2023-12-11,Wexford General Hospital,HSE Dublin and South East,32,16,48,38,49,6,0,7
2023-12-11,Ennis Hospital,HSE Mid West,0,0,0,0,17,0,0,7
2023-12-11,Nenagh Hospital,HSE Mid West,0,0,0,0,15,0,0,7
2023-12-11,St. John's Hospital Limerick,HSE Mid West,0,0,0,0,33,0,0,7
2023-12-11,UH Limerick,HSE Mid West,165,252,417,299,105,152,38,7
2023-12-11,Bantry General Hospital,HSE South West,0,0,0,0,55,0,0,7
2023-12-11,Cork University Hospital,HSE South West,177,54,231,145,345,54,0,7
2023-12-11,Mallow General Hospital,HSE South West,0,0,0,0,9,0,0,7
2023-12-11,Mercy University Hospital,HSE South West,127,0,127,47,131,28,3,7
2023-12-11,South Infirmary Victoria University Hospital,HSE South West,0,0,0,0,17,0,0,7
2023-12-11,UH Kerry,HSE South West,131,0,131,115,151,28,2,7
2023-12-11,Galway University Hospital,HSE West and North West,165,47,212,179,149,46,24,7
2023-12-11,Letterkenny University Hospital,HSE West and North West,78,31,109,84,222,19,0,7
2023-12-11,Mayo University Hospital,HSE West and North West,68,78,146,78,81,82,0,7
2023-12-11,Portiuncula University Hospital,HSE West and North West,5,0,5,0,38,0,0,7
2023-12-11,Roscommon University Hospital,HSE West and North West,0,0,0,0,22,0,0,7
2023-12-11,Sligo University Hospital,HSE West and North West,108,103,211,76,198,87,3,7
2023-12-18,CHI at Crumlin,HSE Dublin and Midlands,12,0,12,0,28,0,0,7
2023-12-18,CHI at Tallaght,HSE Dublin and Midlands,16,0,16,2,8,0,0,7
2023-12-18,CHI at Temple Street,HSE Dublin and Midlands,39,0,39,14,35,1,0,7
2023-12-18,MRH Mullingar,HSE Dublin and Midlands,33,14,47,49,7,3,1,7
2023-12-18,MRH Portlaoise,HSE Dublin and Midlands,21,0,21,51,55,0,0,7
2023-12-18,MRH Tullamore,HSE Dublin and Midlands,0,0,0,75,32,0,0,7
2023-12-18,Naas General Hospital,HSE Dublin and Midlands,16,0,16,3,60,0,0,7
2023-12-18,St. James's Hospital,HSE Dublin and Midlands,49,0,49,15,169,1,0,7
2023-12-18,St. Luke's Radiation Oncology Network,HSE Dublin and Midlands,0,0,0,0,14,0,0,7
2023-12-18,Tallaght University Hospital,HSE Dublin and Midlands,76,0,76,93,149,15,1,7
2023-12-18,Beaumont Hospital,HSE Dublin and North East,21,0,21,9,120,0,0,7
2023-12-18,Cavan General Hospital,HSE Dublin and North East,5,4,9,17,18,0,0,7
2023-12-18,Connolly Hospital,HSE Dublin and North East,7,0,7,38,63,0,0,7
2023-12-18,Mater Misericordiae University Hospital,HSE Dublin and North East,39,0,39,0,120,1,0,7
2023-12-18,National Orthopaedic Hospital Cappagh,HSE Dublin and North East,0,0,0,0,0,0,0,7
2023-12-18,Our Lady of Lourdes Hospital,HSE Dublin and North East,30,6,36,62,7,1,1,7
2023-12-18,Our Lady's Hospital Navan,HSE Dublin and North East,5,0,5,18,14,0,0,7
2023-12-18,National Rehabilitation Hospital,HSE Dublin and South East,0,0,0,0,110,0,0,7
2023-12-18,St Luke's General Hospital Kilkenny,HSE Dublin and South East,39,19,58,200,61,3,0,7
2023-12-18,St. Columcille's Hospital,HSE Dublin and South East,0,0,0,0,69,0,0,7
2023-12-18,St. Michael's Hospital,HSE Dublin and South East,0,0,0,0,82,0,0,7
2023-12-18,St. Vincent's University Hospital,HSE Dublin and South East,89,0,89,162,161,14,11,7
2023-12-18,Tipperary University Hospital,HSE Dublin and South East,42,0,42,55,77,15,1,7
2023-12-18,UH Waterford,HSE Dublin and South East,0,0,0,63,169,0,0,7
2023-12-18,Wexford General Hospital,HSE Dublin and South East,45,20,65,11,43,4,0,7
2023-12-18,Ennis Hospital,HSE Mid West,0,0,0,0,28,0,0,7
2023-12-18,Nenagh Hospital,HSE Mid West,0,0,0,0,9,0,0,7
2023-12-18,St. John's Hospital Limerick,HSE Mid West,0,0,0,0,27,0,0,7
2023-12-18,UH Limerick,HSE Mid West,81,157,238,131,62,79,12,7
2023-12-18,Bantry General Hospital,HSE South West,0,0,0,0,59,0,0,7
2023-12-18,Cork University Hospital,HSE South West,63,22,85,71,291,13,0,7
2023-12-18,Mallow General Hospital,HSE South West,0,0,0,0,3,0,0,7
2023-12-18,Mercy University Hospital,HSE South West,105,0,105,40,89,29,15,7
2023-12-18,South Infirmary Victoria University Hospital,HSE South West,0,0,0,0,23,0,0,7
2023-12-18,UH Kerry,HSE South West,51,0,51,147,115,10,0,7
2023-12-18,Galway University Hospital,HSE West and North West,112,28,140,126,133,24,4,7
2023-12-18,Letterkenny University Hospital,HSE West and North West,27,13,40,17,161,6,1,7
2023-12-18,Mayo University Hospital,HSE West and North West,39,44,83,18,79,37,0,7
2023-12-18,Portiuncula University Hospital,HSE West and North West,3,0,3,1,22,0,0,7
2023-12-18,Roscommon University Hospital,HSE West and North West,0,0,0,0,16,0,0,7
2023-12-18,Sligo University Hospital,HSE West and North West,38,75,113,51,211,52,2,7
2023-12-25,CHI at Crumlin,HSE Dublin and Midlands,3,0,3,0,28,0,0,7
2023-12-25,CHI at Tallaght,HSE Dublin and Midlands,3,0,3,0,7,0,0,7
2023-12-25,CHI at Temple Street,HSE Dublin and Midlands,10,0,10,0,35,0,0,7
2023-12-25,MRH Mullingar,HSE Dublin and Midlands,21,0,21,10,7,2,0,7
2023-12-25,MRH Portlaoise,HSE Dublin and Midlands,8,0,8,81,39,0,0,7
2023-12-25,MRH Tullamore,HSE Dublin and Midlands,0,0,0,27,11,0,0,7
2023-12-25,Naas General Hospital,HSE Dublin and Midlands,20,1,21,0,41,0,0,7
2023-12-25,St. James's Hospital,HSE Dublin and Midlands,41,0,41,0,146,0,0,7
2023-12-25,St. Luke's Radiation Oncology Network,HSE Dublin and Midlands,0,0,0,0,14,0,0,7
2023-12-25,Tallaght University Hospital,HSE Dublin and Midlands,10,0,10,38,116,0,0,7
2023-12-25,Beaumont Hospital,HSE Dublin and North East,0,0,0,0,69,0,0,7
2023-12-25,Cavan General Hospital,HSE Dublin and North East,13,0,13,23,0,0,0,7
2023-12-25,Connolly Hospital,HSE Dublin and North East,0,0,0,0,56,0,0,7
2023-12-25,Mater Misericordiae University Hospital,HSE Dublin and North East,7,0,7,0,119,0,0,7
2023-12-25,National Orthopaedic Hospital Cappagh,HSE Dublin and North East,0,0,0,0,0,0,0,7
2023-12-25,Our Lady of Lourdes Hospital,HSE Dublin and North East,0,0,0,52,7,0,0,7
2023-12-25,Our Lady's Hospital Navan,HSE Dublin and North East,4,0,4,41,14,0,0,7
2023-12-25,National Rehabilitation Hospital,HSE Dublin and South East,0,0,0,0,105,0,0,7
2023-12-25,St Luke's General Hospital Kilkenny,HSE Dublin and South East,2,0,2,43,40,0,0,7
2023-12-25,St. Columcille's Hospital,HSE Dublin and South East,0,0,0,0,65,0,0,7
2023-12-25,St. Michael's Hospital,HSE Dublin and South East,0,0,0,0,81,0,0,7
2023-12-25,St. Vincent's University Hospital,HSE Dublin and South East,63,0,63,28,140,1,0,7
2023-12-25,Tipperary University Hospital,HSE Dublin and South East,0,0,0,27,65,0,0,7
2023-12-25,UH Waterford,HSE Dublin and South East,0,0,0,0,143,0,0,7
2023-12-25,Wexford General Hospital,HSE Dublin and South East,22,1,23,0,28,0,0,7
2023-12-25,Ennis Hospital,HSE Mid West,0,0,0,0,22,0,0,7
2023-12-25,Nenagh Hospital,HSE Mid West,0,0,0,0,3,0,0,7
2023-12-25,St. John's Hospital Limerick,HSE Mid West,0,0,0,0,18,0,0,7
2023-12-25,UH Limerick,HSE Mid West,18,97,115,74,42,9,3,7
2023-12-25,Bantry General Hospital,HSE South West,0,0,0,0,63,0,0,7
2023-12-25,Cork University Hospital,HSE South West,26,0,26,40,265,1,0,7
2023-12-25,Mallow General Hospital,HSE South West,0,0,0,0,0,0,0,7
2023-12-25,Mercy University Hospital,HSE South West,38,0,38,0,96,3,0,7
2023-12-25,South Infirmary Victoria University Hospital,HSE South West,0,0,0,0,28,0,0,7
2023-12-25,UH Kerry,HSE South West,82,0,82,117,87,16,0,7
2023-12-25,Galway University Hospital,HSE West and North West,33,0,33,87,151,0,0,7
2023-12-25,Letterkenny University Hospital,HSE West and North West,41,15,56,0,122,2,0,7
2023-12-25,Mayo University Hospital,HSE West and North West,13,8,21,23,50,3,0,7
2023-12-25,Portiuncula University Hospital,HSE West and North West,7,0,7,1,25,0,0,7
2023-12-25,Roscommon University Hospital,HSE West and North West,0,0,0,0,14,0,0,7
2023-12-25,Sligo University Hospital,HSE West and North West,27,12,39,22,139,10,0,7
2024-01-01,CHI at Crumlin,HSE Dublin and Midlands,4,0,4,0,23,0,0,7
2024-01-01,CHI at Tallaght,HSE Dublin and Midlands,3,0,3,0,7,0,0,7
2024-01-01,CHI at Temple Street,HSE Dublin and Midlands,32,0,32,0,38,1,0,7
2024-01-01,MRH Mullingar,HSE Dublin and Midlands,37,5,42,87,2,6,2,7
2024-01-01,MRH Portlaoise,HSE Dublin and Midlands,31,0,31,177,46,0,0,7
2024-01-01,MRH Tullamore,HSE Dublin and Midlands,0,0,0,83,21,0,0,7
2024-01-01,Naas General Hospital,HSE Dublin and Midlands,73,14,87,41,45,17,7,7
2024-01-01,St. James's Hospital,HSE Dublin and Midlands,143,0,143,10,161,4,0,7
2024-01-01,St. Luke's Radiation Oncology Network,HSE Dublin and Midlands,0,0,0,0,16,0,0,7
2024-01-01,Tallaght University Hospital,HSE Dublin and Midlands,98,0,98,127,113,9,3,7
2024-01-01,Beaumont Hospital,HSE Dublin and North East,15,0,15,4,62,0,0,7
2024-01-01,Cavan General Hospital,HSE Dublin and North East,65,4,69,38,1,5,2,7
2024-01-01,Connolly Hospital,HSE Dublin and North East,5,0,5,19,49,0,0,7
2024-01-01,Mater Misericordiae University Hospital,HSE Dublin and North East,91,0,91,0,134,8,2,7
2024-01-01,National Orthopaedic Hospital Cappagh,HSE Dublin and North East,0,0,0,0,5,0,0,7
2024-01-01,Our Lady of Lourdes Hospital,HSE Dublin and North East,67,1,68,136,7,0,0,7
2024-01-01,Our Lady's Hospital Navan,HSE Dublin and North East,0,0,0,66,11,0,0,7
2024-01-01,National Rehabilitation Hospital,HSE Dublin and South East,0,0,0,0,105,0,0,7
2024-01-01,St Luke's General Hospital Kilkenny,HSE Dublin and South East,28,0,28,222,42,1,0,7
2024-01-01,St. Columcille's Hospital,HSE Dublin and South East,0,0,0,0,63,0,0,7
2024-01-01,St. Michael's Hospital,HSE Dublin and South East,0,0,0,0,77,0,0,7
2024-01-01,St. Vincent's University Hospital,HSE Dublin and South East,84,2,86,195,131,10,5,7
2024-01-01,Tipperary University Hospital,HSE Dublin and South East,8,0,8,85,51,0,0,7
2024-01-01,UH Waterford,HSE Dublin and South East,0,0,0,53,137,0,0,7
2024-01-01,Wexford General Hospital,HSE Dublin and South East,25,12,37,80,40,5,0,7
2024-01-01,Ennis Hospital,HSE Mid West,0,0,0,0,20,0,0,7
2024-01-01,Nenagh Hospital,HSE Mid West,0,0,0,0,0,0,0,7
2024-01-01,St. John's Hospital Limerick,HSE Mid West,0,0,0,0,16,0,0,7
2024-01-01,UH Limerick,HSE Mid West,52,240,292,212,60,89,4,7
2024-01-01,Bantry General Hospital,HSE South West,0,0,0,0,63,0,0,7
2024-01-01,Cork University Hospital,HSE South West,170,71,241,143,213,54,4,7
2024-01-01,Mallow General Hospital,HSE South West,0,0,0,0,0,0,0,7
2024-01-01,Mercy University Hospital,HSE South West,140,0,140,36,89,40,9,7
2024-01-01,South Infirmary Victoria University Hospital,HSE South West,0,0,0,0,28,0,0,7
2024-01-01,UH Kerry,HSE South West,127,0,127,263,107,30,2,7
2024-01-01,Galway University Hospital,HSE West and North West,142,30,172,171,156,13,0,7
2024-01-01,Letterkenny University Hospital,HSE West and North West,51,25,76,54,115,17,0,7
2024-01-01,Mayo University Hospital,HSE West and North West,83,65,148,110,51,71,5,7
2024-01-01,Portiuncula University Hospital,HSE West and North West,25,0,25,42,25,1,0,7
2024-01-01,Roscommon University Hospital,HSE West and North West,0,0,0,0,23,0,0,7
2024-01-01,Sligo University Hospital,HSE West and North West,77,74,151,82,142,50,1,7
2024-01-08,CHI at Crumlin,HSE Dublin and Midlands,7,0,7,0,21,0,0,7
2024-01-08,CHI at Tallaght,HSE Dublin and Midlands,4,0,4,0,7,0,0,7
2024-01-08,CHI at Temple Street,HSE Dublin and Midlands,48,0,48,0,42,3,0,7
2024-01-08,MRH Mullingar,HSE Dublin and Midlands,14,0,14,47,0,1,0,7
2024-01-08,MRH Portlaoise,HSE Dublin and Midlands,11,0,11,105,57,0,0,7
2024-01-08,MRH Tullamore,HSE Dublin and Midlands,0,0,0,120,21,0,0,7
2024-01-08,Naas General Hospital,HSE Dublin and Midlands,49,5,54,26,58,12,0,7
2024-01-08,St. James's Hospital,HSE Dublin and Midlands,150,0,150,82,167,11,0,7
2024-01-08,St. Luke's Radiation Oncology Network,HSE Dublin and Midlands,0,0,0,0,21,0,0,7
2024-01-08,Tallaght University Hospital,HSE Dublin and Midlands,116,22,138,166,130,26,2,7
2024-01-08,Beaumont Hospital,HSE Dublin and North East,29,0,29,12,121,0,1,7
2024-01-08,Cavan General Hospital,HSE Dublin and North East,33,8,41,78,0,2,4,7
2024-01-08,Connolly Hospital,HSE Dublin and North East,20,0,20,103,61,0,0,7
2024-01-08,Louth County Hospital,HSE Dublin and North East,0,0,0,0,0,0,0,2
2024-01-08,Mater Misericordiae University Hospital,HSE Dublin and North East,176,0,176,7,118,15,8,7
2024-01-08,National Orthopaedic Hospital Cappagh,HSE Dublin and North East,0,0,0,0,7,0,0,7
2024-01-08,Our Lady of Lourdes Hospital,HSE Dublin and North East,92,0,92,155,7,3,1,7
2024-01-08,Our Lady's Hospital Navan,HSE Dublin and North East,8,0,8,29,5,0,1,7
2024-01-08,National Rehabilitation Hospital,HSE Dublin and South East,0,0,0,0,94,0,0,7
2024-01-08,St Luke's General Hospital Kilkenny,HSE Dublin and South East,10,4,14,219,36,0,0,7
2024-01-08,St. Columcille's Hospital,HSE Dublin and South East,0,0,0,0,57,0,0,7
2024-01-08,St. Michael's Hospital,HSE Dublin and South East,0,0,0,0,70,0,0,7
2024-01-08,St. Vincent's University Hospital,HSE Dublin and South East,115,0,115,220,132,11,3,7
2024-01-08,Tipperary University Hospital,HSE Dublin and South East,35,0,35,80,59,1,0,7
2024-01-08,UH Waterford,HSE Dublin and South East,0,0,0,125,146,0,0,7
2024-01-08,Wexford General Hospital,HSE Dublin and South East,48,48,96,100,44,14,0,7
2024-01-08,Ennis Hospital,HSE Mid West,0,0,0,0,4,0,0,7
2024-01-08,Nenagh Hospital,HSE Mid West,0,0,0,0,4,0,0,7
2024-01-08,St. John's Hospital Limerick,HSE Mid West,0,0,0,0,20,0,0,7
2024-01-08,UH Limerick,HSE Mid West,67,251,318,207,85,93,1,7
2024-01-08,Bantry General Hospital,HSE South West,0,0,0,0,53,0,0,7
2024-01-08,Cork University Hospital,HSE South West,148,81,229,208,169,41,0,7
2024-01-08,Mallow General Hospital,HSE South West,0,0,0,0,0,0,0,7
2024-01-08,Mercy University Hospital,HSE South West,152,12,164,72,86,45,16,7
2024-01-08,South Infirmary Victoria University Hospital,HSE South West,0,0,0,0,18,0,0,7
2024-01-08,UH Kerry,HSE South West,87,0,87,113,111,24,0,7
2024-01-08,Galway University Hospital,HSE West and North West,106,46,152,211,162,32,2,7
2024-01-08,Letterkenny University Hospital,HSE West and North West,59,23,82,86,138,17,0,7
2024-01-08,Mayo University Hospital,HSE West and North West,54,39,93,94,47,42,0,7
2024-01-08,Portiuncula University Hospital,HSE West and North West,11,0,11,27,28,1,0,7
2024-01-08,Roscommon University Hospital,HSE West and North West,0,0,0,0,40,0,0,7
2024-01-08,Sligo University Hospital,HSE West and North West,40,102,142,81,161,67,0,7
2024-01-15,CHI at Crumlin,HSE Dublin and Midlands,16,0,16,0,21,0,0,7
2024-01-15,CHI at Tallaght,HSE Dublin and Midlands,23,0,23,2,13,0,0,7
2024-01-15,CHI at Temple Street,HSE Dublin and Midlands,37,0,37,6,32,1,0,7
2024-01-15,MRH Mullingar,HSE Dublin and Midlands,7,0,7,33,0,1,0,7
2024-01-15,MRH Portlaoise,HSE Dublin and Midlands,24,0,24,118,49,0,0,7
2024-01-15,MRH Tullamore,HSE Dublin and Midlands,0,0,0,141,24,0,0,7
2024-01-15,Naas General Hospital,HSE Dublin and Midlands,22,3,25,8,53,0,0,7
2024-01-15,St. James's Hospital,HSE Dublin and Midlands,128,0,128,87,154,9,0,7
2024-01-15,St. Luke's Radiation Oncology Network,HSE Dublin and Midlands,0,0,0,0,21,0,0,7
2024-01-15,Tallaght University Hospital,HSE Dublin and Midlands,184,34,218,154,139,62,8,7
2024-01-15,Beaumont Hospital,HSE Dublin and North East,95,0,95,43,130,0,0,7
2024-01-15,Cavan General Hospital,HSE Dublin and North East,22,16,38,49,10,0,0,7
2024-01-15,Connolly Hospital,HSE Dublin and North East,10,0,10,87,55,0,0,7
2024-01-15,Louth County Hospital,HSE Dublin and North East,0,0,0,0,0,0,0,7
2024-01-15,Mater Misericordiae University Hospital,HSE Dublin and North East,168,0,168,76,126,17,11,7
2024-01-15,National Orthopaedic Hospital Cappagh,HSE Dublin and North East,0,0,0,0,2,0,0,7
2024-01-15,Our Lady of Lourdes Hospital,HSE Dublin and North East,46,2,48,107,4,1,0,7
2024-01-15,Our Lady's Hospital Navan,HSE Dublin and North East,10,0,10,12,0,0,0,7
2024-01-15,National Rehabilitation Hospital,HSE Dublin and South East,0,0,0,0,94,0,0,7
2024-01-15,St Luke's General Hospital Kilkenny,HSE Dublin and South East,19,0,19,219,53,0,0,7
2024-01-15,St. Columcille's Hospital,HSE Dublin and South East,0,0,0,0,59,0,0,7
2024-01-15,St. Michael's Hospital,HSE Dublin and South East,0,0,0,0,28,0,0,7
2024-01-15,St. Vincent's University Hospital,HSE Dublin and South East,124,0,124,232,128,13,4,7
2024-01-15,Tipperary University Hospital,HSE Dublin and South East,97,0,97,81,110,37,0,7
2024-01-15,UH Waterford,HSE Dublin and South East,0,0,0,64,122,0,0,7
2024-01-15,Wexford General Hospital,HSE Dublin and South East,36,25,61,118,51,9,0,7
2024-01-15,Ennis Hospital,HSE Mid West,0,0,0,0,6,0,0,7
2024-01-15,Nenagh Hospital,HSE Mid West,0,0,0,0,9,0,0,7
2024-01-15,St. John's Hospital Limerick,HSE Mid West,0,0,0,0,28,0,0,7
2024-01-15,UH Limerick,HSE Mid West,98,260,358,252,98,101,15,7
2024-01-15,Bantry General Hospital,HSE South West,0,0,0,0,43,0,0,7
2024-01-15,Cork University Hospital,HSE South West,193,116,309,179,246,65,12,7
2024-01-15,Mallow General Hospital,HSE South West,0,0,0,0,0,0,0,7
2024-01-15,Mercy University Hospital,HSE South West,133,23,156,68,85,61,2,7
2024-01-15,South Infirmary Victoria University Hospital,HSE South West,0,0,0,0,23,0,0,7
2024-01-15,UH Kerry,HSE South West,88,2,90,98,135,18,1,7
2024-01-15,Galway University Hospital,HSE West and North West,113,51,164,174,188,18,6,7
2024-01-15,Letterkenny University Hospital,HSE West and North West,86,27,113,67,129,16,0,7
2024-01-15,Mayo University Hospital,HSE West and North West,29,7,36,28,39,9,0,7
2024-01-15,Portiuncula University Hospital,HSE West and North West,16,0,16,25,25,0,0,7
2024-01-15,Roscommon University Hospital,HSE West and North West,0,0,0,0,40,0,0,7
2024-01-15,Sligo University Hospital,HSE West and North West,36,48,84,81,153,40,0,7
2024-01-22,CHI at Crumlin,HSE Dublin and Midlands,43,0,43,0,18,0,0,7
2024-01-22,CHI at Tallaght,HSE Dublin and Midlands,20,1,21,5,8,0,0,7
2024-01-22,CHI at Temple Street,HSE Dublin and Midlands,32,0,32,0,25,0,0,7
2024-01-22,MRH Mullingar,HSE Dublin and Midlands,44,2,46,53,0,0,0,7
2024-01-22,MRH Portlaoise,HSE Dublin and Midlands,12,0,12,139,33,0,0,7
2024-01-22,MRH Tullamore,HSE Dublin and Midlands,0,0,0,186,30,0,0,7
2024-01-22,Naas General Hospital,HSE Dublin and Midlands,36,11,47,22,48,2,1,7
2024-01-22,St. James's Hospital,HSE Dublin and Midlands,145,0,145,88,141,10,0,7
2024-01-22,St. Luke's Radiation Oncology Network,HSE Dublin and Midlands,0,0,0,0,21,0,0,7
2024-01-22,Tallaght University Hospital,HSE Dublin and Midlands,166,42,208,171,109,80,4,7
2024-01-22,Beaumont Hospital,HSE Dublin and North East,91,0,91,42,120,4,0,7
2024-01-22,Cavan General Hospital,HSE Dublin and North East,41,4,45,58,14,0,0,7
2024-01-22,Connolly Hospital,HSE Dublin and North East,34,7,41,128,42,0,0,7
2024-01-22,Louth County Hospital,HSE Dublin and North East,0,0,0,0,0,0,0,7
2024-01-22,Mater Misericordiae University Hospital,HSE Dublin and North East,82,0,82,67,110,0,0,7
2024-01-22,National Orthopaedic Hospital Cappagh,HSE Dublin and North East,0,0,0,0,0,0,0,7
2024-01-22,Our Lady of Lourdes Hospital,HSE Dublin and North East,67,1,68,137,1,1,0,7
2024-01-22,Our Lady's Hospital Navan,HSE Dublin and North East,22,0,22,25,0,0,0,7
2024-01-22,National Rehabilitation Hospital,HSE Dublin and South East,0,0,0,0,89,0,0,7
2024-01-22,St Luke's General Hospital Kilkenny,HSE Dublin and South East,34,18,52,195,51,5,1,7
2024-01-22,St. Columcille's Hospital,HSE Dublin and South East,0,0,0,0,66,0,0,7
2024-01-22,St. Michael's Hospital,HSE Dublin and South East,0,0,0,0,31,0,0,7
2024-01-22,St. Vincent's University Hospital,HSE Dublin and South East,159,6,165,301,108,30,13,7
2024-01-22,Tipperary University Hospital,HSE Dublin and South East,51,0,51,126,93,10,1,7
2024-01-22,UH Waterford,HSE Dublin and South East,0,0,0,60,93,0,0,7
2024-01-22,Wexford General Hospital,HSE Dublin and South East,12,4,16,93,41,0,0,7
2024-01-22,Ennis Hospital,HSE Mid West,0,0,0,0,9,0,0,7
2024-01-22,Nenagh Hospital,HSE Mid West,0,0,0,0,12,0,0,7
2024-01-22,St. John's Hospital Limerick,HSE Mid West,0,0,0,0,17,0,0,7
2024-01-22,UH Limerick,HSE Mid West,133,288,421,272,82,120,24,7
2024-01-22,Bantry General Hospital,HSE South West,0,0,0,0,42,0,0,7
2024-01-22,Cork University Hospital,HSE South West,202,111,313,186,264,64,33,7
2024-01-22,Mallow General Hospital,HSE South West,0,0,0,0,0,0,0,7
2024-01-22,Mercy University Hospital,HSE South West,99,27,126,77,87,31,16,7
2024-01-22,South Infirmary Victoria University Hospital,HSE South West,0,0,0,0,26,0,0,7
2024-01-22,UH Kerry,HSE South West,107,5,112,97,147,33,2,7
2024-01-22,Galway University Hospital,HSE West and North West,119,66,185,178,216,46,8,7
2024-01-22,Letterkenny University Hospital,HSE West and North West,82,48,130,131,142,19,3,7
2024-01-22,Mayo University Hospital,HSE West and North West,26,52,78,56,57,28,0,7
2024-01-22,Portiuncula University Hospital,HSE West and North West,15,2,17,21,22,1,0,7
2024-01-22,Roscommon University Hospital,HSE West and North West,0,0,0,0,26,0,0,7
2024-01-22,Sligo University Hospital,HSE West and North West,36,71,107,82,130,43,0,7
2024-01-29,CHI at Crumlin,HSE Dublin and Midlands,32,1,33,0,14,0,0,7
2024-01-29,CHI at Tallaght,HSE Dublin and Midlands,7,0,7,0,7,0,0,7
2024-01-29,CHI at Temple Street,HSE Dublin and Midlands,26,0,26,0,21,1,0,7
2024-01-29,MRH Mullingar,HSE Dublin and Midlands,17,0,17,72,0,0,0,7
2024-01-29,MRH Portlaoise,HSE Dublin and Midlands,25,0,25,94,28,2,0,7
2024-01-29,MRH Tullamore,HSE Dublin and Midlands,0,0,0,172,41,0,0,7
2024-01-29,Naas General Hospital,HSE Dublin and Midlands,49,8,57,36,34,5,0,7
2024-01-29,St. James's Hospital,HSE Dublin and Midlands,123,0,123,95,132,3,0,7
2024-01-29,St. Luke's Radiation Oncology Network,HSE Dublin and Midlands,0,0,0,0,21,0,0,7
2024-01-29,Tallaght University Hospital,HSE Dublin and Midlands,118,19,137,145,97,38,0,7
2024-01-29,Beaumont Hospital,HSE Dublin and North East,51,0,51,22,123,0,0,7
2024-01-29,Cavan General Hospital,HSE Dublin and North East,21,6,27,32,13,0,0,7
2024-01-29,Connolly Hospital,HSE Dublin and North East,5,1,6,91,36,0,0,7
2024-01-29,Louth County Hospital,HSE Dublin and North East,0,0,0,0,0,0,0,7
2024-01-29,Mater Misericordiae University Hospital,HSE Dublin and North East,97,0,97,62,127,1,2,7
2024-01-29,National Orthopaedic Hospital Cappagh,HSE Dublin and North East,0,0,0,0,0,0,0,7
2024-01-29,Our Lady of Lourdes Hospital,HSE Dublin and North East,111,11,122,163,4,5,3,7
2024-01-29,Our Lady's Hospital Navan,HSE Dublin and North East,22,0,22,29,2,0,0,7
2024-01-29,National Rehabilitation Hospital,HSE Dublin and South East,0,0,0,0,97,0,0,7
2024-01-29,St Luke's General Hospital Kilkenny,HSE Dublin and South East,31,23,54,263,54,9,0,7
2024-01-29,St. Columcille's Hospital,HSE Dublin and South East,0,0,0,0,57,0,0,7
2024-01-29,St. Michael's Hospital,HSE Dublin and South East,0,0,0,0,45,0,0,7
2024-01-29,St. Vincent's University Hospital,HSE Dublin and South East,149,6,155,315,105,26,5,7
2024-01-29,Tipperary University Hospital,HSE Dublin and South East,39,0,39,121,74,14,0,7
