"week_start","region","region_population","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week","trolleys_per_10k"
2024-01-01,HSE South West,740614,437,71,508,442,500,124,15,7,6.8592
2024-01-01,HSE West and North West,759652,378,194,572,459,512,152,6,7,7.5298
2024-01-08,HSE Dublin and Midlands,1077639,399,27,426,546,524,53,2,7,3.9531
2024-01-08,HSE Dublin and North East,1187082,358,8,366,384,319,20,15,7,3.0832
2024-01-08,HSE Dublin and South East,971093,208,52,260,744,638,26,3,7,2.6774
2024-01-08,HSE Mid West,413059,67,251,318,207,113,93,1,7,7.6987
2024-01-08,HSE South West,740614,387,93,480,393,437,110,16,7,6.4811
2024-01-08,HSE West and North West,759652,270,210,480,499,576,159,2,7,6.3187
2024-01-15,HSE Dublin and Midlands,1077639,441,37,478,549,506,73,8,7,4.4356
2024-01-15,HSE Dublin and North East,1187082,351,18,369,374,327,18,11,7,3.1085
2024-01-15,HSE Dublin and South East,971093,276,25,301,714,645,59,4,7,3.0996
2024-01-15,HSE Mid West,413059,98,260,358,252,141,101,15,7,8.6670
2024-01-15,HSE South West,740614,414,141,555,345,532,144,15,7,7.4938
2024-01-15,HSE West and North West,759652,280,133,413,375,574,83,6,7,5.4367
2024-01-22,HSE Dublin and Midlands,1077639,498,56,554,664,433,92,5,7,5.1409
2024-01-22,HSE Dublin and North East,1187082,337,12,349,457,287,5,0,7,2.9400
2024-01-22,HSE Dublin and South East,971093,256,28,284,775,572,45,15,7,2.9245
2024-01-22,HSE Mid West,413059,133,288,421,272,120,120,24,7,10.1922
2024-01-22,HSE South West,740614,408,143,551,360,566,128,51,7,7.4398
2024-01-22,HSE West and North West,759652,278,239,517,468,593,137,11,7,6.8057
2024-01-29,HSE Dublin and Midlands,1077639,397,28,425,614,395,49,0,7,3.9438
2024-01-29,HSE Dublin and North East,1187082,307,18,325,399,305,6,5,7,2.7378
2024-01-29,HSE Dublin and South East,971093,254,67,321,874,589,57,5,7,3.3056
2024-01-29,HSE Mid West,413059,137,310,447,246,134,116,21,7,10.8217
2024-01-29,HSE South West,740614,261,89,350,346,524,63,7,7,4.7258
2024-01-29,HSE West and North West,759652,247,220,467,396,593,109,6,7,6.1476
2024-02-05,HSE Dublin and Midlands,1077639,464,44,508,698,376,48,5,7,4.7140
2024-02-05,HSE Dublin and North East,1187082,397,4,401,590,277,26,13,7,3.3780
2024-02-05,HSE Dublin and South East,971093,328,89,417,936,592,72,18,7,4.2941
2024-02-05,HSE Mid West,413059,192,309,501,289,146,178,44,7,12.1290
2024-02-05,HSE South West,740614,250,65,315,299,497,28,10,7,4.2532
2024-02-05,HSE West and North West,759652,269,242,511,401,589,124,5,7,6.7268
2024-02-12,HSE Dublin and Midlands,1077639,403,9,412,699,437,42,1,7,3.8232
2024-02-12,HSE Dublin and North East,1187082,297,8,305,335,261,11,4,7,2.5693
2024-02-12,HSE Dublin and South East,971093,325,76,401,952,590,79,27,7,4.1294
2024-02-12,HSE Mid West,413059,139,278,417,291,126,125,16,7,10.0954
2024-02-12,HSE South West,740614,227,61,288,254,516,65,17,7,3.8887
2024-02-12,HSE West and North West,759652,313,273,586,356,650,151,6,7,7.7141
2024-02-19,HSE Dublin and Midlands,1077639,472,22,494,903,531,34,1,7,4.5841
2024-02-19,HSE Dublin and North East,1187082,388,2,390,400,277,7,1,7,3.2854
2024-02-19,HSE Dublin and South East,971093,223,50,273,803,548,57,18,7,2.8113
2024-02-19,HSE Mid West,413059,117,270,387,297,119,118,26,7,9.3691
2024-02-19,HSE South West,740614,217,35,252,273,522,15,3,7,3.4026
2024-02-19,HSE West and North West,759652,247,227,474,307,681,139,12,7,6.2397
2024-02-26,HSE Dublin and Midlands,1077639,506,37,543,707,613,47,2,7,5.0388
2024-02-26,HSE Dublin and North East,1187082,285,0,285,409,274,17,6,7,2.4008
2024-02-26,HSE Dublin and South East,971093,255,33,288,698,601,52,17,7,2.9657
2024-02-26,HSE Mid West,413059,135,286,421,328,164,142,39,7,10.1922
2024-02-26,HSE South West,740614,265,81,346,305,531,36,14,7,4.6718
2024-02-26,HSE West and North West,759652,182,186,368,259,749,103,0,7,4.8443
2024-03-04,HSE Dublin and Midlands,1077639,485,27,512,752,673,53,7,7,4.7511
2024-03-04,HSE Dublin and North East,1187082,277,0,277,392,259,4,3,7,2.3335
2024-03-04,HSE Dublin and South East,971093,286,16,302,726,638,70,37,7,3.1099
2024-03-04,HSE Mid West,413059,151,247,398,288,155,108,16,7,9.6354
2024-03-04,HSE South West,740614,213,54,267,301,594,29,2,7,3.6051
2024-03-04,HSE West and North West,759652,170,145,315,265,751,83,1,7,4.1466
2024-03-11,HSE Dublin and Midlands,1077639,498,27,525,700,586,58,11,7,4.8718
2024-03-11,HSE Dublin and North East,1187082,362,2,364,399,267,7,3,7,3.0663
2024-03-11,HSE Dublin and South East,971093,321,26,347,754,645,59,19,7,3.5733
2024-03-11,HSE Mid West,413059,101,267,368,252,114,100,25,7,8.9091
2024-03-11,HSE South West,740614,268,79,347,297,526,51,5,7,4.6853
2024-03-11,HSE West and North West,759652,150,171,321,289,758,68,0,7,4.2256
2024-03-18,HSE Dublin and Midlands,1077639,403,28,431,581,548,18,3,7,3.9995
2024-03-18,HSE Dublin and North East,1187082,322,0,322,423,278,4,1,7,2.7125
2024-03-18,HSE Dublin and South East,971093,224,46,270,712,635,66,15,7,2.7804
2024-03-18,HSE Mid West,413059,161,259,420,274,111,142,24,7,10.1680
2024-03-18,HSE South West,740614,298,78,376,317,491,61,12,7,5.0769
2024-03-18,HSE West and North West,759652,224,199,423,355,786,103,1,7,5.5683
2024-03-25,HSE Dublin and Midlands,1077639,449,34,483,501,528,54,7,7,4.4820
2024-03-25,HSE Dublin and North East,1187082,265,2,267,350,289,6,1,7,2.2492
2024-03-25,HSE Dublin and South East,971093,256,61,317,762,647,46,2,7,3.2644
2024-03-25,HSE Mid West,413059,133,291,424,245,116,124,20,7,10.2649
2024-03-25,HSE South West,740614,214,56,270,291,484,29,5,7,3.6456
2024-03-25,HSE West and North West,759652,196,172,368,276,676,76,5,7,4.8443
2024-04-01,HSE Dublin and Midlands,1077639,476,36,512,596,478,49,2,7,4.7511
2024-04-01,HSE Dublin and North East,1187082,257,0,257,385,279,0,0,7,2.1650
2024-04-01,HSE Dublin and South East,971093,336,45,381,921,633,61,11,7,3.9234
2024-04-01,HSE Mid West,413059,117,245,362,277,118,122,27,7,8.7639
2024-04-01,HSE South West,740614,312,81,393,293,473,66,14,7,5.3064
2024-04-01,HSE West and North West,759652,303,209,512,345,659,110,5,7,6.7399
2024-04-08,HSE Dublin and Midlands,1077639,489,57,546,686,505,86,10,7,5.0666
2024-04-08,HSE Dublin and North East,1187082,339,0,339,425,276,8,4,7,2.8557
2024-04-08,HSE Dublin and South East,971093,271,58,329,851,614,64,10,7,3.3879
2024-04-08,HSE Mid West,413059,103,248,351,258,127,81,27,7,8.4976
2024-04-08,HSE South West,740614,331,69,400,280,482,75,13,7,5.4009
2024-04-08,HSE West and North West,759652,352,295,647,412,664,194,4,7,8.5171
2024-04-15,HSE Dublin and Midlands,1077639,453,36,489,499,552,62,2,7,4.5377
2024-04-15,HSE Dublin and North East,1187082,350,0,350,426,290,7,3,7,2.9484
2024-04-15,HSE Dublin and South East,971093,304,55,359,865,536,60,13,7,3.6969
2024-04-15,HSE Mid West,413059,135,267,402,259,147,124,40,7,9.7323
2024-04-15,HSE South West,740614,216,27,243,258,573,24,1,7,3.2811
2024-04-15,HSE West and North West,759652,279,180,459,352,634,99,7,7,6.0422
2024-04-22,HSE Dublin and Midlands,1077639,340,27,367,477,560,23,3,7,3.4056
2024-04-22,HSE Dublin and North East,1187082,343,0,343,425,296,5,0,7,2.8894
2024-04-22,HSE Dublin and South East,971093,260,62,322,857,565,57,12,7,3.3159
2024-04-22,HSE Mid West,413059,144,272,416,309,158,128,32,7,10.0712
2024-04-22,HSE South West,740614,240,40,280,249,494,40,3,7,3.7806
2024-04-22,HSE West and North West,759652,156,147,303,277,654,69,1,7,3.9887
2024-04-29,HSE Dublin and Midlands,1077639,336,42,378,422,538,38,0,7,3.5077
2024-04-29,HSE Dublin and North East,1187082,256,3,259,311,268,0,0,7,2.1818
2024-04-29,HSE Dublin and South East,971093,240,35,275,762,582,31,5,7,2.8319
2024-04-29,HSE Mid West,413059,102,224,326,220,142,109,24,7,7.8923
2024-04-29,HSE South West,740614,291,85,376,306,419,44,3,7,5.0769
2024-04-29,HSE West and North West,759652,174,123,297,242,734,46,2,7,3.9097
2024-05-06,HSE Dublin and Midlands,1077639,308,18,326,427,502,32,1,7,3.0251
2024-05-06,HSE Dublin and North East,1187082,300,2,302,366,261,9,1,7,2.5441
2024-05-06,HSE Dublin and South East,971093,204,36,240,882,552,23,4,7,2.4714
2024-05-06,HSE Mid West,413059,98,217,315,307,116,88,17,7,7.6260
2024-05-06,HSE South West,740614,149,28,177,240,472,10,0,7,2.3899
2024-05-06,HSE West and North West,759652,244,160,404,390,720,84,3,7,5.3182
2024-05-13,HSE Dublin and Midlands,1077639,388,80,468,354,519,63,6,7,4.3428
2024-05-13,HSE Dublin and North East,1187082,348,4,352,422,228,9,1,7,2.9653
2024-05-13,HSE Dublin and South East,971093,176,30,206,729,548,33,6,7,2.1213
2024-05-13,HSE Mid West,413059,150,281,431,337,157,132,41,7,10.4343
2024-05-13,HSE South West,740614,167,22,189,223,483,19,0,7,2.5519
2024-05-13,HSE West and North West,759652,277,218,495,367,756,134,3,7,6.5161
2024-05-20,HSE Dublin and Midlands,1077639,372,28,400,423,560,67,0,7,3.7118
2024-05-20,HSE Dublin and North East,1187082,400,2,402,371,252,16,8,7,3.3865
2024-05-20,HSE Dublin and South East,971093,167,44,211,751,601,34,5,7,2.1728
2024-05-20,HSE Mid West,413059,147,290,437,332,130,129,24,7,10.5796
2024-05-20,HSE South West,740614,240,69,309,256,533,40,10,7,4.1722
2024-05-20,HSE West and North West,759652,139,138,277,234,728,57,1,7,3.6464
2024-05-27,HSE Dublin and Midlands,1077639,420,65,485,401,570,72,6,7,4.5006
2024-05-27,HSE Dublin and North East,1187082,247,0,247,287,246,12,2,7,2.0807
2024-05-27,HSE Dublin and South East,971093,145,16,161,694,605,15,2,7,1.6579
2024-05-27,HSE Mid West,413059,171,251,422,320,134,130,34,7,10.2165
2024-05-27,HSE South West,740614,258,41,299,303,543,32,4,7,4.0372
2024-05-27,HSE West and North West,759652,227,144,371,261,713,55,1,7,4.8838
2024-06-03,HSE Dublin and Midlands,1077639,403,57,460,442,534,74,7,7,4.2686
2024-06-03,HSE Dublin and North East,1187082,278,0,278,341,224,5,1,7,2.3419
2024-06-03,HSE Dublin and South East,971093,179,38,217,660,595,29,7,7,2.2346
2024-06-03,HSE Mid West,413059,109,203,312,237,147,83,28,7,7.5534
2024-06-03,HSE South West,740614,331,60,391,274,544,52,4,7,5.2794
2024-06-03,HSE West and North West,759652,200,179,379,227,705,78,2,7,4.9891
2024-06-10,HSE Dublin and Midlands,1077639,367,47,414,439,560,74,3,7,3.8417
2024-06-10,HSE Dublin and North East,1187082,335,0,335,405,227,4,1,7,2.8220
2024-06-10,HSE Dublin and South East,971093,196,32,228,735,546,26,2,7,2.3479
2024-06-10,HSE Mid West,413059,103,200,303,192,140,56,12,7,7.3355
2024-06-10,HSE South West,740614,288,74,362,250,593,81,11,7,4.8878
2024-06-10,HSE West and North West,759652,336,240,576,316,702,135,12,7,7.5824
2024-06-17,HSE Dublin and Midlands,1077639,347,12,359,419,552,38,1,7,3.3314
2024-06-17,HSE Dublin and North East,1187082,328,0,328,431,211,3,0,7,2.7631
2024-06-17,HSE Dublin and South East,971093,220,16,236,668,558,24,8,7,2.4303
2024-06-17,HSE Mid West,413059,98,184,282,221,141,72,24,7,6.8271
2024-06-17,HSE South West,740614,253,47,300,245,539,30,2,7,4.0507
2024-06-17,HSE West and North West,759652,279,198,477,393,682,125,14,7,6.2792
2024-06-24,HSE Dublin and Midlands,1077639,331,0,331,393,550,32,0,7,3.0715
2024-06-24,HSE Dublin and North East,1187082,346,7,353,505,243,6,1,7,2.9737
2024-06-24,HSE Dublin and South East,971093,255,15,270,593,557,54,13,7,2.7804
2024-06-24,HSE Mid West,413059,154,209,363,257,158,104,34,7,8.7881
2024-06-24,HSE South West,740614,219,29,248,250,556,33,3,7,3.3486
2024-06-24,HSE West and North West,759652,256,204,460,260,705,125,7,7,6.0554
2024-07-01,HSE Dublin and Midlands,1077639,244,5,249,297,544,7,0,7,2.3106
2024-07-01,HSE Dublin and North East,1187082,284,0,284,400,333,5,3,7,2.3924
2024-07-01,HSE Dublin and South East,971093,179,31,210,739,585,26,4,7,2.1625
2024-07-01,HSE Mid West,413059,156,220,376,283,173,115,29,7,9.1028
2024-07-01,HSE South West,740614,240,20,260,204,524,33,2,7,3.5106
2024-07-01,HSE West and North West,759652,195,145,340,265,711,84,8,7,4.4757
2024-07-08,HSE Dublin and Midlands,1077639,258,0,258,370,569,14,0,7,2.3941
2024-07-08,HSE Dublin and North East,1187082,170,0,170,288,350,1,0,7,1.4321
2024-07-08,HSE Dublin and South East,971093,205,38,243,741,579,34,8,7,2.5023
2024-07-08,HSE Mid West,413059,196,268,464,248,193,152,48,7,11.2333
2024-07-08,HSE South West,740614,290,45,335,252,521,43,14,7,4.5233
2024-07-08,HSE West and North West,759652,229,204,433,258,724,107,5,7,5.7000
2024-07-15,HSE Dublin and Midlands,1077639,329,3,332,374,591,28,6,7,3.0808
2024-07-15,HSE Dublin and North East,1187082,198,0,198,281,334,0,0,7,1.6680
2024-07-15,HSE Dublin and South East,971093,149,22,171,612,575,13,1,7,1.7609
2024-07-15,HSE Mid West,413059,154,235,389,232,158,105,25,7,9.4175
2024-07-15,HSE South West,740614,256,30,286,226,523,34,5,7,3.8617
2024-07-15,HSE West and North West,759652,253,210,463,257,778,118,0,7,6.0949
2024-07-22,HSE Dublin and Midlands,1077639,368,14,382,436,591,25,1,7,3.5448
2024-07-22,HSE Dublin and North East,1187082,203,0,203,292,319,1,0,7,1.7101
2024-07-22,HSE Dublin and South East,971093,128,36,164,506,645,20,4,7,1.6888
2024-07-22,HSE Mid West,413059,112,208,320,201,139,85,39,7,7.7471
2024-07-22,HSE South West,740614,270,46,316,232,550,33,2,7,4.2667
2024-07-22,HSE West and North West,759652,241,208,449,280,810,113,3,7,5.9106
2024-07-29,HSE Dublin and Midlands,1077639,325,20,345,340,547,43,1,7,3.2014
2024-07-29,HSE Dublin and North East,1187082,210,0,210,258,259,0,0,7,1.7690
2024-07-29,HSE Dublin and South East,971093,144,40,184,559,546,24,5,7,1.8948
2024-07-29,HSE Mid West,413059,118,200,318,218,140,80,46,7,7.6987
2024-07-29,HSE South West,740614,140,20,160,190,566,9,1,7,2.1604
2024-07-29,HSE West and North West,759652,231,203,434,287,818,114,1,7,5.7131
2024-08-05,HSE Dublin and Midlands,1077639,315,20,335,411,527,27,0,7,3.1086
2024-08-05,HSE Dublin and North East,1187082,216,0,216,283,246,0,1,7,1.8196
2024-08-05,HSE Dublin and South East,971093,207,19,226,538,580,37,9,7,2.3273
2024-08-05,HSE Mid West,413059,130,243,373,282,148,109,26,7,9.0302
2024-08-05,HSE South West,740614,213,23,236,209,501,21,1,7,3.1865
2024-08-05,HSE West and North West,759652,228,194,422,290,795,105,0,7,5.5552
2024-08-12,HSE Dublin and Midlands,1077639,291,37,328,340,504,33,3,7,3.0437
2024-08-12,HSE Dublin and North East,1187082,149,0,149,236,274,0,0,7,1.2552
2024-08-12,HSE Dublin and South East,971093,180,8,188,586,596,29,5,7,1.9360
2024-08-12,HSE Mid West,413059,37,125,162,160,174,34,9,7,3.9220
2024-08-12,HSE South West,740614,188,39,227,193,502,38,5,7,3.0650
2024-08-12,HSE West and North West,759652,193,191,384,262,780,82,1,7,5.0549
2024-08-19,HSE Dublin and Midlands,1077639,228,34,262,280,523,50,0,7,2.4312
2024-08-19,HSE Dublin and North East,1187082,214,0,214,223,293,2,2,7,1.8027
2024-08-19,HSE Dublin and South East,971093,231,20,251,689,570,42,2,7,2.5847
2024-08-19,HSE Mid West,413059,0,0,0,141,155,0,1,7,0.0000
2024-08-19,HSE South West,740614,158,16,174,199,582,10,0,7,2.3494
2024-08-19,HSE West and North West,759652,172,183,355,244,804,94,1,7,4.6732
2024-08-26,HSE Dublin and Midlands,1077639,308,48,356,254,506,71,2,7,3.3035
2024-08-26,HSE Dublin and North East,1187082,249,0,249,271,307,0,0,7,2.0976
2024-08-26,HSE Dublin and South East,971093,241,18,259,527,552,52,2,7,2.6671
2024-08-26,HSE Mid West,413059,6,97,103,217,166,15,1,7,2.4936
2024-08-26,HSE South West,740614,168,21,189,153,611,23,0,7,2.5519
2024-08-26,HSE West and North West,759652,190,179,369,319,806,103,5,7,4.8575
2024-09-02,HSE Dublin and Midlands,1077639,258,35,293,233,497,46,3,7,2.7189
2024-09-02,HSE Dublin and North East,1187082,284,0,284,307,298,5,0,7,2.3924
2024-09-02,HSE Dublin and South East,971093,227,37,264,609,562,61,4,7,2.7186
2024-09-02,HSE Mid West,413059,13,185,198,271,217,42,8,7,4.7935
2024-09-02,HSE South West,740614,181,20,201,196,641,13,0,7,2.7140
2024-09-02,HSE West and North West,759652,173,188,361,240,739,78,0,7,4.7522
2024-09-09,HSE Dublin and Midlands,1077639,208,4,212,279,477,20,1,7,1.9673
2024-09-09,HSE Dublin and North East,1187082,274,0,274,294,296,2,1,7,2.3082
2024-09-09,HSE Dublin and South East,971093,291,48,339,712,544,76,9,7,3.4909
2024-09-09,HSE Mid West,413059,40,209,249,271,198,73,10,7,6.0282
2024-09-09,HSE South West,740614,289,64,353,209,580,25,9,7,4.7663
2024-09-09,HSE West and North West,759652,209,201,410,294,708,111,1,7,5.3972
2024-09-16,HSE Dublin and Midlands,1077639,331,18,349,389,481,33,1,7,3.2386
2024-09-16,HSE Dublin and North East,1187082,265,0,265,355,279,1,0,7,2.2324
2024-09-16,HSE Dublin and South East,971093,267,56,323,693,559,48,7,7,3.3261
2024-09-16,HSE Mid West,413059,97,182,279,275,192,70,26,7,6.7545
2024-09-16,HSE South West,740614,286,63,349,209,569,31,4,7,4.7123
2024-09-16,HSE West and North West,759652,268,236,504,298,725,149,9,7,6.6346
2024-09-23,HSE Dublin and Midlands,1077639,303,48,351,401,453,41,4,7,3.2571
2024-09-23,HSE Dublin and North East,1187082,333,0,333,373,291,4,0,7,2.8052
2024-09-23,HSE Dublin and South East,971093,244,53,297,749,565,45,3,7,3.0584
2024-09-23,HSE Mid West,413059,101,215,316,259,192,61,8,7,7.6502
2024-09-23,HSE South West,740614,272,44,316,243,596,36,5,7,4.2667
2024-09-23,HSE West and North West,759652,261,270,531,375,751,179,2,7,6.9900
2024-09-30,HSE Dublin and Midlands,1077639,359,55,414,363,432,51,5,7,3.8417
2024-09-30,HSE Dublin and North East,1187082,397,0,397,395,299,5,0,7,3.3443
2024-09-30,HSE Dublin and South East,971093,306,45,351,782,605,61,7,7,3.6145
2024-09-30,HSE Mid West,413059,132,257,389,291,168,101,24,7,9.4175
2024-09-30,HSE South West,740614,317,80,397,284,591,40,5,7,5.3604
2024-09-30,HSE West and North West,759652,257,255,512,339,827,167,13,7,6.7399
2024-10-07,HSE Dublin and Midlands,1077639,374,79,453,436,437,66,7,7,4.2036
2024-10-07,HSE Dublin and North East,1187082,299,0,299,327,248,8,0,7,2.5188
2024-10-07,HSE Dublin and South East,971093,265,61,326,852,609,36,4,7,3.3570
2024-10-07,HSE Mid West,413059,129,234,363,270,124,93,27,7,8.7881
2024-10-07,HSE South West,740614,217,67,284,216,497,43,9,7,3.8347
2024-10-07,HSE West and North West,759652,209,250,459,267,772,131,4,7,6.0422
2024-10-14,HSE Dublin and Midlands,1077639,307,36,343,452,474,38,0,7,3.1829
2024-10-14,HSE Dublin and North East,1187082,311,0,311,374,235,2,2,7,2.6199
2024-10-14,HSE Dublin and South East,971093,274,56,330,679,641,53,9,7,3.3982
2024-10-14,HSE Mid West,413059,108,226,334,238,128,65,21,7,8.0860
2024-10-14,HSE South West,740614,191,35,226,252,465,22,2,7,3.0515
2024-10-14,HSE West and North West,759652,251,172,423,331,721,123,7,7,5.5683
2024-10-21,HSE Dublin and Midlands,1077639,263,74,337,321,444,75,5,7,3.1272
2024-10-21,HSE Dublin and North East,1187082,287,0,287,380,273,0,0,7,2.4177
2024-10-21,HSE Dublin and South East,971093,191,38,229,568,610,31,7,7,2.3582
2024-10-21,HSE Mid West,413059,81,193,274,251,137,58,21,7,6.6334
2024-10-21,HSE South West,740614,156,48,204,207,509,10,1,7,2.7545
2024-10-21,HSE West and North West,759652,204,189,393,331,717,102,3,7,5.1734
2024-10-28,HSE Dublin and Midlands,1077639,291,31,322,476,440,26,0,7,2.9880
2024-10-28,HSE Dublin and North East,1187082,327,0,327,334,268,8,1,7,2.7547
2024-10-28,HSE Dublin and South East,971093,173,38,211,538,603,29,2,7,2.1728
2024-10-28,HSE Mid West,413059,134,239,373,230,120,101,11,7,9.0302
2024-10-28,HSE South West,740614,178,42,220,225,439,16,3,7,2.9705
2024-10-28,HSE West and North West,759652,213,142,355,356,731,67,0,7,4.6732
2024-11-04,HSE Dublin and Midlands,1077639,322,40,362,595,496,17,8,7,3.3592
2024-11-04,HSE Dublin and North East,1187082,362,0,362,357,285,0,0,7,3.0495
2024-11-04,HSE Dublin and South East,971093,262,65,327,642,610,54,14,7,3.3673
2024-11-04,HSE Mid West,413059,185,267,452,319,98,136,30,7,10.9427
2024-11-04,HSE South West,740614,269,88,357,262,455,47,8,7,4.8203
2024-11-04,HSE West and North West,759652,284,190,474,349,771,96,5,7,6.2397
2024-11-11,HSE Dublin and Midlands,1077639,365,40,405,586,513,37,4,7,3.7582
2024-11-11,HSE Dublin and North East,1187082,298,0,298,402,291,6,1,7,2.5104
2024-11-11,HSE Dublin and South East,971093,216,54,270,575,575,43,10,7,2.7804
2024-11-11,HSE Mid West,413059,157,241,398,290,102,110,11,7,9.6354
2024-11-11,HSE South West,740614,176,60,236,274,479,21,2,7,3.1865
2024-11-11,HSE West and North West,759652,302,192,494,354,752,112,0,7,6.5030
2024-11-18,HSE Dublin and Midlands,1077639,332,43,375,553,540,36,1,7,3.4798
2024-11-18,HSE Dublin and North East,1187082,378,0,378,391,280,13,1,7,3.1843
2024-11-18,HSE Dublin and South East,971093,228,66,294,615,564,62,15,7,3.0275
2024-11-18,HSE Mid West,413059,140,266,406,290,83,137,6,7,9.8291
2024-11-18,HSE South West,740614,192,59,251,253,470,27,3,7,3.3891
2024-11-18,HSE West and North West,759652,259,205,464,348,710,89,1,7,6.1081
2024-11-25,HSE Dublin and Midlands,1077639,444,43,487,657,555,58,14,7,4.5191
2024-11-25,HSE Dublin and North East,1187082,475,1,476,497,273,18,8,7,4.0098
2024-11-25,HSE Dublin and South East,971093,298,110,408,817,630,83,14,7,4.2015
2024-11-25,HSE Mid West,413059,109,251,360,294,101,94,10,7,8.7155
2024-11-25,HSE South West,740614,306,65,371,282,452,49,12,7,5.0094
2024-11-25,HSE West and North West,759652,248,188,436,359,753,104,3,7,5.7395
2024-12-02,HSE Dublin and Midlands,1077639,390,54,444,713,518,47,7,7,4.1201
2024-12-02,HSE Dublin and North East,1187082,442,5,447,532,336,22,10,7,3.7655
2024-12-02,HSE Dublin and South East,971093,302,104,406,759,619,118,20,7,4.1809
2024-12-02,HSE Mid West,413059,152,274,426,320,150,93,5,7,10.3133
2024-12-02,HSE South West,740614,250,69,319,263,499,49,20,7,4.3072
2024-12-02,HSE West and North West,759652,223,195,418,323,723,84,2,7,5.5025
2024-12-09,HSE Dublin and Midlands,1077639,456,63,519,676,501,60,9,7,4.8161
2024-12-09,HSE Dublin and North East,1187082,427,0,427,602,402,19,13,7,3.5971
2024-12-09,HSE Dublin and South East,971093,286,84,370,720,571,96,9,7,3.8101
2024-12-09,HSE Mid West,413059,113,249,362,301,134,93,4,7,8.7639
2024-12-09,HSE South West,740614,210,52,262,273,518,22,7,7,3.5376
2024-12-09,HSE West and North West,759652,213,217,430,292,713,110,0,7,5.6605
2024-12-16,HSE Dublin and Midlands,1077639,438,62,500,729,478,38,0,7,4.6398
2024-12-16,HSE Dublin and North East,1187082,352,0,352,466,376,10,2,7,2.9653
2024-12-16,HSE Dublin and South East,971093,147,66,213,568,577,50,6,7,2.1934
2024-12-16,HSE Mid West,413059,145,276,421,267,129,120,2,7,10.1922
2024-12-16,HSE South West,740614,286,72,358,263,483,42,13,7,4.8338
2024-12-16,HSE West and North West,759652,202,199,401,318,652,115,0,7,5.2787
2024-12-23,HSE Dublin and Midlands,1077639,160,2,162,313,440,6,2,7,1.5033
2024-12-23,HSE Dublin and North East,1187082,133,0,133,260,327,2,0,7,1.1204
2024-12-23,HSE Dublin and South East,971093,92,7,99,373,485,1,0,7,1.0195
2024-12-23,HSE Mid West,413059,78,128,206,161,148,60,0,7,4.9872
2024-12-23,HSE South West,740614,113,16,129,105,398,16,2,7,1.7418
2024-12-23,HSE West and North West,759652,129,66,195,230,577,35,0,7,2.5670
2024-12-30,HSE Dublin and Midlands,1077639,377,46,423,802,452,35,14,7,3.9252
2024-12-30,HSE Dublin and North East,1187082,213,0,213,495,340,6,4,7,1.7943
2024-12-30,HSE Dublin and South East,971093,243,96,339,840,447,76,14,7,3.4909
2024-12-30,HSE Mid West,413059,168,269,437,299,131,152,4,7,10.5796
2024-12-30,HSE South West,740614,326,66,392,318,464,69,9,7,5.2929
2024-12-30,HSE West and North West,759652,344,201,545,535,602,146,7,7,7.1743
2025-01-06,HSE Dublin and Midlands,1077639,499,86,585,990,432,98,4,7,5.4285
2025-01-06,HSE Dublin and North East,1187082,382,0,382,745,361,17,7,7,3.2180
2025-01-06,HSE Dublin and South East,971093,244,93,337,853,536,61,6,7,3.4703
2025-01-06,HSE Mid West,413059,199,287,486,332,132,139,0,7,11.7659
2025-01-06,HSE South West,740614,438,100,538,373,440,120,25,7,7.2642
2025-01-06,HSE West and North West,759652,347,261,608,609,668,169,5,7,8.0037
2025-01-13,HSE Dublin and Midlands,1077639,387,90,477,874,420,107,10,7,4.4263
2025-01-13,HSE Dublin and North East,1187082,380,0,380,797,359,14,3,7,3.2011
2025-01-13,HSE Dublin and South East,971093,246,109,355,816,561,68,19,7,3.6557
2025-01-13,HSE Mid West,413059,189,272,461,368,128,150,0,7,11.1606
2025-01-13,HSE South West,740614,381,139,520,366,514,115,21,7,7.0212
2025-01-13,HSE West and North West,759652,306,319,625,570,667,217,14,7,8.2275
2025-01-20,HSE Dublin and Midlands,1077639,332,50,382,693,425,64,0,7,3.5448
2025-01-20,HSE Dublin and North East,1187082,413,3,416,752,350,3,1,7,3.5044
2025-01-20,HSE Dublin and South East,971093,305,185,490,765,554,108,13,7,5.0459
2025-01-20,HSE Mid West,413059,98,254,352,309,123,103,0,7,8.5218
2025-01-20,HSE South West,740614,382,99,481,393,616,68,3,7,6.4946
2025-01-20,HSE West and North West,759652,351,293,644,519,838,225,10,7,8.4776
2025-01-27,HSE Dublin and Midlands,1077639,436,34,470,895,422,36,8,7,4.3614
2025-01-27,HSE Dublin and North East,1187082,485,0,485,887,394,10,5,7,4.0856
2025-01-27,HSE Dublin and South East,971093,226,148,374,697,536,104,12,7,3.8513
2025-01-27,HSE Mid West,413059,112,281,393,362,118,102,0,7,9.5144
2025-01-27,HSE South West,740614,350,119,469,376,598,43,6,7,6.3326
2025-01-27,HSE West and North West,759652,384,348,732,644,892,231,11,7,9.6360
2025-02-03,HSE Dublin and Midlands,1077639,381,47,428,1039,408,65,2,7,3.9716
2025-02-03,HSE Dublin and North East,1187082,537,0,537,1012,400,46,15,7,4.5237
