week,HSE Dublin and Midlands,HSE Dublin and North East,HSE Dublin and South East,HSE Mid West,HSE South West,HSE West and North West
2023-01-02,2.497092219258255,2.6129431319571164,3.076930938188444,-0.7994778517966928,0.2852484047721055,1.4689072275304689
2023-01-09,-0.6529948142263124,-1.109592413887243,-0.962041961912289,-2.523609793015126,-0.9121665176296134,-1.852859967361045
2023-01-16,-0.1891849069175184,-1.6591629193895445,-1.3336001759606273,-0.5361229871759325,-0.2658517977714032,1.1808078361034038
2023-01-23,-1.2160883844302481,-1.2184930653669759,-0.019457927250828982,-1.2228371248130638,0.6552984158023937,-0.9124597095436447
2023-01-30,-0.02040309173615595,-1.1380214426998723,-0.8038245403679514,0.032937355493888265,-0.5468575242178408,-0.6251772623695178
2023-02-06,0.8543165332294568,-0.6171844123295975,1.454085126460569,0.24499298549535764,-1.4493183034401231,-0.6288449576844936
2023-02-13,0.7413001121276918,2.7655349297459075,0.24761981928338642,0.2717838018406338,1.4167432360239856,1.436922658328496
2023-02-20,1.0738632694442687,0.7362320975543448,-0.6001171631369507,0.20665326627379413,0.3016085519919189,0.5204451560764939
2023-02-27,-0.09375015173199111,-1.353430378075777,1.0599997161261878,-0.26244583782788283,-0.6043844207743001,-1.0743351481149106
2023-03-06,2.8843612923514366,-0.9010837626910623,0.6988502112543062,-0.29942292345456506,2.212846370637202,0.831251163972327
2023-03-13,-0.06598466848701873,-0.08921632265883885,-0.09600596734565206,-0.2806416741093661,-0.2545948320506619,1.223518337764208
2023-03-20,1.417790957507293,1.093831635025602,1.4616763989239412,0.7328404254061658,0.518332744673445,1.3394890754972766
2023-03-27,0.7008027142104696,0.7347289169691326,-0.4028232594190208,-0.14827576126168293,1.1804139346686722,0.1870973545554003
2023-04-03,-1.694976874265894,-0.7702471283940935,-2.486390973086653,-0.2701128139414969,-0.3231466479522693,0.9422059032570663
2023-04-10,0.8466717166961522,-1.5802537907086969,1.3223848447171405,-0.8736421193205175,0.712585437966099,0.08197352205113433
2023-04-17,1.2335863774179225,0.6063441642693336,2.1445247027261827,0.40682553865106563,0.9935868031015651,0.14842287564651546
2023-04-24,0.8526806842376,-0.03831578414422839,1.6795666742185063,0.1838996928988653,0.2352802217885395,-0.22884817792502385
2023-05-01,2.058555890620948,1.6764037355670232,2.049009895833455,0.340448508224701,0.4660379019791715,1.5333201886594137
2023-05-08,2.179603389753539,0.7648322716514917,0.07396888233337341,-0.8856535156644131,1.0383350358383594,0.8516003378911459
2023-05-15,-1.6349644372243732,-0.037545761746391015,-1.4319117348311365,-0.43968920140527923,0.5634733681472388,-0.24975806142439888
2023-05-22,0.08712087395998327,1.209603844904915,0.8497089176305715,0.7802319871641086,-0.10640501058199922,-0.1711830063542784
2023-05-29,-0.033122093569804806,-1.1935250512631193,-1.6073286560452178,-0.5805873750728894,-1.1101802474431113,-0.8921086956242299
2023-06-05,-0.8422878663448989,-2.305956656983314,0.018615625259641812,-0.06907413147475912,-1.126266305323832,0.703824165841386
2023-06-12,1.5254440479740898,-0.8643214768418762,0.9497869780360492,-0.38519537364410744,1.0129149646761606,0.5814134413793953
2023-06-19,0.8601434502982352,0.2850736740497989,-0.5555670473297871,0.2309987830334692,0.1711106393328815,1.0572849329854561
2023-06-26,1.351939811065188,-1.2121785404193421,-0.331879005428259,1.0100720412958377,-0.8982613948759863,-1.2173778495851058
2023-07-03,0.8414911144154034,-0.9981408342084295,1.0784428231613141,-0.10976047431549234,-0.8157431011235224,-1.4606259784543494
2023-07-10,0.25971562282876776,0.2866525900473055,-0.2665379149642395,-0.1374165047525245,0.940854793087005,0.8530209472291488
2023-07-17,-2.1711171671198644,-0.09354228938171004,-0.11690770407007044,0.008652097175575678,0.41666108777840516,0.12163617484252079
2023-07-24,-0.09767078167130695,-0.6955827364282499,1.3245225623872898,0.5780243940866056,0.7773266867366415,0.2823248113766753
2023-07-31,-0.049090968700208855,-0.6837400122764391,0.2766201456552301,-0.6100124238126413,0.19114725192968318,0.7606406979696888
2023-08-07,-0.021365946902927247,1.8948439915729651,-0.3587884227332468,-0.21662714672226294,-1.5700426123511035,1.1084956620595814
2023-08-14,1.6207977188636917,0.3340410203839037,-0.062255207330219116,-0.549031457547775,0.7606269735534441,-0.44170213787415713
2023-08-21,-0.22895555109906648,-0.5012005268110756,0.15136507789791376,0.10265416310112291,1.999625849904672,-0.20922041054345308
2023-08-28,0.37873560571326503,-1.0219639217141516,-0.7782456592380936,0.64684510326395,1.7136841800429088,0.42533220653153614
2023-09-04,1.2842008460271583,0.00745158695178544,-0.24011762175757118,1.1258874127214662,-0.031265768641699984,1.2103424520814803
2023-09-11,0.4229665294376552,-0.6734179008384071,-0.04898279620065454,0.03620534502334384,-0.9103164962147071,-0.923701157683259
2023-09-18,0.1940594891015922,0.3589705151051422,1.549305243938302,0.3792461456861231,0.6463976772452805,-0.8476619720260363
2023-09-25,1.779746583755809,0.6834924189967345,-0.7965469553344577,0.9422340428110132,1.4988806315064553,-0.2377646301602429
2023-10-02,0.6768587089884693,-0.040933656791545675,-0.3427194481321722,0.5370386053213163,-0.38115028567106396,0.31921239099271276
2023-10-09,0.8468749530811716,0.3392655680798532,0.18863576097126486,-0.4658350461944555,0.03975147742346964,-0.15500329545329267
2023-10-16,-0.8632306305384878,-0.8437944919478089,-0.4687258068114581,0.6461755310837548,-0.4561812398387666,-0.6972027074713425
2023-10-23,0.7302424534480628,0.18138755170893195,0.27296585321513644,-0.6163774876060178,0.31028803926906323,-0.21917195993013958
2023-10-30,1.555716553508047,0.6165375556968438,-0.4886083165606947,-0.8124878492046564,0.6593383421032996,-0.09938219583796984
2023-11-06,1.576687720605527,0.17706342083530735,0.95856164611241,0.6957737247221527,0.1221463921293034,0.459310407299931
2023-11-13,-0.06012266813359296,0.22666436135226212,-0.13209402151115252,1.2091148403339318,0.44208204106314825,0.5398328172829414
2023-11-20,-1.278827544010763,-0.3943421199546473,-0.5402903493488,-0.09868178008797818,-0.9162326264040815,-1.8200302448692331
2023-11-27,-0.35707067566600753,-0.9821022629841114,0.6851468526687439,-0.26033239007722925,0.6715239029262297,-0.5937266970843903
2023-12-04,2.6567373600119857,0.9738476910513182,-0.7515652339144685,0.9761147764600364,-0.9112334355145812,2.0390715900521683
2023-12-11,0.9545367309866435,-0.5525254973940888,0.3031698319589521,0.8556552530272895,1.2463110822710513,1.2861943464055976
2023-12-18,-2.4162998983897346,-1.5355944544173872,0.11958872846783991,-1.2837747435195705,-1.1226219513545457,-1.3069670667858457
2023-12-25,0.15419460058874443,0.1815884629844332,-0.973796422506509,0.2219183905496353,0.68741076841207,-0.15851872100231082
2024-01-01,0.9040438767569662,1.3250388015384902,-1.3347094487841642,1.0787540926838535,1.6884372815199342,1.0675044992668041
2024-01-08,-1.7184772443403031,-1.3068774736107303,-1.015582973040273,-1.034082144479797,-1.5462912394355668,-2.821209160196997
2024-01-15,0.1471327743229439,0.7422701133182376,0.20760295252666006,0.5526048951099342,1.711389718891609,-0.18058535124292757
2024-01-22,0.7633834297023468,-0.12895849786949726,-0.5677288626940465,1.2816826626323305,0.6356081448845201,0.7983394548612223
2024-01-29,-1.3283409895765574,-0.37712852264295527,0.17277838505727985,0.9873306233144267,-2.0462943769854745,-0.5600007068282857
2024-02-05,0.5063600515408798,1.1719288306205877,1.4396144428098785,1.553338496525532,-0.8850502295390635,0.2076608713381966
2024-02-12,-1.0608850114582309,-1.0776712870911946,0.20274477382304298,-0.5409464149066908,-0.7158696802682841,0.8155549326569641
2024-02-19,0.5293427853392201,1.2205530170292864,-1.8218529750758607,-0.25091839392721516,-0.893533060657149,-1.0226457762675683
2024-02-26,0.6366589387869098,-1.163741333104295,-0.21395972073234001,0.7754023137927057,0.6586907786050973,-1.5052508986072017
2024-03-04,-0.11707867746649397,-0.2998488452411363,0.08822263491817661,0.04319789919162218,-1.0128409237443352,-1.2472002915860267
2024-03-11,0.24805311893918303,1.3967419811382475,0.7210469886900612,-0.29022105783032975,0.576301327421023,-0.6894197328284932
2024-03-18,-0.8697621578870547,-0.09070076921788046,-0.96229403918297,0.9668591480470655,0.44522227349628285,0.5060598815018228
2024-03-25,0.4388820483470416,-0.6249317968516988,0.5813637652546748,0.5165806817433265,-1.1785975433285965,-0.8260680300730755
