date,hospital,ed_trolleys,ward_trolleys,total_trolleys
2023-01-05,CHI at Crumlin,7,0,7
2023-01-05,CHI at Tallaght,1,0,1
2023-01-05,CHI at Temple Street,5,0,5
2023-01-05,Cavan General Hospital,10,1,11
2023-01-05,Connolly Hospital,1,0,1
2023-01-05,Cork University Hospital,34,3,37
2023-01-05,Galway University Hospital,25,10,35
2023-01-05,Letterkenny University Hospital,22,13,35
2023-01-05,MRH Mullingar,6,0,6
2023-01-05,MRH Portlaoise,0,0,0
2023-01-05,MRH Tullamore,0,0,0
2023-01-05,Mater Misericordiae University Hospital,18,0,18
2023-01-05,Mayo University Hospital,14,11,25
2023-01-05,Mercy University Hospital,17,0,17
2023-01-05,Naas General Hospital,15,4,19
2023-01-05,Our Lady of Lourdes Hospital,21,0,21
2023-01-05,Our Lady's Hospital Navan,0,0,0
2023-01-05,Portiuncula University Hospital,5,16,11
2023-01-05,Sligo University Hospital,12,12,24
2023-01-05,St Luke's General Hospital Kilkenny,16,6,22
2023-01-05,St. James's Hospital,38,0,38
2023-01-05,St. Vincent's University Hospital,21,0,21
2023-01-05,Tallaght University Hospital,37,0,37
2023-01-05,Tipperary University Hospital,10,0,10
2023-01-05,UH Kerry,18,0,18
2023-01-05,UH Limerick,14,23,37
2023-01-05,UH Waterford,0,0,0
2023-01-05,Wexford General Hospital,12,3,15
2023-01-06,Beaumont Hospital,18,0,18
2023-01-06,CHI at Crumlin,5,0,5
2023-01-06,CHI at Tallaght,0,0,0
2023-01-06,CHI at Temple Street,2,0,2
2023-01-06,Cavan General Hospital,4,2,6
2023-01-06,Connolly Hospital,5,0,5
2023-01-06,Cork University Hospital,30,8,38
2023-01-06,Galway University Hospital,4,5,9
2023-01-06,Letterkenny University Hospital,20,8,28
2023-01-06,MRH Mullingar,7,0,7
2023-01-06,MRH Portlaoise,0,0,0
2023-01-06,MRH Tullamore,0,0,0
2023-01-06,Mater Misericordiae University Hospital,18,0,18
2023-01-06,Mayo University Hospital,12,10,22
2023-01-06,Mercy University Hospital,11,0,11
2023-01-06,Naas General Hospital,24,4,28
2023-01-06,Our Lady of Lourdes Hospital,9,3,12
2023-01-06,Our Lady's Hospital Navan,16,0,16
2023-01-06,Portiuncula University Hospital,5,0,5
2023-01-06,Sligo University Hospital,14,11,25
2023-01-06,St Luke's General Hospital Kilkenny,21,5,26
2023-01-06,St. James's Hospital,34,0,34
2023-01-06,St. Vincent's University Hospital,22,0,22
2023-01-06,Tallaght University Hospital,14,0,14
2023-01-06,Tipperary University Hospital,1,0,1
2023-01-06,UH Kerry,19,0,19
2023-01-06,UH Limerick,20,14,34
2023-01-06,UH Waterford,0,0,0
2023-01-06,Wexford General Hospital,11,4,15
2023-01-07,Beaumont Hospital,0,0,0
2023-01-07,CHI at Crumlin,1,0,1
2023-01-07,CHI at Tallaght,3,0,3
2023-01-07,CHI at Temple Street,1,0,1
2023-01-07,Cavan General Hospital,5,1,6
2023-01-07,Connolly Hospital,2,0,2
2023-01-07,Cork University Hospital,23,3,26
2023-01-07,Galway University Hospital,15,0,15
2023-01-07,Letterkenny University Hospital,11,6,17
2023-01-07,MRH Mullingar,9,0,9
2023-01-07,MRH Portlaoise,13,0,13
2023-01-07,MRH Tullamore,0,0,0
2023-01-07,Mater Misericordiae University Hospital,9,0,9
2023-01-07,Mayo University Hospital,9,6,15
2023-01-07,Mercy University Hospital,9,0,9
2023-01-07,Naas General Hospital,15,3,18
2023-01-07,Our Lady of Lourdes Hospital,4,0,4
2023-01-07,Our Lady's Hospital Navan,16,17,1
2023-01-07,Portiuncula University Hospital,4,10,6
2023-01-07,Sligo University Hospital,8,11,19
2023-01-07,St Luke's General Hospital Kilkenny,14,0,14
2023-01-07,St. James's Hospital,17,0,17
2023-01-07,St. Vincent's University Hospital,20,0,20
2023-01-07,Tallaght University Hospital,6,0,6
2023-01-07,Tipperary University Hospital,4,0,4
2023-01-07,UH Kerry,19,0,19
2023-01-07,UH Limerick,5,5,10
2023-01-07,UH Waterford,0,0,0
2023-01-07,Wexford General Hospital,4,0,4
2023-01-08,Beaumont Hospital,0,0,0
2023-01-08,CHI at Crumlin,2,0,2
2023-01-08,CHI at Tallaght,0,0,0
2023-01-08,CHI at Temple Street,0,0,0
2023-01-08,Cavan General Hospital,12,1,13
2023-01-08,Connolly Hospital,0,0,0
2023-01-08,Cork University Hospital,12,1,13
2023-01-08,Galway University Hospital,2,0,2
2023-01-08,Letterkenny University Hospital,23,0,23
2023-01-08,MRH Mullingar,9,0,9
2023-01-08,MRH Portlaoise,6,0,6
2023-01-08,MRH Tullamore,0,0,0
2023-01-08,Mater Misericordiae University Hospital,9,0,9
2023-01-08,Mayo University Hospital,6,8,14
2023-01-08,Mercy University Hospital,3,0,3
2023-01-08,Naas General Hospital,12,4,16
2023-01-08,Our Lady of Lourdes Hospital,6,2,8
2023-01-08,Our Lady's Hospital Navan,0,0,0
2023-01-08,Portiuncula University Hospital,9,0,9
2023-01-08,Sligo University Hospital,1,14,15
2023-01-08,St Luke's General Hospital Kilkenny,14,0,14
2023-01-08,St. James's Hospital,11,0,11
2023-01-08,St. Vincent's University Hospital,30,0,30
2023-01-08,Tallaght University Hospital,19,0,19
2023-01-08,Tipperary University Hospital,9,0,9
2023-01-08,UH Kerry,16,0,16
2023-01-08,UH Limerick,5,9,14
2023-01-08,UH Waterford,0,0,0
2023-01-08,Wexford General Hospital,15,0,15
2023-01-09,Beaumont Hospital,6,0,6
2023-01-09,CHI at Crumlin,1,0,1
2023-01-09,CHI at Tallaght,3,0,3
2023-01-09,CHI at Temple Street,2,0,2
2023-01-09,Cavan General Hospital,20,1,21
2023-01-09,Connolly Hospital,0,0,0
2023-01-09,Cork University Hospital,14,2,16
2023-01-09,Galway University Hospital,5,2,7
2023-01-09,Letterkenny University Hospital,15,8,23
2023-01-09,MRH Mullingar,12,0,12
2023-01-09,MRH Portlaoise,4,0,4
2023-01-09,MRH Tullamore,0,0,0
2023-01-09,Mater Misericordiae University Hospital,18,0,18
2023-01-09,Mayo University Hospital,11,9,20
2023-01-09,Mercy University Hospital,11,0,11
2023-01-09,Naas General Hospital,13,4,17
2023-01-09,Our Lady of Lourdes Hospital,15,2,17
2023-01-09,Our Lady's Hospital Navan,8,0,8
2023-01-09,Portiuncula University Hospital,1,13,12
2023-01-09,Sligo University Hospital,5,13,18
2023-01-09,St Luke's General Hospital Kilkenny,16,5,21
2023-01-09,St. James's Hospital,23,0,23
2023-01-09,St. Vincent's University Hospital,22,0,22
