date,hospital,ed_trolleys,ward_trolleys,total_trolleys
2024-04-06,Sligo University Hospital,1,5,6
2024-04-06,South Infirmary Victoria University Hospital,0,0,0
2024-04-06,St Luke's General Hospital Kilkenny,4,0,4
2024-04-06,St. Columcille's Hospital,0,0,0
2024-04-06,St. James's Hospital,14,0,14
2024-04-06,St. John's Hospital Limerick,0,0,0
2024-04-06,St. Luke's Radiation Oncology Network,0,0,0
2024-04-06,St. Michael's Hospital,0,0,0
2024-04-06,St. Vincent's University Hospital,5,0,5
2024-04-06,Tallaght University Hospital,11,0,11
2024-04-06,Tipperary University Hospital,6,0,6
2024-04-06,UH Kerry,10,0,10
2024-04-06,UH Limerick,11,25,36
2024-04-06,UH Waterford,0,0,0
2024-04-06,Wexford General Hospital,3,2,5
2024-04-07,Bantry General Hospital,0,0,0
2024-04-07,Beaumont Hospital,0,0,0
2024-04-07,CHI at Crumlin,4,0,4
2024-04-07,CHI at Tallaght,0,0,0
2024-04-07,CHI at Temple Street,5,0,5
2024-04-07,Cavan General Hospital,3,0,3
2024-04-07,Connolly Hospital,19,0,19
2024-04-07,Cork University Hospital,19,7,26
2024-04-07,Ennis Hospital,0,0,0
2024-04-07,Galway University Hospital,18,12,30
2024-04-07,Letterkenny University Hospital,2,5,7
2024-04-07,Louth County Hospital,0,0,0
2024-04-07,MRH Mullingar,3,0,3
2024-04-07,MRH Portlaoise,1,0,1
2024-04-07,MRH Tullamore,0,0,0
2024-04-07,Mallow General Hospital,0,0,0
2024-04-07,Mater Misericordiae University Hospital,5,0,5
2024-04-07,Mayo University Hospital,9,11,20
2024-04-07,Mercy University Hospital,18,0,18
2024-04-07,Naas General Hospital,17,4,21
2024-04-07,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-07,National Rehabilitation Hospital,0,0,0
2024-04-07,Nenagh Hospital,0,0,0
2024-04-07,Our Lady of Lourdes Hospital,10,0,10
2024-04-07,Our Lady's Hospital Navan,0,0,0
2024-04-07,Portiuncula University Hospital,0,5,5
2024-04-07,Roscommon University Hospital,0,0,0
2024-04-07,Sligo University Hospital,3,7,10
2024-04-07,South Infirmary Victoria University Hospital,0,0,0
2024-04-07,St Luke's General Hospital Kilkenny,9,0,9
2024-04-07,St. Columcille's Hospital,0,0,0
2024-04-07,St. James's Hospital,25,0,25
2024-04-07,St. John's Hospital Limerick,0,0,0
2024-04-07,St. Luke's Radiation Oncology Network,0,0,0
2024-04-07,St. Michael's Hospital,0,0,0
2024-04-07,St. Vincent's University Hospital,16,0,16
2024-04-07,Tallaght University Hospital,15,0,15
2024-04-07,Tipperary University Hospital,18,0,18
2024-04-07,UH Kerry,16,0,16
2024-04-07,UH Limerick,15,34,49
2024-04-07,UH Waterford,0,0,0
2024-04-07,Wexford General Hospital,5,4,9
2024-04-08,Bantry General Hospital,0,0,0
2024-04-08,Beaumont Hospital,0,0,0
2024-04-08,CHI at Crumlin,5,0,5
2024-04-08,CHI at Tallaght,5,0,5
2024-04-08,CHI at Temple Street,6,0,6
2024-04-08,Cavan General Hospital,12,0,12
2024-04-08,Connolly Hospital,16,0,16
2024-04-08,Cork University Hospital,33,12,45
2024-04-08,Ennis Hospital,0,0,0
2024-04-08,Galway University Hospital,35,19,54
2024-04-08,Letterkenny University Hospital,13,7,20
2024-04-08,Louth County Hospital,0,0,0
2024-04-08,MRH Mullingar,4,0,4
2024-04-08,MRH Portlaoise,3,0,3
2024-04-08,MRH Tullamore,0,0,0
2024-04-08,Mallow General Hospital,0,0,0
2024-04-08,Mater Misericordiae University Hospital,24,0,24
2024-04-08,Mayo University Hospital,6,14,20
2024-04-08,Mercy University Hospital,23,4,27
2024-04-08,Naas General Hospital,25,4,29
2024-04-08,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-08,National Rehabilitation Hospital,0,0,0
2024-04-08,Nenagh Hospital,0,0,0
2024-04-08,Our Lady of Lourdes Hospital,16,0,16
2024-04-08,Our Lady's Hospital Navan,1,0,1
2024-04-08,Portiuncula University Hospital,5,0,5
2024-04-08,Roscommon University Hospital,0,0,0
2024-04-08,Sligo University Hospital,4,8,12
2024-04-08,South Infirmary Victoria University Hospital,0,0,0
2024-04-08,St Luke's General Hospital Kilkenny,8,3,11
2024-04-08,St. Columcille's Hospital,0,0,0
2024-04-08,St. James's Hospital,39,0,39
2024-04-08,St. John's Hospital Limerick,0,0,0
2024-04-08,St. Luke's Radiation Oncology Network,0,0,0
2024-04-08,St. Michael's Hospital,0,0,0
2024-04-08,St. Vincent's University Hospital,20,0,20
2024-04-08,Tallaght University Hospital,28,0,28
2024-04-08,Tipperary University Hospital,24,0,24
2024-04-08,UH Kerry,15,5,20
2024-04-08,UH Limerick,13,36,49
2024-04-08,UH Waterford,0,0,0
2024-04-08,Wexford General Hospital,16,7,23
2024-04-09,Bantry General Hospital,0,0,0
2024-04-09,Beaumont Hospital,0,0,0
2024-04-09,CHI at Crumlin,2,0,2
2024-04-09,CHI at Tallaght,4,1,5
2024-04-09,CHI at Temple Street,4,0,4
2024-04-09,Cavan General Hospital,10,0,10
2024-04-09,Connolly Hospital,18,0,18
2024-04-09,Cork University Hospital,31,16,47
2024-04-09,Ennis Hospital,0,0,0
2024-04-09,Galway University Hospital,38,17,55
2024-04-09,Letterkenny University Hospital,12,7,19
2024-04-09,Louth County Hospital,0,0,0
2024-04-09,MRH Mullingar,3,0,3
2024-04-09,MRH Portlaoise,1,0,1
2024-04-09,MRH Tullamore,0,0,0
2024-04-09,Mallow General Hospital,0,0,0
2024-04-09,Mater Misericordiae University Hospital,24,0,24
2024-04-09,Mayo University Hospital,7,11,18
2024-04-09,Mercy University Hospital,17,0,17
2024-04-09,Naas General Hospital,23,3,26
2024-04-09,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-09,National Rehabilitation Hospital,0,0,0
2024-04-09,Nenagh Hospital,0,0,0
2024-04-09,Our Lady of Lourdes Hospital,19,0,19
2024-04-09,Our Lady's Hospital Navan,2,0,2
2024-04-09,Portiuncula University Hospital,2,0,2
2024-04-09,Roscommon University Hospital,0,0,0
2024-04-09,Sligo University Hospital,0,13,13
2024-04-09,South Infirmary Victoria University Hospital,0,0,0
2024-04-09,St Luke's General Hospital Kilkenny,7,4,11
2024-04-09,St. Columcille's Hospital,0,0,0
2024-04-09,St. James's Hospital,35,0,35
2024-04-09,St. John's Hospital Limerick,0,0,0
2024-04-09,St. Luke's Radiation Oncology Network,0,0,0
2024-04-09,St. Michael's Hospital,0,0,0
2024-04-09,St. Vincent's University Hospital,27,0,27
2024-04-09,Tallaght University Hospital,19,15,34
2024-04-09,Tipperary University Hospital,13,0,13
2024-04-09,UH Kerry,17,7,24
2024-04-09,UH Limerick,26,38,64
2024-04-09,UH Waterford,0,0,0
2024-04-09,Wexford General Hospital,10,7,17
2024-04-10,Bantry General Hospital,0,0,0
2024-04-10,Beaumont Hospital,0,0,0
2024-04-10,CHI at Crumlin,2,0,2
2024-04-10,CHI at Tallaght,5,0,5
2024-04-10,CHI at Temple Street,5,0,5
2024-04-10,Cavan General Hospital,9,0,9
2024-04-10,Connolly Hospital,5,0,5
2024-04-10,Cork University Hospital,21,10,31
2024-04-10,Ennis Hospital,0,0,0
2024-04-10,Galway University Hospital,34,18,52
2024-04-10,Letterkenny University Hospital,13,6,19
2024-04-10,Louth County Hospital,0,0,0
2024-04-10,MRH Mullingar,4,0,4
2024-04-10,MRH Portlaoise,1,0,1
2024-04-10,MRH Tullamore,0,0,0
2024-04-10,Mallow General Hospital,0,0,0
2024-04-10,Mater Misericordiae University Hospital,35,0,35
2024-04-10,Mayo University Hospital,5,13,18
2024-04-10,Mercy University Hospital,10,0,10
2024-04-10,Naas General Hospital,17,3,20
2024-04-10,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-10,National Rehabilitation Hospital,0,0,0
2024-04-10,Nenagh Hospital,0,0,0
2024-04-10,Our Lady of Lourdes Hospital,14,0,14
2024-04-10,Our Lady's Hospital Navan,1,0,1
2024-04-10,Portiuncula University Hospital,2,0,2
2024-04-10,Roscommon University Hospital,0,0,0
2024-04-10,Sligo University Hospital,2,12,14
2024-04-10,South Infirmary Victoria University Hospital,0,0,0
2024-04-10,St Luke's General Hospital Kilkenny,7,6,13
2024-04-10,St. Columcille's Hospital,0,0,0
2024-04-10,St. James's Hospital,29,0,29
2024-04-10,St. John's Hospital Limerick,0,0,0
2024-04-10,St. Luke's Radiation Oncology Network,0,0,0
2024-04-10,St. Michael's Hospital,0,0,0
2024-04-10,St. Vincent's University Hospital,15,0,15
2024-04-10,Tallaght University Hospital,19,8,27
2024-04-10,Tipperary University Hospital,14,0,14
2024-04-10,UH Kerry,17,0,17
2024-04-10,UH Limerick,14,37,51
2024-04-10,UH Waterford,0,0,0
2024-04-10,Wexford General Hospital,8,8,16
2024-04-11,Bantry General Hospital,0,0,0
2024-04-11,Beaumont Hospital,0,0,0
2024-04-11,CHI at Crumlin,2,0,2
2024-04-11,CHI at Tallaght,0,0,0
2024-04-11,CHI at Temple Street,5,0,5
2024-04-11,Cavan General Hospital,8,0,8
2024-04-11,Connolly Hospital,7,0,7
2024-04-11,Cork University Hospital,28,8,36
2024-04-11,Ennis Hospital,0,0,0
2024-04-11,Galway University Hospital,32,17,49
2024-04-11,Letterkenny University Hospital,13,8,21
2024-04-11,Louth County Hospital,0,0,0
2024-04-11,MRH Mullingar,1,0,1
2024-04-11,MRH Portlaoise,3,0,3
2024-04-11,MRH Tullamore,0,0,0
2024-04-11,Mallow General Hospital,0,0,0
2024-04-11,Mater Misericordiae University Hospital,23,0,23
2024-04-11,Mayo University Hospital,4,14,18
2024-04-11,Mercy University Hospital,15,0,15
2024-04-11,Naas General Hospital,12,3,15
2024-04-11,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-11,National Rehabilitation Hospital,0,0,0
2024-04-11,Nenagh Hospital,0,0,0
2024-04-11,Our Lady of Lourdes Hospital,5,0,5
2024-04-11,Our Lady's Hospital Navan,3,0,3
2024-04-11,Portiuncula University Hospital,5,0,5
2024-04-11,Roscommon University Hospital,0,0,0
2024-04-11,Sligo University Hospital,2,12,14
2024-04-11,South Infirmary Victoria University Hospital,0,0,0
2024-04-11,St Luke's General Hospital Kilkenny,1,0,1
2024-04-11,St. Columcille's Hospital,0,0,0
2024-04-11,St. James's Hospital,11,0,11
2024-04-11,St. John's Hospital Limerick,0,0,0
2024-04-11,St. Luke's Radiation Oncology Network,0,0,0
2024-04-11,St. Michael's Hospital,0,0,0
2024-04-11,St. Vincent's University Hospital,15,0,15
2024-04-11,Tallaght University Hospital,19,7,26
2024-04-11,Tipperary University Hospital,2,0,2
2024-04-11,UH Kerry,14,0,14
2024-04-11,UH Limerick,11,27,38
2024-04-11,UH Waterford,0,0,0
2024-04-11,Wexford General Hospital,3,7,10
2024-04-12,Bantry General Hospital,0,0,0
2024-04-12,Beaumont Hospital,6,0,6
2024-04-12,CHI at Crumlin,0,0,0
2024-04-12,CHI at Tallaght,2,0,2
2024-04-12,CHI at Temple Street,6,0,6
2024-04-12,Cavan General Hospital,1,0,1
2024-04-12,Connolly Hospital,8,0,8
2024-04-12,Cork University Hospital,27,7,34
2024-04-12,Ennis Hospital,0,0,0
2024-04-12,Galway University Hospital,35,11,46
2024-04-12,Letterkenny University Hospital,9,10,19
2024-04-12,Louth County Hospital,0,0,0
2024-04-12,MRH Mullingar,4,0,4
2024-04-12,MRH Portlaoise,2,0,2
2024-04-12,MRH Tullamore,0,0,0
2024-04-12,Mallow General Hospital,0,0,0
2024-04-12,Mater Misericordiae University Hospital,13,0,13
2024-04-12,Mayo University Hospital,5,10,15
2024-04-12,Mercy University Hospital,16,0,16
2024-04-12,Naas General Hospital,14,3,17
2024-04-12,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-12,National Rehabilitation Hospital,0,0,0
2024-04-12,Nenagh Hospital,0,0,0
2024-04-12,Our Lady of Lourdes Hospital,4,0,4
2024-04-12,Our Lady's Hospital Navan,0,0,0
2024-04-12,Portiuncula University Hospital,4,0,4
2024-04-12,Roscommon University Hospital,0,0,0
2024-04-12,Sligo University Hospital,2,12,14
2024-04-12,South Infirmary Victoria University Hospital,0,0,0
2024-04-12,St Luke's General Hospital Kilkenny,0,0,0
2024-04-12,St. Columcille's Hospital,0,0,0
2024-04-12,St. James's Hospital,19,0,19
2024-04-12,St. John's Hospital Limerick,0,0,0
2024-04-12,St. Luke's Radiation Oncology Network,0,0,0
2024-04-12,St. Michael's Hospital,0,0,0
2024-04-12,St. Vincent's University Hospital,16,0,16
2024-04-12,Tallaght University Hospital,18,4,22
2024-04-12,Tipperary University Hospital,2,0,2
2024-04-12,UH Kerry,7,0,7
2024-04-12,UH Limerick,14,33,47
2024-04-12,UH Waterford,0,0,0
2024-04-12,Wexford General Hospital,6,7,13
2024-04-13,Bantry General Hospital,0,0,0
2024-04-13,Beaumont Hospital,0,0,0
2024-04-13,CHI at Crumlin,3,0,3
2024-04-13,CHI at Tallaght,1,0,1
2024-04-13,CHI at Temple Street,3,0,3
2024-04-13,Cavan General Hospital,1,0,1
2024-04-13,Connolly Hospital,0,0,0
2024-04-13,Cork University Hospital,5,0,5
2024-04-13,Ennis Hospital,0,0,0
2024-04-13,Galway University Hospital,14,9,23
2024-04-13,Letterkenny University Hospital,2,2,4
2024-04-13,Louth County Hospital,0,0,0
2024-04-13,MRH Mullingar,1,0,1
2024-04-13,MRH Portlaoise,6,0,6
2024-04-13,MRH Tullamore,0,0,0
2024-04-13,Mallow General Hospital,0,0,0
2024-04-13,Mater Misericordiae University Hospital,9,0,9
2024-04-13,Mayo University Hospital,8,9,17
2024-04-13,Mercy University Hospital,6,0,6
2024-04-13,Naas General Hospital,17,3,20
2024-04-13,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-13,National Rehabilitation Hospital,0,0,0
2024-04-13,Nenagh Hospital,0,0,0
2024-04-13,Our Lady of Lourdes Hospital,0,0,0
2024-04-13,Our Lady's Hospital Navan,0,0,0
2024-04-13,Portiuncula University Hospital,0,0,0
2024-04-13,Roscommon University Hospital,0,0,0
2024-04-13,Sligo University Hospital,3,3,6
2024-04-13,South Infirmary Victoria University Hospital,0,0,0
2024-04-13,St Luke's General Hospital Kilkenny,0,0,0
2024-04-13,St. Columcille's Hospital,0,0,0
2024-04-13,St. James's Hospital,3,0,3
2024-04-13,St. John's Hospital Limerick,0,0,0
2024-04-13,St. Luke's Radiation Oncology Network,0,0,0
2024-04-13,St. Michael's Hospital,0,0,0
2024-04-13,St. Vincent's University Hospital,16,0,16
2024-04-13,Tallaght University Hospital,8,0,8
2024-04-13,Tipperary University Hospital,0,0,0
2024-04-13,UH Kerry,9,0,9
2024-04-13,UH Limerick,7,35,42
2024-04-13,UH Waterford,0,0,0
2024-04-13,Wexford General Hospital,6,3,9
2024-04-14,Bantry General Hospital,0,0,0
2024-04-14,Beaumont Hospital,6,0,6
2024-04-14,CHI at Crumlin,0,0,0
2024-04-14,CHI at Tallaght,0,0,0
2024-04-14,CHI at Temple Street,2,0,2
2024-04-14,Cavan General Hospital,15,0,15
2024-04-14,Connolly Hospital,1,0,1
2024-04-14,Cork University Hospital,6,0,6
2024-04-14,Ennis Hospital,0,0,0
2024-04-14,Galway University Hospital,16,9,25
2024-04-14,Letterkenny University Hospital,8,5,13
2024-04-14,Louth County Hospital,0,0,0
2024-04-14,MRH Mullingar,2,0,2
2024-04-14,MRH Portlaoise,3,0,3
2024-04-14,MRH Tullamore,0,0,0
2024-04-14,Mallow General Hospital,0,0,0
2024-04-14,Mater Misericordiae University Hospital,5,0,5
2024-04-14,Mayo University Hospital,7,15,22
2024-04-14,Mercy University Hospital,0,0,0
2024-04-14,Naas General Hospital,21,3,24
2024-04-14,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-14,National Rehabilitation Hospital,0,0,0
2024-04-14,Nenagh Hospital,0,0,0
2024-04-14,Our Lady of Lourdes Hospital,14,0,14
2024-04-14,Our Lady's Hospital Navan,4,0,4
2024-04-14,Portiuncula University Hospital,4,0,4
2024-04-14,Roscommon University Hospital,0,0,0
2024-04-14,Sligo University Hospital,1,4,5
2024-04-14,South Infirmary Victoria University Hospital,0,0,0
2024-04-14,St Luke's General Hospital Kilkenny,4,2,6
2024-04-14,St. Columcille's Hospital,0,0,0
2024-04-14,St. James's Hospital,2,0,2
2024-04-14,St. John's Hospital Limerick,0,0,0
2024-04-14,St. Luke's Radiation Oncology Network,0,0,0
2024-04-14,St. Michael's Hospital,0,0,0
2024-04-14,St. Vincent's University Hospital,22,0,22
2024-04-14,Tallaght University Hospital,11,0,11
2024-04-14,Tipperary University Hospital,4,0,4
2024-04-14,UH Kerry,14,0,14
2024-04-14,UH Limerick,18,42,60
2024-04-14,UH Waterford,0,0,0
2024-04-14,Wexford General Hospital,5,4,9
2024-04-15,Bantry General Hospital,0,0,0
2024-04-15,Beaumont Hospital,30,0,30
2024-04-15,CHI at Crumlin,3,0,3
2024-04-15,CHI at Tallaght,5,0,5
2024-04-15,CHI at Temple Street,9,0,9
2024-04-15,Cavan General Hospital,10,0,10
2024-04-15,Connolly Hospital,9,0,9
2024-04-15,Cork University Hospital,10,6,16
2024-04-15,Ennis Hospital,0,0,0
2024-04-15,Galway University Hospital,33,15,48
2024-04-15,Letterkenny University Hospital,14,8,22
2024-04-15,Louth County Hospital,0,0,0
2024-04-15,MRH Mullingar,2,0,2
2024-04-15,MRH Portlaoise,3,0,3
2024-04-15,MRH Tullamore,0,0,0
2024-04-15,Mallow General Hospital,0,0,0
2024-04-15,Mater Misericordiae University Hospital,11,0,11
2024-04-15,Mayo University Hospital,7,11,18
2024-04-15,Mercy University Hospital,4,0,4
2024-04-15,Naas General Hospital,25,2,27
2024-04-15,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-15,National Rehabilitation Hospital,0,0,0
2024-04-15,Nenagh Hospital,0,0,0
2024-04-15,Our Lady of Lourdes Hospital,22,0,22
2024-04-15,Our Lady's Hospital Navan,8,0,8
2024-04-15,Portiuncula University Hospital,9,0,9
2024-04-15,Roscommon University Hospital,0,0,0
2024-04-15,Sligo University Hospital,4,7,11
2024-04-15,South Infirmary Victoria University Hospital,0,0,0
2024-04-15,St Luke's General Hospital Kilkenny,13,4,17
2024-04-15,St. Columcille's Hospital,0,0,0
2024-04-15,St. James's Hospital,20,0,20
2024-04-15,St. John's Hospital Limerick,0,0,0
2024-04-15,St. Luke's Radiation Oncology Network,0,0,0
2024-04-15,St. Michael's Hospital,0,0,0
2024-04-15,St. Vincent's University Hospital,26,0,26
2024-04-15,Tallaght University Hospital,17,13,30
2024-04-15,Tipperary University Hospital,4,0,4
2024-04-15,UH Kerry,10,0,10
2024-04-15,UH Limerick,27,39,66
2024-04-15,UH Waterford,0,0,0
2024-04-15,Wexford General Hospital,20,4,24
2024-04-16,Bantry General Hospital,0,0,0
2024-04-16,Beaumont Hospital,5,0,5
2024-04-16,CHI at Crumlin,3,0,3
2024-04-16,CHI at Tallaght,2,0,2
2024-04-16,CHI at Temple Street,11,0,11
2024-04-16,Cavan General Hospital,0,0,0
2024-04-16,Connolly Hospital,11,0,11
2024-04-16,Cork University Hospital,29,8,37
2024-04-16,Ennis Hospital,0,0,0
2024-04-16,Galway University Hospital,34,16,50
2024-04-16,Letterkenny University Hospital,12,9,21
2024-04-16,Louth County Hospital,0,0,0
2024-04-16,MRH Mullingar,3,0,3
2024-04-16,MRH Portlaoise,4,0,4
2024-04-16,MRH Tullamore,0,0,0
2024-04-16,Mallow General Hospital,0,0,0
2024-04-16,Mater Misericordiae University Hospital,27,0,27
2024-04-16,Mayo University Hospital,3,6,9
2024-04-16,Mercy University Hospital,18,2,20
2024-04-16,Naas General Hospital,25,3,28
2024-04-16,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-16,National Rehabilitation Hospital,0,0,0
2024-04-16,Nenagh Hospital,0,0,0
2024-04-16,Our Lady of Lourdes Hospital,18,0,18
2024-04-16,Our Lady's Hospital Navan,11,0,11
2024-04-16,Portiuncula University Hospital,8,0,8
2024-04-16,Roscommon University Hospital,0,0,0
2024-04-16,Sligo University Hospital,2,7,9
2024-04-16,South Infirmary Victoria University Hospital,0,0,0
2024-04-16,St Luke's General Hospital Kilkenny,8,6,14
2024-04-16,St. Columcille's Hospital,0,0,0
2024-04-16,St. James's Hospital,21,0,21
2024-04-16,St. John's Hospital Limerick,0,0,0
2024-04-16,St. Luke's Radiation Oncology Network,0,0,0
2024-04-16,St. Michael's Hospital,0,0,0
2024-04-16,St. Vincent's University Hospital,29,0,29
2024-04-16,Tallaght University Hospital,18,4,22
2024-04-16,Tipperary University Hospital,5,0,5
2024-04-16,UH Kerry,12,0,12
2024-04-16,UH Limerick,22,41,63
2024-04-16,UH Waterford,0,0,0
2024-04-16,Wexford General Hospital,10,7,17
2024-04-17,Bantry General Hospital,0,0,0
2024-04-17,Beaumont Hospital,16,0,16
2024-04-17,CHI at Crumlin,2,0,2
2024-04-17,CHI at Tallaght,0,0,0
2024-04-17,CHI at Temple Street,3,0,3
2024-04-17,Cavan General Hospital,0,0,0
2024-04-17,Connolly Hospital,5,0,5
2024-04-17,Cork University Hospital,20,7,27
2024-04-17,Ennis Hospital,0,0,0
2024-04-17,Galway University Hospital,31,14,45
2024-04-17,Letterkenny University Hospital,14,7,21
2024-04-17,Louth County Hospital,0,0,0
2024-04-17,MRH Mullingar,2,0,2
2024-04-17,MRH Portlaoise,12,0,12
2024-04-17,MRH Tullamore,0,0,0
2024-04-17,Mallow General Hospital,0,0,0
2024-04-17,Mater Misericordiae University Hospital,21,0,21
2024-04-17,Mayo University Hospital,2,2,4
2024-04-17,Mercy University Hospital,9,3,12
2024-04-17,Naas General Hospital,17,2,19
2024-04-17,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-17,National Rehabilitation Hospital,0,0,0
2024-04-17,Nenagh Hospital,0,0,0
2024-04-17,Our Lady of Lourdes Hospital,16,0,16
2024-04-17,Our Lady's Hospital Navan,0,0,0
2024-04-17,Portiuncula University Hospital,3,0,3
2024-04-17,Roscommon University Hospital,0,0,0
2024-04-17,Sligo University Hospital,2,6,8
2024-04-17,South Infirmary Victoria University Hospital,0,0,0
2024-04-17,St Luke's General Hospital Kilkenny,1,0,1
2024-04-17,St. Columcille's Hospital,0,0,0
2024-04-17,St. James's Hospital,27,0,27
2024-04-17,St. John's Hospital Limerick,0,0,0
2024-04-17,St. Luke's Radiation Oncology Network,0,0,0
2024-04-17,St. Michael's Hospital,0,0,0
2024-04-17,St. Vincent's University Hospital,29,0,29
2024-04-17,Tallaght University Hospital,22,0,22
2024-04-17,Tipperary University Hospital,1,0,1
2024-04-17,UH Kerry,10,0,10
2024-04-17,UH Limerick,26,42,68
2024-04-17,UH Waterford,0,0,0
2024-04-17,Wexford General Hospital,7,6,13
2024-04-18,Bantry General Hospital,0,0,0
2024-04-18,Beaumont Hospital,10,0,10
2024-04-18,CHI at Crumlin,3,0,3
2024-04-18,CHI at Tallaght,0,0,0
2024-04-18,CHI at Temple Street,6,0,6
2024-04-18,Cavan General Hospital,0,0,0
2024-04-18,Connolly Hospital,0,0,0
2024-04-18,Cork University Hospital,13,1,14
2024-04-18,Ennis Hospital,0,0,0
2024-04-18,Galway University Hospital,15,14,29
2024-04-18,Letterkenny University Hospital,9,8,17
2024-04-18,Louth County Hospital,0,0,0
2024-04-18,MRH Mullingar,0,0,0
2024-04-18,MRH Portlaoise,8,0,8
2024-04-18,MRH Tullamore,0,0,0
2024-04-18,Mallow General Hospital,0,0,0
2024-04-18,Mater Misericordiae University Hospital,16,0,16
2024-04-18,Mayo University Hospital,1,7,8
2024-04-18,Mercy University Hospital,10,0,10
2024-04-18,Naas General Hospital,20,2,22
2024-04-18,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-18,National Rehabilitation Hospital,0,0,0
2024-04-18,Nenagh Hospital,0,0,0
2024-04-18,Our Lady of Lourdes Hospital,14,0,14
2024-04-18,Our Lady's Hospital Navan,3,0,3
2024-04-18,Portiuncula University Hospital,1,0,1
2024-04-18,Roscommon University Hospital,0,0,0
2024-04-18,Sligo University Hospital,3,6,9
2024-04-18,South Infirmary Victoria University Hospital,0,0,0
2024-04-18,St Luke's General Hospital Kilkenny,7,3,10
2024-04-18,St. Columcille's Hospital,0,0,0
2024-04-18,St. James's Hospital,19,0,19
2024-04-18,St. John's Hospital Limerick,0,0,0
2024-04-18,St. Luke's Radiation Oncology Network,0,0,0
2024-04-18,St. Michael's Hospital,0,0,0
2024-04-18,St. Vincent's University Hospital,34,0,34
2024-04-18,Tallaght University Hospital,16,0,16
2024-04-18,Tipperary University Hospital,3,0,3
2024-04-18,UH Kerry,12,0,12
2024-04-18,UH Limerick,19,39,58
2024-04-18,UH Waterford,0,0,0
2024-04-18,Wexford General Hospital,11,6,17
2024-04-19,Bantry General Hospital,0,0,0
2024-04-19,Beaumont Hospital,7,0,7
2024-04-19,CHI at Crumlin,6,0,6
2024-04-19,CHI at Tallaght,0,0,0
2024-04-19,CHI at Temple Street,3,0,3
2024-04-19,Cavan General Hospital,0,0,0
2024-04-19,Connolly Hospital,0,0,0
2024-04-19,Cork University Hospital,9,0,9
2024-04-19,Ennis Hospital,0,0,0
2024-04-19,Galway University Hospital,19,8,27
2024-04-19,Letterkenny University Hospital,8,5,13
2024-04-19,Louth County Hospital,0,0,0
2024-04-19,MRH Mullingar,1,0,1
2024-04-19,MRH Portlaoise,6,0,6
2024-04-19,MRH Tullamore,0,0,0
2024-04-19,Mallow General Hospital,0,0,0
2024-04-19,Mater Misericordiae University Hospital,11,0,11
2024-04-19,Mayo University Hospital,0,4,4
2024-04-19,Mercy University Hospital,6,0,6
2024-04-19,Naas General Hospital,17,3,20
2024-04-19,National Orthopaedic Hospital Cappagh,0,0,0
2024-04-19,National Rehabilitation Hospital,0,0,0
2024-04-19,Nenagh Hospital,0,0,0
2024-04-19,Our Lady of Lourdes Hospital,14,0,14
2024-04-19,Our Lady's Hospital Navan,3,0,3
2024-04-19,Portiuncula University Hospital,5,0,5
2024-04-19,Roscommon University Hospital,0,0,0
2024-04-19,Sligo University Hospital,1,4,5
2024-04-19,South Infirmary Victoria University Hospital,0,0,0
2024-04-19,St Luke's General Hospital Kilkenny,6,5,11
2024-04-19,St. Columcille's Hospital,0,0,0
2024-04-19,St. James's Hospital,9,0,9
2024-04-19,St. John's Hospital Limerick,0,0,0
2024-04-19,St. Luke's Radiation Oncology Network,0,0,0
2024-04-19,St. Michael's Hospital,0,0,0
2024-04-19,St. Vincent's University Hospital,18,0,18
2024-04-19,Tallaght University Hospital,6,0,6
2024-04-19,Tipperary University Hospital,3,0,3
2024-04-19,UH Kerry,3,0,3
2024-04-19,UH Limerick,16,38,54
2024-04-19,UH Waterford,0,0,0
2024-04-19,Wexford General Hospital,10,5,15
2024-04-20,Bantry General Hospital,0,0,0
2024-04-20,Beaumont Hospital,0,0,0
2024-04-20,CHI at Crumlin,4,0,4
2024-04-20,CHI at Tallaght,0,0,0
2024-04-20,CHI at Temple Street,3,0,3
2024-04-20,Cavan General Hospital,0,0,0
2024-04-20,Connolly Hospital,0,0,0
2024-04-20,Cork University Hospital,0,0,0
2024-04-20,Ennis Hospital,0,0,0
2024-04-20,Galway University Hospital,7,0,7
2024-04-20,Letterkenny University Hospital,10,0,10
2024-04-20,Louth County Hospital,0,0,0
2024-04-20,MRH Mullingar,2,0,2
2024-04-20,MRH Portlaoise,6,0,6
2024-04-20,MRH Tullamore,0,0,0
2024-04-20,Mallow General Hospital,0,0,0
2024-04-20,Mater Misericordiae University Hospital,9,0,9
2024-04-20,Mayo University Hospital,1,2,3
2024-04-20,Mercy University Hospital,8,0,8
2024-04-20,Naas General Hospital,6,3,9
