Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs
13/08/2025,Tipperary University Hospital,7,0,7,12,14,2,
13/08/2025,UH Waterford,0,0,0,0,21,,
13/08/2025,Wexford General Hospital,2,2,4,17,10,,
13/08/2025,HSE Dublin and South East Total,22,2,24,75,92,2,0
13/08/2025,Bantry General Hospital,,,,,7,,
13/08/2025,Cork University Hospital,14,8,22,28,23,,
13/08/2025,Mallow General Hospital,,,,,5,,
13/08/2025,Mercy University Hospital,6,0,6,15,13,,
13/08/2025,South Infirmary Victoria University Hospital,,,,,1,,
13/08/2025,UH Kerry,11,7,18,7,25,,
13/08/2025,HSE South West Total,31,15,46,50,74,0,0
13/08/2025,Ennis Hospital,,,,,4,,
13/08/2025,Nenagh Hospital,,,,,1,,
13/08/2025,St. John's Hospital Limerick,,,,,8,,
13/08/2025,UH Limerick,6,25,31,0,5,6,
13/08/2025,HSE Mid West Total,6,25,31,0,18,6,0
13/08/2025,Galway University Hospital,26,17,43,22,50,9,1
13/08/2025,Letterkenny University Hospital,6,9,15,11,29,6,
13/08/2025,Mayo University Hospital,5,16,21,15,13,8,
13/08/2025,Portiuncula University Hospital,0,0,0,0,4,,
13/08/2025,Roscommon University Hospital,,,,,3,,
13/08/2025,Sligo University Hospital,20,12,32,14,23,1,1
13/08/2025,HSE West and North West Total,57,54,111,62,122,24,2
13/08/2025,National Total,195,107,302,311,417,33,2
14/08/2025,Beaumont Hospital,3,0,3,29,11,,
14/08/2025,Cavan General Hospital,16,0,16,7,1,1,
14/08/2025,Connolly Hospital,0,0,0,0,6,,
14/08/2025,Louth County Hospital,,,,,0,,
14/08/2025,Mater Misericordiae University Hospital,8,0,8,0,13,,
14/08/2025,National Orthopaedic Hospital Cappagh,,,,,0,,
14/08/2025,Our Lady of Lourdes Hospital,14,0,14,44,10,,
14/08/2025,Our Lady's Hospital Navan,0,0,0,2,0,,
14/08/2025,HSE Dublin and North East Total,41,0,41,82,41,1,0
14/08/2025,CHI at Crumlin,3,0,3,0,4,,
14/08/2025,CHI at Tallaght,0,0,0,0,1,,
14/08/2025,CHI at Temple Street,0,0,0,0,0,,
14/08/2025,MRH Mullingar,10,5,15,0,1,,
14/08/2025,MRH Portlaoise,2,0,2,0,13,,
14/08/2025,MRH Tullamore,0,0,0,12,6,,
14/08/2025,Naas General Hospital,12,5,17,4,8,2,
14/08/2025,St. James's Hospital,13,0,13,0,17,,
14/08/2025,St. Luke's Radiation Oncology Network,,,,,0,,
14/08/2025,Tallaght University Hospital,2,0,2,22,17,,
14/08/2025,HSE Dublin and Midlands Total,42,10,52,38,67,2,0
14/08/2025,National Rehabilitation Hospital,,,,,8,,
14/08/2025,St. Columcille's Hospital,,,,,4,,
14/08/2025,St Luke's General Hospital Kilkenny,7,0,7,3,12,,
14/08/2025,St. Michael's Hospital,,,,,4,,
14/08/2025,St. Vincent's University Hospital,14,0,14,32,17,2,1
14/08/2025,Tipperary University Hospital,8,0,8,14,13,3,
14/08/2025,UH Waterford,0,0,0,0,20,,
14/08/2025,Wexford General Hospital,5,3,8,24,10,,
14/08/2025,HSE Dublin and South East Total,34,3,37,73,88,5,1
14/08/2025,Bantry General Hospital,,,,,5,,
14/08/2025,Cork University Hospital,14,5,19,26,25,,
14/08/2025,Mallow General Hospital,,,,,5,,
14/08/2025,Mercy University Hospital,6,0,6,9,12,,
14/08/2025,South Infirmary Victoria University Hospital,,,,,1,,
14/08/2025,UH Kerry,13,1,14,7,26,1,
14/08/2025,HSE South West Total,33,6,39,42,74,1,0
14/08/2025,Ennis Hospital,,,,,4,,
14/08/2025,Nenagh Hospital,,,,,1,,
14/08/2025,St. John's Hospital Limerick,,,,,8,,
14/08/2025,UH Limerick,6,20,26,0,5,5,
14/08/2025,HSE Mid West Total,6,20,26,0,18,5,0
14/08/2025,Galway University Hospital,25,9,34,22,48,1,
14/08/2025,Letterkenny University Hospital,13,6,19,11,33,5,
14/08/2025,Mayo University Hospital,2,10,12,15,13,8,
14/08/2025,Portiuncula University Hospital,0,0,0,0,4,,
14/08/2025,Roscommon University Hospital,,,,,2,,
14/08/2025,Sligo University Hospital,14,10,24,13,21,8,
14/08/2025,HSE West and North West Total,54,35,89,61,121,22,0
14/08/2025,National Total,210,74,284,296,409,36,1
15/08/2025,Beaumont Hospital,0,0,0,20,15,,
15/08/2025,Cavan General Hospital,6,0,6,11,1,,
15/08/2025,Connolly Hospital,0,0,0,3,6,,
15/08/2025,Louth County Hospital,,,,,0,,
15/08/2025,Mater Misericordiae University Hospital,9,0,9,0,12,,
15/08/2025,National Orthopaedic Hospital Cappagh,,,,,0,,
15/08/2025,Our Lady of Lourdes Hospital,10,0,10,34,9,,
15/08/2025,Our Lady's Hospital Navan,0,0,0,2,0,,
15/08/2025,HSE Dublin and North East Total,25,0,25,70,43,0,0
15/08/2025,CHI at Crumlin,0,0,0,0,4,,
15/08/2025,CHI at Tallaght,1,0,1,0,1,,
15/08/2025,CHI at Temple Street,1,0,1,0,0,,
15/08/2025,MRH Mullingar,2,0,2,0,1,,
15/08/2025,MRH Portlaoise,4,0,4,0,9,,
15/08/2025,MRH Tullamore,0,0,0,0,6,,
15/08/2025,Naas General Hospital,12,3,15,4,9,2,
15/08/2025,St. James's Hospital,3,0,3,16,17,,
15/08/2025,St. Luke's Radiation Oncology Network,,,,,0,,
15/08/2025,Tallaght University Hospital,0,0,0,17,17,,
15/08/2025,HSE Dublin and Midlands Total,23,3,26,37,64,2,0
