Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs
21/01/2023,UH Kerry,8,0,8,0,12,,
21/01/2023,UH Limerick,8,2,10,13,12,,
21/01/2023,Galway University Hospital,15,4,19,21,19,2,
21/01/2023,Letterkenny University Hospital,11,4,15,0,22,2,
21/01/2023,HSE Dublin and South East Total,65,15,80,87,171,4,0
21/01/2023,Mayo University Hospital,2,6,8,5,13,1,
21/01/2023,Portiuncula University Hospital,7,,7,9,10,,
21/01/2023,Sligo University Hospital,0,3,3,1,10,2,
21/01/2023,National Total,130,24,154,234,519,13,Unnamed: 20_level_1
22/01/2023,Beaumont Hospital,8,0,8,26,19,,
22/01/2023,Cavan General Hospital,3,0,3,8,1,,
22/01/2023,Connolly Hospital,0,0,0,17,8,,
22/01/2023,Mater Misericordiae University Hospital,5,,5,0,40,,
22/01/2023,Our Lady of Lourdes Hospital,0,0,0,11,32,,
22/01/2023,Our Lady's Hospital Navan,0,0,0,13,8,,
22/01/2023,CHI at Crumlin,3,,3,,2,,
22/01/2023,CHI at Tallaght,0,,0,,0,,
22/01/2023,HSE Dublin and North East Total,19,0,19,75,110,0,0
22/01/2023,CHI at Temple Street,9,,9,,2,1,
22/01/2023,MRH Mullingar,10,,10,0,0,1,
22/01/2023,MRH Portlaoise,1,0,1,0,8,,
22/01/2023,MRH Tullamore,0,0,0,0,5,,
22/01/2023,Naas General Hospital,9,1,10,0,14,,
22/01/2023,St. James's Hospital,1,0,1,0,65,,
22/01/2023,Tallaght University Hospital,18,0,18,6,46,1,
22/01/2023,St Luke's General Hospital Kilkenny,6,1,7,26,10,2,
22/01/2023,St. Vincent's University Hospital,5,0,5,21,47,,
22/01/2023,Tipperary University Hospital,2,,2,12,8,,
22/01/2023,HSE Dublin and Midlands Total,61,2,63,65,205,5,0
22/01/2023,UH Waterford,0,0,0,24,31,,
22/01/2023,Wexford General Hospital,2,1,3,8,11,,
22/01/2023,Cork University Hospital,22,4,26,22,44,,
22/01/2023,Mercy University Hospital,5,0,5,8,20,,
22/01/2023,UH Kerry,9,0,9,0,12,2,
22/01/2023,UH Limerick,9,22,31,27,12,,
22/01/2023,Galway University Hospital,11,2,13,14,19,2,
22/01/2023,Letterkenny University Hospital,21,10,31,0,22,4,
22/01/2023,HSE Dublin and South East Total,79,39,118,103,171,8,0
22/01/2023,Mayo University Hospital,7,6,13,5,13,3,
22/01/2023,Portiuncula University Hospital,6,0,6,14,10,,
22/01/2023,Sligo University Hospital,6,,6,4,10,2,
22/01/2023,National Total,178,47,225,266,519,18,Unnamed: 20_level_1
23/01/2023,Beaumont Hospital,7,,7,0,19,,
23/01/2023,Cavan General Hospital,3,0,3,2,1,,
23/01/2023,Connolly Hospital,0,0,0,20,8,,
23/01/2023,Mater Misericordiae University Hospital,12,,12,0,40,,
23/01/2023,Our Lady of Lourdes Hospital,5,0,5,12,32,,
23/01/2023,Our Lady's Hospital Navan,6,0,6,16,8,,
23/01/2023,CHI at Crumlin,9,,9,,2,,
23/01/2023,CHI at Tallaght,1,0,1,,0,,
23/01/2023,HSE Dublin and North East Total,43,0,43,50,110,0,0
23/01/2023,CHI at Temple Street,10,,10,,2,1,
23/01/2023,MRH Mullingar,9,0,9,0,0,5,
23/01/2023,MRH Portlaoise,0,,0,0,8,,
23/01/2023,MRH Tullamore,0,0,0,5,5,,
23/01/2023,Naas General Hospital,2,2,4,8,14,,
23/01/2023,St. James's Hospital,5,0,5,0,65,,
23/01/2023,Tallaght University Hospital,27,0,27,6,46,8,
23/01/2023,St Luke's General Hospital Kilkenny,14,5,19,16,10,7,
23/01/2023,St. Vincent's University Hospital,11,,11,18,47,1,
23/01/2023,Tipperary University Hospital,4,0,4,12,8,,
23/01/2023,HSE Dublin and Midlands Total,82,7,89,65,205,22,0
23/01/2023,UH Waterford,0,,0,31,31,,
23/01/2023,Wexford General Hospital,12,,12,17,11,2,
23/01/2023,Cork University Hospital,16,6,22,34,44,,
23/01/2023,Mercy University Hospital,10,0,10,7,20,,
23/01/2023,UH Kerry,21,0,21,0,12,4,
23/01/2023,UH Limerick,14,27,41,57,12,2,
23/01/2023,Galway University Hospital,24,10,34,22,19,9,
23/01/2023,Letterkenny University Hospital,13,9,22,17,22,9,
23/01/2023,HSE Dublin and South East Total,110,52,162,185,171,26,0
23/01/2023,Mayo University Hospital,4,8,12,5,13,6,
23/01/2023,Portiuncula University Hospital,15,0,15,14,10,2,
23/01/2023,Sligo University Hospital,6,6,12,8,10,2,
23/01/2023,National Total,260,73,333,327,519,58,Unnamed: 20_level_1
24/01/2023,Beaumont Hospital,17,,17,0,23,,
24/01/2023,Cavan General Hospital,3,2,5,3,1,,
24/01/2023,Connolly Hospital,0,,0,25,9,,
24/01/2023,Mater Misericordiae University Hospital,16,,16,0,39,,
24/01/2023,Our Lady of Lourdes Hospital,6,1,7,17,28,,
24/01/2023,Our Lady's Hospital Navan,3,0,3,17,8,,
24/01/2023,CHI at Crumlin,23,,23,,2,1,
24/01/2023,CHI at Tallaght,0,,0,,1,,
24/01/2023,HSE Dublin and North East Total,68,3,71,62,111,1,0
24/01/2023,CHI at Temple Street,22,,22,,2,4,
24/01/2023,MRH Mullingar,9,0,9,0,0,,
24/01/2023,MRH Portlaoise,2,0,2,0,11,,
24/01/2023,MRH Tullamore,3,0,3,18,5,,
24/01/2023,Naas General Hospital,7,2,9,0,11,,
24/01/2023,St. James's Hospital,7,0,7,0,63,,
24/01/2023,Tallaght University Hospital,19,,19,6,43,5,
24/01/2023,St Luke's General Hospital Kilkenny,10,2,12,13,10,1,
24/01/2023,St. Vincent's University Hospital,25,0,25,20,48,2,
24/01/2023,Tipperary University Hospital,17,0,17,15,11,3,
24/01/2023,HSE Dublin and Midlands Total,121,4,125,72,204,15,0
24/01/2023,UH Waterford,0,,0,43,34,,
24/01/2023,Wexford General Hospital,0,9,9,10,8,1,
24/01/2023,Cork University Hospital,30,7,37,25,50,,
24/01/2023,Mercy University Hospital,19,0,19,8,18,2,
24/01/2023,UH Kerry,29,0,29,7,12,9,
24/01/2023,UH Limerick,10,22,32,35,10,3,
24/01/2023,Galway University Hospital,22,10,32,23,19,5,
24/01/2023,Letterkenny University Hospital,6,4,10,1,19,2,
24/01/2023,HSE Dublin and South East Total,116,52,168,152,170,22,0
24/01/2023,Mayo University Hospital,6,7,13,5,9,1,
24/01/2023,Portiuncula University Hospital,9,0,9,13,9,3,
24/01/2023,Sligo University Hospital,6,6,12,8,10,1,
24/01/2023,National Total,326,72,398,312,513,43,Unnamed: 20_level_1
25/01/2023,Beaumont Hospital,20,,20,0,22,,
25/01/2023,Cavan General Hospital,1,0,1,4,1,,
25/01/2023,Connolly Hospital,1,0,1,22,8,,
25/01/2023,Mater Misericordiae University Hospital,22,,22,0,39,,
25/01/2023,Our Lady of Lourdes Hospital,4,1,5,8,27,,
25/01/2023,Our Lady's Hospital Navan,4,0,4,17,8,,
25/01/2023,CHI at Crumlin,5,,5,,2,,
25/01/2023,CHI at Tallaght,1,,1,,1,,
25/01/2023,HSE Dublin and North East Total,58,1,59,51,108,0,0
25/01/2023,CHI at Temple Street,16,,16,,3,6,
25/01/2023,MRH Mullingar,8,0,8,0,2,,
25/01/2023,MRH Portlaoise,0,0,0,0,11,,
25/01/2023,MRH Tullamore,3,0,3,16,7,,
25/01/2023,Naas General Hospital,11,4,15,6,12,1,
25/01/2023,St. James's Hospital,8,,8,0,65,,
25/01/2023,Tallaght University Hospital,19,0,19,0,46,4,
25/01/2023,St Luke's General Hospital Kilkenny,13,2,15,22,10,6,
25/01/2023,St. Vincent's University Hospital,21,0,21,41,49,5,
25/01/2023,Tipperary University Hospital,14,0,14,15,14,5,
25/01/2023,HSE Dublin and Midlands Total,113,6,119,100,219,27,0
25/01/2023,UH Waterford,0,0,0,44,31,,
25/01/2023,Wexford General Hospital,16,,16,13,8,1,
25/01/2023,Cork University Hospital,32,4,36,20,48,1,
25/01/2023,Mercy University Hospital,15,,15,7,18,8,
25/01/2023,UH Kerry,15,9,24,0,12,7,
25/01/2023,UH Limerick,10,22,32,43,11,2,
25/01/2023,Galway University Hospital,19,14,33,22,18,4,
25/01/2023,Letterkenny University Hospital,8,4,12,0,18,3,
25/01/2023,HSE Dublin and South East Total,115,53,168,149,164,26,0
25/01/2023,Mayo University Hospital,9,6,15,5,11,8,
25/01/2023,Portiuncula University Hospital,3,0,3,7,8,1,
25/01/2023,Sligo University Hospital,10,4,14,7,7,2,
25/01/2023,National Total,308,70,378,319,517,64,Unnamed: 20_level_1
26/01/2023,Beaumont Hospital,10,0,10,0,21,,
26/01/2023,Cavan General Hospital,-1,1,0,2,1,,
26/01/2023,Connolly Hospital,0,0,0,24,8,,
26/01/2023,Mater Misericordiae University Hospital,20,,20,0,40,2,
26/01/2023,Our Lady of Lourdes Hospital,3,0,3,12,27,,
26/01/2023,Our Lady's Hospital Navan,0,0,0,14,7,,
26/01/2023,CHI at Crumlin,2,,2,,2,,
26/01/2023,CHI at Tallaght,1,,1,,1,,
26/01/2023,HSE Dublin and North East Total,35,1,36,52,107,2,0
26/01/2023,CHI at Temple Street,6,,6,,3,2,
26/01/2023,MRH Mullingar,2,0,2,0,2,,
26/01/2023,MRH Portlaoise,0,0,0,0,13,,
26/01/2023,MRH Tullamore,3,0,3,6,5,,
26/01/2023,Naas General Hospital,8,5,13,4,11,2,
26/01/2023,St. James's Hospital,12,0,12,0,65,,
26/01/2023,Tallaght University Hospital,17,0,17,6,49,3,
26/01/2023,St Luke's General Hospital Kilkenny,10,0,10,22,11,1,
26/01/2023,St. Vincent's University Hospital,16,0,16,46,48,2,
26/01/2023,Tipperary University Hospital,18,0,18,15,8,5,
26/01/2023,HSE Dublin and Midlands Total,92,5,97,99,215,15,0
26/01/2023,UH Waterford,0,,0,47,27,,
26/01/2023,Wexford General Hospital,7,3,10,10,10,2,
26/01/2023,Cork University Hospital,28,4,32,28,49,,
26/01/2023,Mercy University Hospital,7,0,7,7,19,,
26/01/2023,UH Kerry,31,0,31,17,14,8,
26/01/2023,UH Limerick,3,16,19,37,17,,
26/01/2023,Galway University Hospital,31,7,38,0,15,5,
26/01/2023,Letterkenny University Hospital,1,1,2,0,19,1,
26/01/2023,HSE Dublin and South East Total,108,31,139,146,170,16,0
26/01/2023,Mayo University Hospital,9,8,17,0,10,4,
26/01/2023,Portiuncula University Hospital,6,0,6,0,8,,
26/01/2023,Sligo University Hospital,8,7,15,8,7,3,
26/01/2023,National Total,258,52,310,305,517,40,Unnamed: 20_level_1
27/01/2023,Beaumont Hospital,10,0,10,11,22,,
27/01/2023,Cavan General Hospital,1,0,1,0,1,,
27/01/2023,Connolly Hospital,0,0,0,19,8,,
27/01/2023,Mater Misericordiae University Hospital,31,,31,0,40,1,
27/01/2023,Our Lady of Lourdes Hospital,2,2,4,5,23,,
27/01/2023,Our Lady's Hospital Navan,1,0,1,16,7,,
27/01/2023,CHI at Crumlin,13,,13,,2,,
27/01/2023,CHI at Tallaght,1,,1,,1,,
27/01/2023,HSE Dublin and North East Total,59,2,61,51,104,1,0
27/01/2023,CHI at Temple Street,13,,13,,3,1,
27/01/2023,MRH Mullingar,0,0,0,0,2,,
27/01/2023,MRH Portlaoise,0,0,0,0,13,,
27/01/2023,MRH Tullamore,0,,0,8,6,,
27/01/2023,Naas General Hospital,8,4,12,5,12,2,
27/01/2023,St. James's Hospital,10,0,10,0,66,,
27/01/2023,Tallaght University Hospital,25,0,25,0,50,4,
27/01/2023,St Luke's General Hospital Kilkenny,8,0,8,26,12,3,
27/01/2023,St. Vincent's University Hospital,23,0,23,11,46,2,
27/01/2023,Tipperary University Hospital,15,,15,15,8,7,
27/01/2023,HSE Dublin and Midlands Total,102,4,106,65,218,19,0
27/01/2023,UH Waterford,0,,0,44,27,,
27/01/2023,Wexford General Hospital,14,7,21,26,10,5,
27/01/2023,Cork University Hospital,24,5,29,20,50,,
27/01/2023,Mercy University Hospital,9,0,9,7,18,,
27/01/2023,UH Kerry,23,0,23,0,14,7,
27/01/2023,UH Limerick,10,12,22,37,15,,
27/01/2023,Galway University Hospital,20,9,29,0,16,7,
27/01/2023,Letterkenny University Hospital,0,0,0,0,24,,
27/01/2023,HSE Dublin and South East Total,100,33,133,134,174,19,0
