week_start,region,ed_trolleys,ward_trolleys,total_trolleys,days_in_week
2023-05-22,HSE Dublin and South East,313,14,327,7
2023-05-22,HSE Mid West,122,240,362,7
2023-05-22,HSE South West,325,60,385,7
2023-05-22,HSE West and North West,341,200,541,7
2023-05-29,HSE Dublin and Midlands,430,28,452,7
2023-05-29,HSE Dublin and North East,193,10,203,7
2023-05-29,HSE Dublin and South East,188,3,191,7
2023-05-29,HSE Mid West,115,205,320,7
2023-05-29,HSE South West,237,27,264,7
2023-05-29,HSE West and North West,287,154,441,7
2023-06-05,HSE Dublin and Midlands,347,2,349,7
2023-06-05,HSE Dublin and North East,56,7,63,7
2023-06-05,HSE Dublin and South East,209,0,209,7
2023-06-05,HSE Mid West,99,229,328,7
2023-06-05,HSE South West,160,22,182,7
2023-06-05,HSE West and North West,346,168,514,7
2023-06-12,HSE Dublin and Midlands,460,25,483,7
2023-06-12,HSE Dublin and North East,57,2,55,7
2023-06-12,HSE Dublin and South East,264,1,265,7
2023-06-12,HSE Mid West,79,232,311,7
2023-06-12,HSE South West,253,35,288,7
2023-06-12,HSE West and North West,319,220,539,7
2023-06-19,HSE Dublin and Midlands,465,39,498,7
2023-06-19,HSE Dublin and North East,109,4,109,7
2023-06-19,HSE Dublin and South East,177,32,209,7
2023-06-19,HSE Mid West,92,244,336,7
2023-06-19,HSE South West,242,38,280,7
2023-06-19,HSE West and North West,337,264,601,7
2023-06-26,HSE Dublin and Midlands,507,52,559,7
2023-06-26,HSE Dublin and North East,47,3,50,7
2023-06-26,HSE Dublin and South East,175,18,193,7
2023-06-26,HSE Mid West,131,263,394,7
2023-06-26,HSE South West,163,37,200,7
2023-06-26,HSE West and North West,296,148,442,7
2023-07-03,HSE Dublin and Midlands,515,40,553,7
2023-07-03,HSE Dublin and North East,33,1,32,7
2023-07-03,HSE Dublin and South East,244,21,265,7
2023-07-03,HSE Mid West,121,246,367,7
2023-07-03,HSE South West,146,11,157,7
2023-07-03,HSE West and North West,194,138,328,7
2023-07-10,HSE Dublin and Midlands,471,35,504,7
2023-07-10,HSE Dublin and North East,97,3,96,7
2023-07-10,HSE Dublin and South East,210,17,227,7
2023-07-10,HSE Mid West,93,260,353,7
2023-07-10,HSE South West,245,17,262,7
2023-07-10,HSE West and North West,285,162,447,7
2023-07-17,HSE Dublin and Midlands,257,8,265,7
2023-07-17,HSE Dublin and North East,105,11,112,7
2023-07-17,HSE Dublin and South East,202,18,220,7
2023-07-17,HSE Mid West,99,251,350,7
2023-07-17,HSE South West,267,16,283,7
2023-07-17,HSE West and North West,256,191,447,7
2023-07-24,HSE Dublin and Midlands,284,9,293,7
2023-07-24,HSE Dublin and North East,92,0,92,7
2023-07-24,HSE Dublin and South East,266,36,302,7
2023-07-24,HSE Mid West,112,267,379,7
2023-07-24,HSE South West,308,26,334,7
2023-07-24,HSE West and North West,305,166,471,7
2023-07-31,HSE Dublin and Midlands,273,23,296,7
2023-07-31,HSE Dublin and North East,86,2,84,7
2023-07-31,HSE Dublin and South East,260,30,290,7
2023-07-31,HSE Mid West,100,228,328,7
2023-07-31,HSE South West,276,47,323,7
2023-07-31,HSE West and North West,353,175,528,7
2023-08-07,HSE Dublin and Midlands,283,21,304,7
2023-08-07,HSE Dublin and North East,226,12,238,7
2023-08-07,HSE Dublin and South East,225,42,253,7
2023-08-07,HSE Mid West,99,222,321,7
2023-08-07,HSE South West,177,8,185,7
2023-08-07,HSE West and North West,405,191,596,7
2023-08-14,HSE Dublin and Midlands,423,29,452,7
2023-08-14,HSE Dublin and North East,229,10,239,7
2023-08-14,HSE Dublin and South East,215,35,250,7
2023-08-14,HSE Mid West,123,170,293,7
2023-08-14,HSE South West,254,30,284,7
2023-08-14,HSE West and North West,307,205,508,7
2023-08-21,HSE Dublin and Midlands,372,15,387,7
2023-08-21,HSE Dublin and North East,197,11,204,7
2023-08-21,HSE Dublin and South East,233,28,261,7
2023-08-21,HSE Mid West,105,207,312,7
2023-08-21,HSE South West,381,52,433,7
2023-08-21,HSE West and North West,299,182,481,7
2023-08-28,HSE Dublin and Midlands,390,26,414,7
2023-08-28,HSE Dublin and North East,145,13,154,7
2023-08-28,HSE Dublin and South East,187,27,214,7
2023-08-28,HSE Mid West,120,232,352,7
2023-08-28,HSE South West,453,60,513,7
2023-08-28,HSE West and North West,306,208,514,7
2023-09-04,HSE Dublin and Midlands,466,40,506,7
2023-09-04,HSE Dublin and North East,177,10,187,7
2023-09-04,HSE Dublin and South East,191,31,222,7
2023-09-04,HSE Mid West,164,241,405,7
2023-09-04,HSE South West,395,46,441,7
2023-09-04,HSE West and North West,378,224,602,7
2023-09-11,HSE Dublin and Midlands,465,29,494,7
2023-09-11,HSE Dublin and North East,160,7,165,7
2023-09-11,HSE Dublin and South East,191,47,238,7
2023-09-11,HSE Mid West,137,241,378,7
2023-09-11,HSE South West,308,30,338,7
2023-09-11,HSE West and North West,300,194,474,7
2023-09-18,HSE Dublin and Midlands,456,22,478,7
2023-09-18,HSE Dublin and North East,214,13,221,7
2023-09-18,HSE Dublin and South East,311,38,349,7
2023-09-18,HSE Mid West,138,247,385,7
2023-09-18,HSE South West,347,47,394,7
2023-09-18,HSE West and North West,269,144,411,7
2023-09-25,HSE Dublin and Midlands,569,40,607,7
2023-09-25,HSE Dublin and North East,262,21,277,7
2023-09-25,HSE Dublin and South East,235,44,279,7
2023-09-25,HSE Mid West,173,246,419,7
2023-09-25,HSE South West,438,52,490,7
2023-09-25,HSE West and North West,232,187,417,7
2023-10-02,HSE Dublin and Midlands,545,49,594,7
2023-10-02,HSE Dublin and North East,266,11,275,7
2023-10-02,HSE Dublin and South East,218,58,276,7
2023-10-02,HSE Mid West,171,246,417,7
2023-10-02,HSE South West,381,29,410,7
2023-10-02,HSE West and North West,302,164,466,7
2023-10-09,HSE Dublin and Midlands,543,72,615,7
2023-10-09,HSE Dublin and North East,304,19,305,7
2023-10-09,HSE Dublin and South East,236,68,304,7
2023-10-09,HSE Mid West,154,207,361,7
2023-10-09,HSE South West,345,60,405,7
2023-10-09,HSE West and North West,259,198,457,7
2023-10-16,HSE Dublin and Midlands,440,44,484,7
2023-10-16,HSE Dublin and North East,250,10,254,7
2023-10-16,HSE Dublin and South East,221,63,284,7
2023-10-16,HSE Mid West,149,241,390,7
2023-10-16,HSE South West,307,53,360,7
2023-10-16,HSE West and North West,257,175,410,7
2023-10-23,HSE Dublin and Midlands,504,42,546,7
2023-10-23,HSE Dublin and North East,285,8,291,7
2023-10-23,HSE Dublin and South East,280,42,322,7
2023-10-23,HSE Mid West,96,235,331,7
2023-10-23,HSE South West,348,47,395,7
2023-10-23,HSE West and North West,276,148,424,7
2023-10-30,HSE Dublin and Midlands,612,36,648,7
2023-10-30,HSE Dublin and North East,328,11,339,7
2023-10-30,HSE Dublin and South East,260,40,300,7
2023-10-30,HSE Mid West,64,222,286,7
2023-10-30,HSE South West,383,60,443,7
2023-10-30,HSE West and North West,255,186,441,7
2023-11-06,HSE Dublin and Midlands,668,53,721,7
2023-11-06,HSE Dublin and North East,337,10,347,7
2023-11-06,HSE Dublin and South East,325,55,380,7
2023-11-06,HSE Mid West,101,239,340,7
2023-11-06,HSE South West,376,60,436,7
2023-11-06,HSE West and North West,322,181,503,7
2023-11-13,HSE Dublin and Midlands,575,62,637,7
2023-11-13,HSE Dublin and North East,349,12,361,7
2023-11-13,HSE Dublin and South East,325,38,363,7
2023-11-13,HSE Mid West,150,249,399,7
2023-11-13,HSE South West,389,74,463,7
2023-11-13,HSE West and North West,292,259,551,7
2023-11-20,HSE Dublin and Midlands,480,10,490,7
2023-11-20,HSE Dublin and North East,323,11,334,7
2023-11-20,HSE Dublin and South East,310,26,336,7
2023-11-20,HSE Mid West,141,224,365,7
2023-11-20,HSE South West,312,63,375,7
2023-11-20,HSE West and North West,210,171,381,7
2023-11-27,HSE Dublin and Midlands,466,9,475,7
2023-11-27,HSE Dublin and North East,272,12,284,7
2023-11-27,HSE Dublin and South East,332,62,394,7
2023-11-27,HSE Mid West,112,228,340,7
