"Region","CostPerPerson","CostScaled","Alpha_Mean","Alpha_SD","Alpha_2.5%","Alpha_97.5%","Deviation"
"HSE Mid West",2.8616,4.519,8.17543434882005,0.307624149781283,7.56321220723883,8.77596496863491,3.656
"HSE West and North West",3.3068,5.223,6.34607569443088,0.266621471669127,5.82033753162092,6.87024258373119,1.123
"HSE South West",2.7032,4.269,4.42053907228427,0.243420828845352,3.93751501712176,4.90081059465503,0.151
"HSE Dublin and Midlands",3.4056,5.379,4.0049287822483,0.192334317548625,3.62696267248848,4.38063134674259,-1.374
"HSE Dublin and South East",2.7382,4.325,2.99922942558048,0.147056850998025,2.70891077440073,3.28825581946756,-1.325
"HSE Dublin and North East",2.86,4.517,2.29737586555992,0.132293795491674,2.03644063644413,2.55839632460482,-2.22
