"Region","CostPerPerson","Lambda_Mean","Lambda_SD","Lambda_2.5%","Lambda_97.5%","ImpliedAlpha"
"HSE Mid West",2.8616,2.88199762918155,0.106684980639315,2.67244100786172,3.09143512976079,8.247
"HSE West and North West",3.3068,1.92428196750145,0.0804121058150715,1.76638803389928,2.08290029695433,6.363
"HSE South West",2.7032,1.6358392460329,0.0905014748293431,1.45773990032205,1.81371401601265,4.422
"HSE Dublin and Midlands",3.4056,1.17263154799111,0.056650052715557,1.06171229471539,1.28465386601779,3.994
"HSE Dublin and South East",2.7382,1.09388714272437,0.0536501032528129,0.988013803333573,1.19874171310062,2.995
"HSE Dublin and North East",2.86,0.800856990974144,0.0464819919959362,0.709023448624609,0.892257618105387,2.29
