region_row,region_col,lag_weeks,ccf_median,ccf_2.5,ccf_97.5
Dublin and Midlands,Dublin and Midlands,-26,0.11401484327745176,0.05972086475642855,0.15236257566687605
Dublin and Midlands,Dublin and Midlands,-25,0.12993430066557687,0.0780169315177041,0.16499498989405062
Dublin and Midlands,Dublin and Midlands,-24,-0.005131561229282369,-0.0519627421094469,0.03584030192668701
Dublin and Midlands,Dublin and Midlands,-23,0.06544027672004915,0.010694165359705361,0.1128719497928304
Dublin and Midlands,Dublin and Midlands,-22,0.09730530874808388,0.0437278799732586,0.13962171660140738
Dublin and Midlands,Dublin and Midlands,-21,-0.03808889980079917,-0.08253310771569866,0.00010586789926401083
Dublin and Midlands,Dublin and Midlands,-20,0.07012716710909533,0.02517973446575956,0.10534018156939566
Dublin and Midlands,Dublin and Midlands,-19,0.012149404126715994,-0.030771825547662075,0.05457257511199668
Dublin and Midlands,Dublin and Midlands,-18,0.13853612483364552,0.09859073617766907,0.16978071638978887
Dublin and Midlands,Dublin and Midlands,-17,0.11350290061693524,0.08167221190457781,0.1433870762069616
Dublin and Midlands,Dublin and Midlands,-16,0.13594599062084953,0.09529211242007729,0.1698624238867565
Dublin and Midlands,Dublin and Midlands,-15,0.0069957706117740135,-0.023461355068176037,0.04030152479924796
Dublin and Midlands,Dublin and Midlands,-14,0.036615232153526245,0.0002563008420151276,0.07266656924481081
Dublin and Midlands,Dublin and Midlands,-13,-0.022447088532140842,-0.06502423285195985,0.021996962183667857
Dublin and Midlands,Dublin and Midlands,-12,0.025019335613062316,-0.024605684630243464,0.07418188896774365
Dublin and Midlands,Dublin and Midlands,-11,0.1578739268273493,0.12044879064625268,0.19007903296037462
Dublin and Midlands,Dublin and Midlands,-10,0.028752936479306303,-0.021054131053929667,0.08082208892760587
Dublin and Midlands,Dublin and Midlands,-9,0.29095709400611514,0.25514486964904814,0.3211319979246082
Dublin and Midlands,Dublin and Midlands,-8,0.1021243492445319,0.06174982101288384,0.14741945789525954
Dublin and Midlands,Dublin and Midlands,-7,0.05453530417025521,0.007733225212283933,0.10512595990168866
Dublin and Midlands,Dublin and Midlands,-6,0.22809577189900124,0.18855834450341255,0.2672951133407733
Dublin and Midlands,Dublin and Midlands,-5,0.1278582954396093,0.08208369318772382,0.17956158644889014
Dublin and Midlands,Dublin and Midlands,-4,-0.00686245128665466,-0.06453280951813642,0.05909639851084472
Dublin and Midlands,Dublin and Midlands,-3,0.11595231722703409,0.06833065775286079,0.16937944227932714
Dublin and Midlands,Dublin and Midlands,-2,0.042467748261430294,-0.017760188646814463,0.111917686859095
Dublin and Midlands,Dublin and Midlands,-1,0.011957347128851204,-0.06327332700411767,0.10028955473456906
Dublin and Midlands,Dublin and Midlands,0,1.0,0.9999999999999989,1.000000000000001
Dublin and Midlands,Dublin and Midlands,1,0.011957347128851204,-0.06327332700411767,0.10028955473456906
Dublin and Midlands,Dublin and Midlands,2,0.042467748261430294,-0.017760188646814463,0.111917686859095
Dublin and Midlands,Dublin and Midlands,3,0.11595231722703409,0.06833065775286079,0.16937944227932714
Dublin and Midlands,Dublin and Midlands,4,-0.00686245128665466,-0.06453280951813642,0.05909639851084472
Dublin and Midlands,Dublin and Midlands,5,0.1278582954396093,0.08208369318772382,0.17956158644889014
Dublin and Midlands,Dublin and Midlands,6,0.22809577189900124,0.18855834450341255,0.2672951133407733
Dublin and Midlands,Dublin and Midlands,7,0.05453530417025521,0.007733225212283933,0.10512595990168866
Dublin and Midlands,Dublin and Midlands,8,0.1021243492445319,0.06174982101288384,0.14741945789525954
Dublin and Midlands,Dublin and Midlands,9,0.29095709400611514,0.25514486964904814,0.3211319979246082
Dublin and Midlands,Dublin and Midlands,10,0.028752936479306303,-0.021054131053929667,0.08082208892760587
Dublin and Midlands,Dublin and Midlands,11,0.1578739268273493,0.12044879064625268,0.19007903296037462
Dublin and Midlands,Dublin and Midlands,12,0.025019335613062316,-0.024605684630243464,0.07418188896774365
Dublin and Midlands,Dublin and Midlands,13,-0.022447088532140842,-0.06502423285195985,0.021996962183667857
Dublin and Midlands,Dublin and Midlands,14,0.036615232153526245,0.0002563008420151276,0.07266656924481081
Dublin and Midlands,Dublin and Midlands,15,0.0069957706117740135,-0.023461355068176037,0.04030152479924796
Dublin and Midlands,Dublin and Midlands,16,0.13594599062084953,0.09529211242007729,0.1698624238867565
Dublin and Midlands,Dublin and Midlands,17,0.11350290061693524,0.08167221190457781,0.1433870762069616
Dublin and Midlands,Dublin and Midlands,18,0.13853612483364552,0.09859073617766907,0.16978071638978887
Dublin and Midlands,Dublin and Midlands,19,0.012149404126715994,-0.030771825547662075,0.05457257511199668
Dublin and Midlands,Dublin and Midlands,20,0.07012716710909533,0.02517973446575956,0.10534018156939566
Dublin and Midlands,Dublin and Midlands,21,-0.03808889980079917,-0.08253310771569866,0.00010586789926401083
Dublin and Midlands,Dublin and Midlands,22,0.09730530874808388,0.0437278799732586,0.13962171660140738
Dublin and Midlands,Dublin and Midlands,23,0.06544027672004915,0.010694165359705361,0.1128719497928304
Dublin and Midlands,Dublin and Midlands,24,-0.005131561229282369,-0.0519627421094469,0.03584030192668701
Dublin and Midlands,Dublin and Midlands,25,0.12993430066557687,0.0780169315177041,0.16499498989405062
Dublin and Midlands,Dublin and Midlands,26,0.11401484327745176,0.05972086475642855,0.15236257566687605
Dublin and Midlands,Dublin and North East,-26,-0.0668278973360047,-0.09825851899127598,-0.038344399714633555
Dublin and Midlands,Dublin and North East,-25,0.09370985450635363,0.06210680824232106,0.11908304131286354
Dublin and Midlands,Dublin and North East,-24,-0.029089302727302018,-0.05631685039519602,-0.002972803574853051
Dublin and Midlands,Dublin and North East,-23,-0.057871108296335586,-0.09138055184428541,-0.027411644428118453
Dublin and Midlands,Dublin and North East,-22,-0.09555887777375086,-0.12855547110378143,-0.06349605788197116
Dublin and Midlands,Dublin and North East,-21,-0.1222916203523365,-0.15561096297286775,-0.0870171217133589
Dublin and Midlands,Dublin and North East,-20,0.08201264420290895,0.04218211794860695,0.11599206179089241
Dublin and Midlands,Dublin and North East,-19,-0.04814120602206482,-0.07847809620116983,-0.019737724564318028
Dublin and Midlands,Dublin and North East,-18,0.014897816510116867,-0.009865658560722988,0.037672331821240156
Dublin and Midlands,Dublin and North East,-17,0.0987879908581134,0.06797807590793874,0.12413886235807309
Dublin and Midlands,Dublin and North East,-16,-0.12851601740244203,-0.15470191694304194,-0.09957645292069917
Dublin and Midlands,Dublin and North East,-15,-0.0998846440078332,-0.1306900166989109,-0.06779054303122184
Dublin and Midlands,Dublin and North East,-14,0.015914179736228315,-0.023918848371678018,0.05730486215772515
Dublin and Midlands,Dublin and North East,-13,-0.24590279600427867,-0.28495244519421586,-0.20236112889447724
Dublin and Midlands,Dublin and North East,-12,0.0564163978866658,0.020797845981671788,0.09031772089164217
Dublin and Midlands,Dublin and North East,-11,0.14127039280994397,0.10487187229521237,0.1730765084609218
Dublin and Midlands,Dublin and North East,-10,-0.17617116442209743,-0.20501093669840284,-0.14340462817467023
Dublin and Midlands,Dublin and North East,-9,0.10310783306826989,0.07238005463842344,0.131600023509877
Dublin and Midlands,Dublin and North East,-8,-0.10081916628299767,-0.12341170030862128,-0.0751494370682415
Dublin and Midlands,Dublin and North East,-7,-0.06975834460085861,-0.0928557549489866,-0.04651460366028147
Dublin and Midlands,Dublin and North East,-6,0.06453633808043552,0.03682775819837539,0.08991164122682946
Dublin and Midlands,Dublin and North East,-5,-0.008155075765111573,-0.03215977685108587,0.014684001835071925
Dublin and Midlands,Dublin and North East,-4,-0.1113421605255056,-0.13775356341309947,-0.08061240904031103
Dublin and Midlands,Dublin and North East,-3,0.1490950330601481,0.11783649427319551,0.1735255189797823
Dublin and Midlands,Dublin and North East,-2,-0.09695332633802423,-0.13231224874375902,-0.05798450230087687
Dublin and Midlands,Dublin and North East,-1,-0.052527977435572165,-0.08487083045091541,-0.018794345990099534
Dublin and Midlands,Dublin and North East,0,0.2951677678599392,0.2603942982044517,0.31934953688166334
Dublin and Midlands,Dublin and North East,1,0.005627330299315512,-0.033192000127429955,0.045745693042357295
Dublin and Midlands,Dublin and North East,2,-0.06494415970834663,-0.11495719967939219,-0.01081344214521627
Dublin and Midlands,Dublin and North East,3,-0.0481295934975081,-0.08312531876519202,-0.015556784008697378
Dublin and Midlands,Dublin and North East,4,-0.05446116792353289,-0.08547882394716906,-0.021785676131255163
Dublin and Midlands,Dublin and North East,5,-0.028613880838899958,-0.060646685648733746,0.0021076902848279856
Dublin and Midlands,Dublin and North East,6,0.17492393442310372,0.14326568201620649,0.20277822791605404
Dublin and Midlands,Dublin and North East,7,-0.05557314168850188,-0.109379168062191,-0.0004998784123831217
Dublin and Midlands,Dublin and North East,8,0.03924599833983758,-0.0012722998394185717,0.0768164034834782
Dublin and Midlands,Dublin and North East,9,0.014207304651857502,-0.03387246297926562,0.06094888991339422
Dublin and Midlands,Dublin and North East,10,-0.06876213781757941,-0.11096320584207414,-0.024918884578216928
Dublin and Midlands,Dublin and North East,11,0.05949013278767992,0.019563467458004653,0.09943724072942212
Dublin and Midlands,Dublin and North East,12,-0.10989387571000703,-0.14688290041906987,-0.06801823243143584
Dublin and Midlands,Dublin and North East,13,-0.05691898902732087,-0.09180436943943632,-0.02161263786855954
Dublin and Midlands,Dublin and North East,14,0.0020238406190562276,-0.034644335314654155,0.04043205290838436
Dublin and Midlands,Dublin and North East,15,-0.005079986109265258,-0.04408967153888451,0.034591360544916044
Dublin and Midlands,Dublin and North East,16,-0.08938742239245613,-0.12192134353807027,-0.05320910649366743
Dublin and Midlands,Dublin and North East,17,0.047493850308669774,0.013049371960794118,0.08244680386296857
Dublin and Midlands,Dublin and North East,18,-0.05610118722933763,-0.08467991801813628,-0.02473507098740367
Dublin and Midlands,Dublin and North East,19,0.06183889970783976,0.03190793067446974,0.09274938295226667
Dublin and Midlands,Dublin and North East,20,0.03490335561981848,-0.004451970412926822,0.07378882750659288
Dublin and Midlands,Dublin and North East,21,-0.0968283952677379,-0.13156369123534575,-0.05580150156504413
Dublin and Midlands,Dublin and North East,22,0.03438466677901324,0.001376885115284203,0.06881365146547527
Dublin and Midlands,Dublin and North East,23,0.011858884225071756,-0.01783908685087976,0.04311037221481298
Dublin and Midlands,Dublin and North East,24,0.007932630508464822,-0.0162657466327593,0.033971908166666134
Dublin and Midlands,Dublin and North East,25,0.02252265341572035,-0.003240547889602005,0.049482787717350395
Dublin and Midlands,Dublin and North East,26,-0.02669076849860847,-0.04890657096480868,-0.0012055826596116506
Dublin and Midlands,Dublin and South East,-26,0.05731972981929084,0.021633147003427187,0.09247333907913347
Dublin and Midlands,Dublin and South East,-25,0.10499369599711686,0.07364244754386942,0.13543790974879089
Dublin and Midlands,Dublin and South East,-24,0.041374964105286655,0.00846118088426411,0.07516041307102032
Dublin and Midlands,Dublin and South East,-23,0.07546249682553172,0.03846750228880079,0.11099120056673868
Dublin and Midlands,Dublin and South East,-22,0.0045986532252107245,-0.0330646307696758,0.04216386837087399
Dublin and Midlands,Dublin and South East,-21,-0.009942695480941306,-0.046964464852802194,0.026404867286131683
Dublin and Midlands,Dublin and South East,-20,0.12605323301102422,0.09115087436058407,0.1558795876362296
Dublin and Midlands,Dublin and South East,-19,-0.06747484641326941,-0.09928282423699894,-0.03311460997959928
Dublin and Midlands,Dublin and South East,-18,0.11824079996447565,0.090757693384892,0.1452584605286975
Dublin and Midlands,Dublin and South East,-17,0.11797544434584091,0.0878601799183485,0.14559648688730153
