Region,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-27,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-25,2024-01-01,2024-01-08,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-12,2024-02-19,2024-02-26,2024-03-04,2024-03-11,2024-03-18,2024-03-25,2024-04-01,2024-04-08,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03,2024-06-10,2024-06-17,2024-06-24,2024-07-01,2024-07-08,2024-07-15,2024-07-22,2024-07-29,2024-08-05,2024-08-12,2024-08-19,2024-08-26,2024-09-02,2024-09-09,2024-09-16,2024-09-23,2024-09-30,2024-10-07,2024-10-14,2024-10-21,2024-10-28,2024-11-04,2024-11-11,2024-11-18,2024-11-25,2024-12-02,2024-12-09,2024-12-16,2024-12-23,2024-12-30,2025-01-06,2025-01-13,2025-01-20,2025-01-27,2025-02-03,2025-02-10,2025-02-17,2025-02-24,2025-03-03,2025-03-10,2025-03-17,2025-03-24,2025-03-31,2025-04-07,2025-04-14,2025-04-21,2025-04-28,2025-05-05,2025-05-12,2025-05-19,2025-05-26,2025-06-02,2025-06-09,2025-06-16,2025-06-23,2025-06-30,2025-07-07,2025-07-14,2025-07-21,2025-07-28,2025-08-04,2025-08-11,2025-08-18,2025-08-25,2025-09-01,2025-09-08,2025-09-15,2025-09-22,2025-09-29,2025-10-06,2025-10-13,2025-10-20,2025-10-27,2025-11-03,2025-11-10,2025-11-17,2025-11-24,2025-12-01,2025-12-08,2025-12-15,2025-12-22,2025-12-29,2026-01-05,2026-01-12,2026-01-19,2026-01-26,2026-02-02,2026-02-09,2026-02-16,2026-02-23,2026-03-02,2026-03-09,2026-03-16,2026-03-23,2026-03-30
HSE Dublin and Midlands,201.3623978201635,162.12534059945506,155.31335149863762,123.9782016348774,131.8801089918256,154.22343324250681,165.3950953678474,181.19891008174386,163.76021798365122,223.1607629427793,188.283378746594,205.44959128065395,195.36784741144413,133.5149863760218,153.133514986376,168.1198910081744,168.93732970027247,197.82016348773843,217.43869209809264,141.68937329700273,136.23978201634878,123.1607629427793,95.09536784741145,131.60762942779292,135.69482288828337,152.31607629427793,150.68119891008175,137.32970027247956,72.20708446866485,79.83651226158038,80.65395095367847,82.83378746594006,123.1607629427793,105.44959128065395,112.80653950953679,137.87465940054497,134.6049046321526,130.24523160762942,165.3950953678474,161.85286103542234,167.574931880109,131.8801089918256,148.77384196185287,176.56675749318802,196.45776566757493,173.56948228882834,133.5149863760218,129.42779291553134,194.82288828337875,195.36784741144413,75.20435967302453,31.880108991825615,119.89100817438693,116.07629427792915,130.24523160762942,150.95367847411444,115.80381471389646,138.41961852861036,112.26158038147139,134.6049046321526,147.95640326975476,139.50953678474116,143.05177111716623,117.43869209809264,131.60762942779292,139.50953678474116,148.77384196185287,133.2425068119891,100.0,102.99727520435968,88.8283378746594,127.52043596730246,108.99182561307902,132.1525885558583,125.34059945504087,112.80653950953679,97.82016348773843,90.19073569482289,67.84741144414168,70.29972752043597,90.46321525885558,104.08719346049047,94.00544959128065,91.28065395095368,89.3732970027248,71.38964577656675,97.00272479564033,79.83651226158038,57.76566757493188,95.09536784741145,95.64032697547684,112.80653950953679,123.433242506812,93.46049046321527,91.82561307901908,87.73841961852861,98.63760217983652,110.35422343324251,102.17983651226159,132.69754768392372,120.98092643051771,141.41689373297004,136.23978201634878,44.141689373297005,115.25885558583107,159.40054495912807,129.97275204359673,104.08719346049047,128.06539509536785,116.62125340599455,130.5177111716621,131.60762942779292,132.1525885558583,105.72207084468666,91.55313351498637,77.3841961852861,98.91008174386921,71.66212534059946,98.09264305177112,116.34877384196186,113.35149863760218,71.11716621253406,70.29972752043597,79.01907356948229,90.19073569482289,81.74386920980926,49.31880108991826,67.84741144414168,108.17438692098092,80.10899182561307,77.3841961852861,51.22615803814714,58.310626702997276,53.40599455040872,59.40054495912807,54.76839237057221,74.11444141689374,41.961852861035425,75.47683923705722,74.38692098092643,52.86103542234333,57.76566757493188,50.13623978201635,71.11716621253406,72.47956403269755,50.95367847411444,50.40871934604905,66.7574931880109,80.65395095367847,89.64577656675749,80.10899182561307,105.99455040871935,104.90463215258856,118.25613079019074,71.93460490463215,8.991825613079019,26.975476839237057,76.83923705722071,137.60217983651228,126.15803814713897,98.91008174386921,120.70844686648502,103.81471389645776,82.28882833787466,92.37057220708446,107.08446866485014,79.56403269754769,89.9182561307902,121.2534059945504,92.37057220708446
HSE Dublin and North East,173.1958762886598,114.87481590574374,84.83063328424153,70.69219440353461,60.382916053019144,61.56111929307806,121.64948453608247,121.06038291605302,86.89248895434463,73.04860088365243,75.40500736377025,96.02356406480118,101.32547864506627,78.05596465390279,48.60088365243004,67.15758468335788,63.62297496318115,93.0780559646539,93.66715758468335,81.2960235640648,95.72901325478645,59.79381443298969,18.556701030927837,16.200294550810014,32.1060382916053,14.727540500736376,9.425625920471282,28.276877761413843,32.98969072164948,27.098674521354933,24.742268041237114,70.10309278350515,70.39764359351989,60.08836524300442,45.36082474226804,55.081001472754046,48.60088365243004,65.09572901325478,81.59057437407952,81.00147275405007,89.8379970544919,74.8159057437408,85.71428571428571,99.85272459499264,102.20913107511046,106.33284241531665,98.379970544919,83.65243004418262,109.57290132547864,96.90721649484536,34.46244477172312,7.069219440353461,73.04860088365243,107.80559646539028,108.68924889543446,102.79823269513992,95.72901325478645,118.11487481590574,89.8379970544919,114.87481590574374,83.94698085419735,81.59057437407952,107.21649484536083,94.84536082474227,78.64506627393226,75.69955817378498,99.85272459499264,103.09278350515464,101.03092783505154,76.28865979381443,88.95434462444771,103.6818851251841,118.40942562592048,72.7540500736377,81.88512518409425,98.67452135493373,96.61266568483063,103.97643593519882,83.65243004418262,50.07363770250368,58.32106038291605,59.79381443298969,61.855670103092784,63.62297496318115,43.888070692194404,63.03387334315169,73.34315169366715,83.65243004418262,80.70692194403534,78.05596465390279,98.08541973490426,116.93667157584683,88.07069219440353,91.60530191458027,84.5360824742268,96.3181148748159,106.62739322533137,87.77614138438881,111.34020618556701,140.2061855670103,131.6642120765832,125.77319587628865,103.6818851251841,39.175257731958766,62.73932253313696,112.51840942562592,111.92930780559647,122.53313696612666,142.85714285714286,158.1737849779087,133.13696612665686,131.07511045655374,90.13254786450662,62.44477172312224,66.86303387334316,37.4079528718704,91.01620029455081,107.21649484536083,51.84094256259205,82.76877761413844,44.47717231222386,46.833578792341676,41.82621502209131,35.34609720176731,53.019145802650954,63.91752577319588,68.04123711340206,61.56111929307806,54.78645066273932,44.18262150220913,55.670103092783506,52.4300441826215,53.31369661266569,59.20471281296024,33.284241531664215,46.53902798232695,64.80117820324006,65.09572901325478,56.84830633284241,53.608247422680414,60.9720176730486,61.855670103092784,65.97938144329896,83.06332842415317,57.43740795287187,43.59351988217968,44.77172312223858,50.95729013254786,72.16494845360825,73.9322533136966,65.97938144329896,73.34315169366715,98.379970544919,96.3181148748159,55.081001472754046,6.185567010309279,16.49484536082474,95.72901325478645,91.60530191458027,82.47422680412372,76.28865979381443,76.87776141384388,94.84536082474227,64.2120765832106,67.15758468335788,63.62297496318115,42.415316642120764,50.662739322533135,85.71428571428571,66.56848306332843
HSE Dublin and South East,219.6314403911245,165.09966152688983,131.62843174125612,136.51748777735992,118.08950733358407,157.95411808950735,152.31289958631066,131.62843174125612,155.3215494546822,158.70628055660023,143.28694998119596,168.48439262880783,138.7739751786386,73.71192177510343,117.33734486649116,156.44979315532157,172.2452049642723,192.5535915757804,160.210605490786,106.80707032719069,122.97856336968786,71.8315156073712,78.60097781120723,99.6615268898082,78.60097781120723,72.58367807446409,99.6615268898082,85.37044001504326,82.73787138021814,113.57653253102671,109.06355772846936,95.14855208725085,94.02030838661152,98.15720195562243,80.48138397893946,83.49003384731103,89.50733358405417,131.25235050770968,104.92666415945845,103.79842045881911,114.3286949981196,106.80707032719069,121.09815720195563,112.82437006393381,142.91086874764952,136.51748777735992,126.36329447160588,148.17600601729976,128.2437006393381,142.1587062805566,95.52463332079729,33.09514855208725,59.79691613388492,97.78112072207597,113.20045129748027,106.80707032719069,120.72207596840919,156.82587438886802,150.80857465212486,102.67017675817978,108.31139526137646,113.57653253102671,130.5001880406168,101.54193305754043,119.2177510342234,143.28694998119596,123.73072583678075,135.01316284317414,121.09815720195563,103.42233922527267,90.25949605114705,77.47273411056788,79.35314027830012,60.549078600977815,81.6096276795788,85.7465212485897,88.75517111696126,101.54193305754043,78.97705904475367,91.3877397517864,64.30989093644227,61.67732230161715,69.19894697254607,84.99435878149681,70.70327190673186,94.39638962015796,97.40503948852952,99.28544565626176,127.49153817224521,121.47423843550207,111.69612636329448,132.00451297480257,122.60248213614142,124.10680707032719,86.12260248213614,79.35314027830012,122.97856336968786,101.54193305754043,110.56788266265514,153.44114328695,152.6889808198571,139.15005641218505,80.105302745393,37.23204212109816,127.49153817224521,126.73937570515233,133.50883790898834,184.27980443775857,140.65438134637083,154.94546822113577,91.76382098533284,128.61978187288454,95.90071455434375,110.56788266265514,84.24219631440391,71.0793531402783,49.266641594584435,58.66867243324558,60.549078600977815,60.92515983452426,70.70327190673186,65.06205340353517,73.33584054155698,66.94245957126739,87.62692741632193,77.47273411056788,83.11395261376458,57.916509966152695,65.81421587062806,67.6946220383603,63.557728469349385,75.59232794283565,90.25949605114705,78.97705904475367,69.57502820609253,72.95975930801053,85.37044001504326,103.79842045881911,93.64422715306507,86.49868371568259,118.46558856713051,130.5001880406168,88.37908988341482,77.84881534411433,101.16585182399399,107.93531402783002,104.55058292591201,99.6615268898082,162.84317412561114,141.03046257991727,55.66002256487402,122.60248213614142,109.06355772846936,105.3027453930049,61.30124106807071,37.608123354644604,53.02745393004889,118.84166980067695,157.95411808950735,136.89356901090636,141.03046257991727,173.7495298984581,174.87777359909742,133.50883790898834,168.86047386235427,108.6874764949229,139.15005641218505,110.94396389620158,129.7480255735239,100.78977059044755
HSE Mid West,241.96277495769883,131.9796954314721,160.7445008460237,137.05583756345177,186.12521150592218,225.04230118443317,254.65313028764805,273.2656514382403,264.80541455160744,259.72927241962776,257.1912013536379,304.56852791878174,291.0321489001692,280.87986463620985,244.50084602368867,283.41793570219966,293.5702199661591,310.4906937394247,262.26734348561763,255.49915397631136,306.2605752961083,270.72758037225043,277.4957698815567,263.1133671742809,284.26395939086296,333.33333333333337,310.4906937394247,298.64636209813875,296.10829103214894,320.6429780033841,277.4957698815567,271.57360406091374,247.88494077834181,263.9593908629442,297.8003384094755,342.6395939086295,319.79695431472084,325.7191201353638,354.4839255499154,352.79187817258884,305.41455160744505,329.9492385786802,280.03384094754654,241.96277495769883,287.6480541455161,337.56345177664974,308.79864636209817,287.6480541455161,332.48730964467006,352.79187817258884,201.35363790186128,97.2927241962775,247.03891708967853,269.03553299492387,302.8764805414552,356.17597292724196,378.17258883248735,423.8578680203046,352.79187817258884,327.4111675126904,356.17597292724196,336.7174280879865,311.336717428088,355.3299492385787,358.7140439932318,306.2605752961083,296.9543147208122,340.1015228426396,351.9458544839256,275.8037225042301,266.497461928934,364.6362098138748,369.7123519458545,357.02199661590527,263.9593908629442,256.34517766497464,238.5786802030457,307.1065989847716,318.1049069373943,392.55499153976314,329.10321489001694,270.72758037225043,269.03553299492387,315.5668358714044,137.05583756345177,0.0,87.1404399323181,167.51269035532997,210.65989847715738,236.04060913705584,267.3434856175973,329.10321489001694,307.1065989847716,282.5719120135364,231.81049069373944,315.5668358714044,382.4027072758037,336.7174280879865,343.48561759729273,304.56852791878174,360.4060913705584,306.2605752961083,356.17597292724196,174.2808798646362,369.7123519458545,411.16751269035535,390.01692047377327,297.8003384094755,332.48730964467006,322.3350253807107,295.26226734348563,362.94416243654825,348.5617597292724,310.4906937394247,275.8037225042301,219.12013536379018,325.7191201353638,269.8815566835872,265.65143824027075,305.41455160744505,335.8714043993232,293.5702199661591,296.9543147208122,323.18104906937396,297.8003384094755,296.10829103214894,284.26395939086296,302.8764805414552,230.11844331641288,337.56345177664974,312.1827411167513,232.65651438240272,272.419627749577,300.3384094754653,329.9492385786802,236.88663282571912,194.585448392555,327.4111675126904,321.4890016920474,324.02707275803726,278.34179357022,310.4906937394247,325.7191201353638,373.9424703891709,243.6548223350254,157.36040609137058,130.28764805414554,148.90016920473775,148.05414551607447,154.8223350253807,68.52791878172589,164.9746192893401,232.65651438240272,172.58883248730965,109.13705583756345,36.37901861252115,22.84263959390863,263.9593908629442,345.1776649746193,369.7123519458545,324.02707275803726,343.48561759729273,308.79864636209817,281.7258883248731,263.1133671742809,223.3502538071066,164.9746192893401,119.28934010152285,287.6480541455161,259.72927241962776
HSE South West,264.2357642357643,184.31568431568434,185.81418581418583,218.7812187812188,191.30869130869132,140.85914085914087,218.2817182817183,216.7832167832168,185.31468531468533,274.2257742257743,228.2717282717283,235.7642357642358,260.73926073926077,216.2837162837163,229.7702297702298,243.75624375624378,222.2777222777223,217.7822177822178,234.2657342657343,224.2757242757243,192.30769230769232,131.86813186813188,90.90909090909092,143.85614385614386,139.86013986013987,99.90009990009992,78.42157842157843,130.86913086913088,141.35864135864136,166.83316683316684,161.33866133866135,92.40759240759242,141.85814185814186,216.2837162837163,256.24375624375625,220.2797202797203,168.83116883116884,196.8031968031968,244.75524475524477,204.79520479520482,202.29770229770233,179.82017982017985,197.3026973026973,221.2787212787213,217.7822177822178,231.2687312687313,187.31268731268733,224.2757242757243,182.31768231768234,244.25574425574428,120.37962037962039,72.92707292707294,253.74625374625379,239.76023976023978,277.22277722277727,275.22477522477527,174.82517482517486,157.34265734265736,143.85614385614386,125.8741258741259,172.82717282717286,133.36663336663338,173.32667332667336,187.81218781218783,134.86513486513488,196.3036963036963,199.80019980019983,121.37862137862139,139.86013986013987,187.81218781218783,88.41158841158843,94.40559440559441,154.34565434565437,149.35064935064938,195.30469530469531,180.81918081918084,149.85014985014988,123.87612387612388,129.8701298701299,167.33266733266734,142.85714285714286,157.84215784215786,79.92007992007993,117.8821178821179,113.3866133866134,86.91308691308693,94.40559440559441,100.39960039960042,176.32367632367635,174.32567432567436,157.84215784215786,198.30169830169834,141.85814185814186,112.8871128871129,101.89810189810191,109.8901098901099,178.32167832167835,117.8821178821179,125.37462537462538,185.31468531468533,159.34065934065936,130.86913086913088,178.82117882117885,64.43556443556444,195.8041958041958,268.73126873126876,259.7402597402598,240.25974025974028,234.2657342657343,181.81818181818184,155.84415584415586,166.83316683316684,174.82517482517486,129.3706293706294,77.42257742257743,141.85814185814186,175.32467532467535,151.84815184815187,85.41458541458542,84.41558441558442,97.9020979020979,77.92207792207793,98.9010989010989,87.41258741258743,81.41858141858143,58.44155844155845,77.92207792207793,64.93506493506494,91.40859140859142,126.87312687312689,109.8901098901099,123.37662337662339,91.40859140859142,120.37962037962039,116.8831168831169,85.41458541458542,108.8911088911089,99.90009990009992,132.86713286713288,171.82817182817186,115.8841158841159,116.3836163836164,157.34265734265736,167.83216783216784,192.80719280719282,209.79020979020981,159.84015984015986,187.81218781218783,229.2707292707293,112.8871128871129,152.84715284715287,168.83116883116884,198.80119880119884,196.3036963036963,116.8831168831169,52.94705294705295,145.85414585414588,341.1588411588412,313.1868131868132,175.82417582417585,188.81118881118883,264.2357642357643,278.22177822177827,199.30069930069934,225.7742257742258,269.2307692307693,262.73726273726277,193.80619380619382,208.79120879120882,243.25674325674328
HSE West and North West,318.47133757961785,181.52866242038218,240.04777070063693,196.2579617834395,183.9171974522293,172.37261146496814,235.66878980891718,241.2420382165605,193.86942675159236,230.89171974522293,262.7388535031847,288.61464968152865,266.3216560509554,280.2547770700637,256.36942675159236,244.42675159235668,221.3375796178344,266.71974522292993,268.312101910828,234.0764331210191,215.36624203821657,175.55732484076432,204.61783439490446,214.5700636942675,239.2515923566879,175.95541401273886,130.57324840764332,177.94585987261146,177.94585987261146,187.5,210.19108280254778,237.2611464968153,202.22929936305732,191.48089171974522,204.61783439490446,239.64968152866243,188.69426751592357,163.61464968152868,166.0031847133758,185.5095541401274,181.92675159235668,163.21656050955414,168.78980891719746,175.55732484076432,200.2388535031847,219.34713375796179,151.671974522293,154.85668789808918,243.2324840764331,271.8949044585987,150.87579617834396,62.101910828025474,227.70700636942675,191.0828025477707,164.4108280254777,205.81210191082803,185.9076433121019,203.4235668789809,233.28025477707007,188.69426751592357,146.4968152866242,125.39808917197452,127.78662420382166,168.39171974522293,146.4968152866242,203.82165605095543,257.5636942675159,182.72292993630572,120.62101910828025,118.23248407643312,160.828025477707,197.05414012738854,110.27070063694268,147.69108280254778,150.87579617834396,229.29936305732485,189.88853503184714,183.12101910828025,135.35031847133757,172.37261146496814,184.31528662420382,178.7420382165605,172.77070063694268,167.9936305732484,152.86624203821657,141.32165605095543,146.89490445859872,143.71019108280254,163.21656050955414,200.63694267515925,211.38535031847132,203.82165605095543,182.72292993630572,168.39171974522293,156.44904458598725,141.32165605095543,188.69426751592357,196.656050955414,184.71337579617835,173.56687898089172,166.40127388535032,171.17834394904457,159.63375796178343,77.62738853503184,216.95859872611464,242.03821656050954,248.80573248407643,256.36942675159236,291.4012738853503,294.984076433121,218.15286624203821,225.3184713375796,256.36942675159236,199.84076433121018,187.89808917197453,122.21337579617834,176.7515923566879,149.28343949044586,134.156050955414,144.5063694267516,166.79936305732485,138.93312101910828,164.01273885350318,189.4904458598726,140.9235668789809,175.15923566878982,185.11146496815286,194.2675159235669,178.7420382165605,193.86942675159236,169.5859872611465,138.93312101910828,213.77388535031847,215.76433121019107,209.79299363057325,184.31528662420382,234.0764331210191,249.20382165605096,240.44585987261146,215.76433121019107,259.5541401273885,219.34713375796179,123.40764331210191,160.03184713375796,208.20063694267515,144.5063694267516,168.39171974522293,145.30254777070064,195.85987261146497,185.11146496815286,166.0031847133758,191.0828025477707,164.01273885350318,226.51273885350318,162.02229299363057,44.18789808917197,102.70700636942675,304.9363057324841,240.44585987261146,304.53821656050957,253.18471337579618,281.8471337579618,270.30254777070064,242.43630573248407,260.3503184713376,220.14331210191082,198.2484076433121,169.5859872611465,197.45222929936307,192.27707006369425
