Region,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-27,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-25,2024-01-01,2024-01-08,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-12,2024-02-19,2024-02-26,2024-03-04,2024-03-11,2024-03-18,2024-03-25,2024-04-01,2024-04-08,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03,2024-06-10,2024-06-17,2024-06-24,2024-07-01,2024-07-08,2024-07-15,2024-07-22,2024-07-29,2024-08-05,2024-08-12,2024-08-19,2024-08-26,2024-09-02,2024-09-09,2024-09-16,2024-09-23,2024-09-30,2024-10-07,2024-10-14,2024-10-21,2024-10-28,2024-11-04,2024-11-11,2024-11-18,2024-11-25,2024-12-02,2024-12-09,2024-12-16,2024-12-23,2024-12-30
HSE Dublin and Midlands,27.228624649458578,21.92291159191861,21.001780852762366,16.764579452643645,17.83309111006489,20.85439993449737,22.36505434671361,24.502077661556093,22.14398296931611,30.17624301475856,25.460053630278587,27.781303092952324,26.846241113417037,19.12166421517125,21.931378140665803,24.077687389307474,24.194758802869746,28.33128208207006,31.14099600756461,20.29237835079398,19.51190226037883,17.63875964338246,13.619307777744423,18.848497583525948,19.433854651337313,21.996259842260624,22.22358121330724,20.25440313111546,10.649636566955548,11.774881185350852,11.89544310875035,12.216941571149007,18.164663125524182,15.552488118535084,16.637545429130554,20.334777746715123,19.852530053117135,19.20953312831982,24.545734253439413,24.953196774458682,25.83538049880823,20.332234408818184,22.936776833088285,27.22166920850038,30.288307869334528,26.75957297193633,20.584286901489484,19.954155669811236,30.036255376663227,30.120272874220326,11.594414662879792,4.915023607090347,16.610041525103814,16.081540203850512,18.04454511136278,20.913552283880712,16.043790109475275,19.177047942619858,15.553038882597207,18.648546621366556,20.498301245753115,19.3280483201208,19.818799546998868,16.27029067572669,18.23329558323896,20.85474370221832,22.239629026193757,19.91790951247023,14.948615114676024,15.396666248903369,13.278606341646821,19.062539165308934,16.292768517358063,19.75498182729665,18.736683794961774,16.863015415465593,14.622759744328862,13.482265948113797,10.601481837997435,10.984667928527463,14.135309117329914,16.264120731385624,14.688800136984398,14.263037814173256,13.965004188205457,11.15497285765192,15.157138692076654,12.47483605836646,9.02616124359621,14.859105066108855,14.944257530671083,17.716090440995206,19.401421728139884,14.690259719099293,14.433287245878898,13.790856062827908,15.504005884297214,17.345641942376716,16.060779576274737,20.857599076388794,19.01596301830929,22.228118933564236,21.414372768366317,6.938256776950687,63.407957767132665
HSE Dublin and North East,74.69617626716727,49.54338221801911,36.58588225330642,30.488235211088686,26.042034242804917,26.550171496323063,52.465171425748444,52.21110279898937,37.47512244696318,31.50450971812497,32.520784225161265,41.413186161728795,41.10225158162175,27.566615987837075,17.164119388653273,23.71769224613907,22.469392654237012,32.87188925342082,33.07993918540449,28.710890613747296,33.80811394734736,21.117068096343118,6.553572857485795,5.7213731295510915,11.338721293110344,5.255722409466226,3.4541017458231646,10.362305237469494,12.089356110381075,9.930542519241598,9.067017082785807,25.689881734559787,25.79782241411676,22.019898629622674,16.62286465177398,20.18490707715412,17.81021212690069,23.85489018209123,30.225827877407717,32.1098588689207,35.61275256371205,29.657833282566756,33.97806883947609,39.582698751142246,40.51680373641994,42.1514874606559,38.99888313534369,33.16072697735811,43.43588181541273,38.41506751954513,13.661285409686263,2.8023149558330793,24.845869297163997,36.667694204685574,36.96824907521579,34.96454993834772,32.560110974106045,40.174167694204684,30.556411837237977,39.07213316892725,28.552712700369913,27.75123304562269,36.46732429099877,32.25955610357583,26.74938347718866,25.028091991909506,33.01370889205184,34.084950183534346,33.40325117986366,25.222863135815416,29.410442729792493,34.27972132744026,39.14899992508802,24.054236272379953,27.073189002921566,32.62416660424002,31.94246760056933,34.37710689939321,29.954027995918697,17.93022802572598,20.88344205349261,21.41080170130808,22.14910520824974,22.781936785628304,15.715317504901005,22.570992926502115,26.262510461210407,29.954027995918697,28.899308700287754,27.95006133421991,35.1221525445103,43.50322188739474,32.97846832590035,34.30201889416391,31.65491775763679,36.066752985181985,39.927108809284036,32.86817244521172,41.69184290030211,52.50083920778785,49.30225866781758,47.096341054044984,38.82415000239774,14.66935213158778,82.22557905337361
HSE Dublin and South East,41.905187122287245,31.50064579911661,25.114410090411877,26.047231036627174,22.531213623969514,30.137292108494254,29.0609602474766,25.114410090411877,29.635003906686016,30.280803023296606,27.338829269848357,32.1464449157272,27.197964636733193,15.500669181165593,24.67453461491666,32.899379486555546,36.220951453948175,40.49154398345298,33.690229954982364,22.460153303321576,25.860810317556883,15.105243946952186,16.528774790120455,20.957537413310625,16.528774790120455,15.866720007572994,24.174756318852936,20.70818748822497,20.06960901942508,27.550099653938062,26.45539370742397,23.080050372338842,22.806373885710318,23.80985433668157,19.52225604616803,20.25206001051076,21.71166793919622,31.8376979444516,25.932249623665147,28.9291695623939,31.86401285133241,29.767696216376333,33.75069782279288,31.444749524341194,39.83001606416551,38.048146924452844,35.21811946726214,41.29743770863477,35.74219862600116,39.620384400669906,26.623221263942213,9.22379319380675,16.40085693882409,26.8190113465048,31.048163135761328,29.294612393874477,33.11116400856939,43.01356819804809,41.36316749980164,28.159961913830042,29.707212568436088,31.151313179401733,35.79306514321987,27.850511782908832,32.69856383400778,33.98284734133791,29.344768439108062,32.02058319039451,28.72041166380789,24.528301886792452,21.406518010291595,18.37392795883362,18.819897084048026,14.360205831903945,19.355060034305318,20.336192109777016,21.049742710120068,24.082332761578044,19.081858407079647,22.080436156763593,15.538084702907712,14.902022756005058,16.719342604298358,20.53571428571429,17.08280657395702,22.80736409608091,23.53429203539823,23.988621997471558,30.80357142857143,29.34971554993679,26.9871997471555,35.7307249712313,33.864775755385935,34.280294476310914,23.78844677295515,21.918612528792735,33.96865543561718,28.047513662436202,30.540625987986086,42.38290953434804,42.17515017388555,38.435481685560724,22.126371889255225,10.284088342893273,123.25324059437244
HSE Mid West,77.54413448213532,42.296800626619266,51.51533409652346,43.923600650720005,59.64933421702717,72.12146773513285,81.61113454238718,87.57606796408989,84.86473459058865,83.23793456648791,82.42453455443754,97.60800144604445,98.40483683370415,110.13013523858127,95.86629242153612,111.12528706302629,115.10589436080633,121.74023985710642,102.83235519265119,100.17861699413116,120.08165348303139,106.14952794080124,108.80326613932127,103.1640724674662,111.4570043378413,128.06521271548561,113.57260587305325,109.24013589424467,108.31174947021427,117.28615156917488,101.50358236065794,99.33734737125366,90.67240741363652,96.55218809916244,108.93067375290121,125.33216724410508,116.97668942783142,119.14292441723569,139.25294415143415,249.1168831168831,215.66233766233765,232.98701298701297,197.74025974025972,170.85714285714283,203.11688311688312,238.36363636363635,218.05194805194805,203.11688311688312,234.77922077922076,249.1168831168831,142.1818181818182,68.7012987012987,200.63424947145876,218.49894291754754,245.9830866807611,289.2706131078224,307.13530655391116,344.23890063424943,286.522198731501,265.9090909090909,289.2706131078224,273.4672304439746,252.85412262156447,288.58350951374206,291.3319238900634,264.8283624085537,256.7810917276308,294.091164884637,304.33314575126616,238.49184018007875,230.44456949915585,315.30669667979737,319.69611705120985,308.72256612267864,228.2498593134496,221.66572875633085,206.30275745638713,265.5599324704558,112.490650710546,138.8182498130142,116.37995512341062,95.73672400897533,95.13836948391923,111.59311892296186,48.46671652954376,0.0,30.815258040388933,59.23709798055348,74.49513836948393,83.47045624532537,94.54001495886313,232.52550191670457,260.27589431844746,239.4825033122905,196.46169433403475,267.44602914815675,324.0900943028602,285.37136622243,291.10747408619744,258.12485386953466,305.44774374561604,259.55888083547654,301.8626763307614,147.70477749201152,1096.6721222040371
HSE South West,98.21557503867973,68.50954100051572,69.06652913873131,81.32026817947396,71.10881897885508,52.35688499226406,81.13460546673544,80.57761732851985,68.88086642599278,101.92882929345024,84.84785972150593,87.6328004125838,122.42240106753566,296.88818565400845,315.40084388185653,334.59915611814347,305.11603375527426,298.9451476793249,321.5717299578059,307.8586497890295,263.97679324894517,181.0126582278481,124.78902953586498,197.46835443037975,191.9831223628692,90.35474923643113,38.28253379273787,63.885502252849186,69.00609594487145,81.4418234826398,78.75960773919957,45.10999204876755,69.24993373972966,105.5817651736019,125.08878876225813,107.53246753246752,82.41717466207261,96.07209117413198,98.81197667791855,40.57048207025619,40.075720093789656,35.62286230559081,39.08619614085658,43.83591111493535,43.143244347882195,45.8149590208015,37.10714823499042,44.429625486695194,36.11762428205734,48.38772129842751,23.847527265687177,14.447049712822936,48.84615384615385,46.15384615384615,53.36538461538461,52.980769230769226,33.65384615384615,30.288461538461537,27.69230769230769,24.23076923076923,33.26923076923077,25.673076923076923,33.36538461538461,36.15384615384615,25.96153846153846,32.02130993418991,32.59166405515512,19.799435913506738,22.814164838608587,30.636164211845816,14.421811344406143,15.399561266060797,25.177060482607335,24.362268881228456,31.858351613914135,29.495455969915387,24.443748041366344,20.206831714196177,21.08826744719117,27.171421518496317,23.19709419191029,25.630355820432346,12.977395352117645,19.141658144373526,18.411679655816908,14.112917445427938,15.329548259688968,16.30285291109779,28.631378495609553,28.306943611806613,25.630355820432346,49.3554228264101,38.74775696638045,30.834482656345006,27.832895849090185,30.015868072548237,48.70756773590782,32.19884029600629,34.245376755498214,50.61766843143362,43.52300870519495,35.746170159125626,48.84400349987395,17.600213551630556,187.18986816152807
HSE West and North West,224.92268282777798,128.20592921183345,169.53547218143763,138.60860329261817,129.89284933304177,121.73940208053482,166.4427852925557,170.3789322420418,136.92168317140982,163.06894505013904,185.56121333291682,203.83618131267377,185.65733541836443,189.247311827957,173.11827956989245,165.0537634408602,149.46236559139786,180.10752688172042,181.18279569892474,158.06451612903226,145.4301075268817,118.54838709677419,138.17204301075267,144.89247311827955,161.55913978494624,116.79112438660124,83.12489669990634,113.28301470993334,113.28301470993334,119.36532422456064,133.81080932180046,151.04401961324444,128.74221805961105,121.89961985565535,130.26279543826786,152.56459699190128,120.12561291388904,104.1595504379924,104.68809692735906,110.75174373546888,108.61276156032034,97.4425213123224,100.76982691810902,104.81012658227849,119.54533712219066,130.9532420563162,90.55024541462156,92.45156290364247,145.21312322397316,162.32498062516146,90.07491604236633,37.07569103590804,128.29537612146308,107.66045548654245,92.6328502415459,115.9592822636301,104.74465148378192,114.61352657004831,131.43547273982057,106.31469979296067,82.53968253968254,70.65217391304348,71.99792960662526,94.87577639751554,82.53968253968254,138.09128630705396,174.5020746887967,123.79668049792534,81.72199170124483,80.10373443983404,108.96265560165978,133.50622406639008,74.70954356846474,100.06224066390044,102.21991701244815,155.35269709543573,128.6514522821577,124.0663900414938,73.81188352447025,94.00160460616358,100.51441785832272,97.47510500731512,94.21869838123555,91.61357308037189,83.36400962763699,77.06829015054981,80.10760300155742,78.37085280098164,89.00844777950824,109.41526263627354,115.27679456321677,120.44594456377213,109.50392863625754,100.91538521380598,93.75826569509633,84.69258097139745,113.08248839561237,117.85390140808546,110.69678188937581,104.01680367191348,99.7225319606877,102.58537976817155,95.66683090008557,46.521276871612685,455.0735160646216
