Region,CostPerPerson
HSE Dublin and Midlands,3.4055931531802393
HSE Dublin and North East,2.859954072254486
HSE Dublin and South East,2.7381517527157544
HSE Mid West,2.861576675487037
HSE South West,2.70316251110565
HSE West and North West,3.306777313822645
