"index","Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%"
"alpha[1]",3.82193782698698,0.184667443327514,0.000652898007206337,0.000666468953334474,3.45788835431623,3.69904323040649,3.82277083800064,3.94549039046719,4.18425959771962
"alpha[2]",2.17637416058796,0.120077881678623,0.000424539422027351,0.00042562551329701,1.93769021876456,2.09707233763962,2.17682255829121,2.25650573565798,2.41066396449281
"alpha[3]",2.8676775491543,0.136386782564313,0.000482200094077206,0.000485877737379388,2.59757138291575,2.77696729616791,2.86739564231851,2.95906226829103,3.13431887063572
"alpha[4]",7.96746334725729,0.298536094942979,0.00105548448581566,0.00106060238585218,7.3768341017647,7.76902634128364,7.96932975376228,8.16707131643607,8.54880974118319
"alpha[5]",4.26806209470923,0.222333928716702,0.000786069143417131,0.000807801403181836,3.8266096093642,4.12002924515873,4.26907039033668,4.41737180165584,4.70136419301132
"alpha[6]",6.18662918482025,0.261536902918339,0.000924672587920428,0.000941703716179451,5.6665703482245,6.01249155867759,6.18815685311552,6.36172602265428,6.695495816137
"amplitude[1]",0.852477551395387,0.24620535225923,0.00087046737073462,0.000871793473703868,0.373411911118154,0.686237278620971,0.851173424570678,1.01628309754223,1.34044706686382
"amplitude[2]",0.593976829296042,0.16141963652401,0.000570704598013975,0.00057210859071889,0.276778555744543,0.485751263911515,0.593637510923188,0.702143278986519,0.9109423722014
"amplitude[3]",0.540820378701209,0.179502011369797,0.00063463544738104,0.000633015376534167,0.193591299408664,0.418221293074157,0.538543124909399,0.660957970874053,0.898720094581032
"amplitude[4]",0.850410520145303,0.368810367729222,0.00130394155996619,0.0013419702620693,0.194812449186109,0.583627959897586,0.832107302372599,1.09431291839644,1.62105263331157
"amplitude[5]",0.796556720892897,0.288713324052174,0.00102075574628101,0.00102248325135043,0.24869748953617,0.596377069782838,0.790954663797823,0.989577071175661,1.37970867895989
"amplitude[6]",0.536879099046115,0.275832113824337,0.000975213790771042,0.000986406896899457,0.0985029573509601,0.328421213297646,0.507613146581594,0.711615780487485,1.14691650567199
"beta[1]",0.335834789001578,0.257334152490167,0.000909813621283451,0.000912591105733437,-0.175359217981554,0.164955226973775,0.337490571296674,0.509072318355255,0.835181498075236
"beta[2]",0.489200205812914,0.166823913486344,0.000589811602451358,0.00059641421780738,0.158066453857644,0.379010456803801,0.490545102658273,0.601082237671879,0.813736561069098
"beta[3]",0.46199170416284,0.189965521842425,0.000671629543432099,0.000673430621112871,0.0839399168009283,0.335914796803953,0.462977617084593,0.589676651654806,0.83339714960374
"beta[4]",-0.525960767173247,0.413354951205034,0.00146143044517057,0.00150094001020985,-1.34398490026416,-0.799621253875629,-0.522403473822134,-0.248841078329096,0.275197932109455
"beta[5]",0.670767554956049,0.31008291904079,0.00109630867391931,0.00110924675633239,0.0555738402095384,0.46507332448264,0.671954240225471,0.878265562505548,1.27621114671809
"beta[6]",-0.109255471258026,0.363982555247142,0.00128687266524431,0.00132677885468057,-0.828668732747837,-0.351994851021207,-0.107259061881065,0.132435144385988,0.606607508495079
"fullmod[1,1]",4.24418783689865,0.318589052287477,0.00112638239642135,0.00116360327019804,3.60846240525908,4.03209886807086,4.24664308742041,4.45972177912105,4.86140134416904
"fullmod[2,1]",2.69699056154573,0.206708127762833,0.000730823594337372,0.000740710593000768,2.28719692887862,2.56013976195761,2.69805902875874,2.83588293203157,3.09693302059762
"fullmod[3,1]",3.35023364673765,0.23522217018147,0.000831635958103667,0.000846267842238817,2.88001317669016,3.19416503781759,3.35219974353155,3.50799528061416,3.81103709781797
"fullmod[4,1]",7.50472855229387,0.513188628247206,0.00181439579530711,0.00187913457556281,6.4781418677301,7.16490183579588,7.50917774326341,7.8510941816459,8.49823231075528
"fullmod[5,1]",4.96741828236796,0.382790140746079,0.00135336752146453,0.00139007835976905,4.2078859389808,4.71289674441105,4.97007753920465,5.22455522271771,5.70832946114493
