,Date,Region,Value
101,2023-01-17,HSE West and North West,1.461195389467809
102,2023-01-18,HSE Dublin and Midlands,1.1135454451815496
103,2023-01-18,HSE Dublin and North East,0.5222891089242361
104,2023-01-18,HSE Dublin and South East,0.6796465426071447
105,2023-01-18,HSE Mid West,0.8715461955798082
106,2023-01-18,HSE South West,0.850645545452827
107,2023-01-18,HSE West and North West,1.3690479324743434
108,2023-01-19,HSE Dublin and Midlands,0.9372340830278043
109,2023-01-19,HSE Dublin and North East,0.4043528585219892
110,2023-01-19,HSE Dublin and South East,0.6693488677191577
111,2023-01-19,HSE Mid West,0.7020788797726233
112,2023-01-19,HSE South West,0.8911524761886759
113,2023-01-19,HSE West and North West,1.1979169409150505
114,2023-01-20,HSE Dublin and Midlands,0.7887613570035976
115,2023-01-20,HSE Dublin and North East,0.3875048227502397
116,2023-01-20,HSE Dublin and South East,0.6693488677191577
117,2023-01-20,HSE Mid West,0.8231269624920411
118,2023-01-20,HSE South West,0.7156224429999973
119,2023-01-20,HSE West and North West,1.0531137942110336
120,2023-01-21,HSE Dublin and Midlands,0.3340636335544649
121,2023-01-21,HSE Dublin and North East,0.01684803577174955
122,2023-01-21,HSE Dublin and South East,0.22654884753571491
123,2023-01-21,HSE Mid West,0.2420961654388356
124,2023-01-21,HSE South West,0.432073927849055
125,2023-01-21,HSE West and North West,0.6845239662371718
126,2023-01-22,HSE Dublin and Midlands,0.4825363595786715
127,2023-01-22,HSE Dublin and North East,0.1347842861739964
128,2023-01-22,HSE Dublin and South East,0.1750604730957797
129,2023-01-22,HSE Mid West,0.7504981128603905
130,2023-01-22,HSE South West,0.5400924098113187
131,2023-01-22,HSE West and North West,0.9083106475070163
132,2023-01-23,HSE Dublin and Midlands,0.6031704494733394
133,2023-01-23,HSE Dublin and North East,0.2779925902338676
134,2023-01-23,HSE Dublin and South East,0.4736930448474039
135,2023-01-23,HSE Mid West,0.9925942782992261
136,2023-01-23,HSE South West,0.7156224429999973
137,2023-01-23,HSE West and North West,1.2505726306256022
138,2023-01-24,HSE Dublin and Midlands,0.8722772653922138
139,2023-01-24,HSE Dublin and North East,0.4043528585219892
140,2023-01-24,HSE Dublin and South East,0.6487535179431836
141,2023-01-24,HSE Mid West,0.7747077294042739
142,2023-01-24,HSE South West,1.1476963708490522
143,2023-01-24,HSE West and North West,1.0004581045004817
144,2023-01-25,HSE Dublin and Midlands,0.6959659032384685
145,2023-01-25,HSE Dublin and North East,0.4464729479513631
146,2023-01-25,HSE Dublin and South East,0.6796465426071447
147,2023-01-25,HSE Mid West,0.7747077294042739
148,2023-01-25,HSE South West,1.0126732683962225
149,2023-01-25,HSE West and North West,1.0136220269281198
150,2023-01-26,HSE Dublin and Midlands,0.5196545410847232
151,2023-01-26,HSE Dublin and North East,0.2779925902338676
152,2023-01-26,HSE Dublin and South East,0.5560744439513002
153,2023-01-26,HSE Mid West,0.4599827143337877
154,2023-01-26,HSE South West,0.9451617171698078
155,2023-01-26,HSE West and North West,1.0267859493557576
156,2023-01-27,HSE Dublin and Midlands,0.6866863578619556
157,2023-01-27,HSE Dublin and North East,0.39592884063611444
158,2023-01-27,HSE Dublin and South East,0.6899442174951318
159,2023-01-27,HSE Mid West,0.5326115639654384
160,2023-01-27,HSE South West,0.823640924962261
161,2023-01-27,HSE West and North West,0.8688188802241026
162,2023-01-28,HSE Dublin and Midlands,0.36190226968400363
163,2023-01-28,HSE Dublin and North East,0.1010882146304973
164,2023-01-28,HSE Dublin and South East,0.20595349775974084
165,2023-01-28,HSE Mid West,0.0
166,2023-01-28,HSE South West,0.5400924098113187
167,2023-01-28,HSE West and North West,0.658196121381896
168,2023-01-29,HSE Dublin and Midlands,0.4825363595786715
