Region,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-27,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-25,2024-01-01,2024-01-08,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-12,2024-02-19,2024-02-26,2024-03-04,2024-03-11,2024-03-18,2024-03-25,2024-04-01,2024-04-08,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03,2024-06-10,2024-06-17,2024-06-24,2024-07-01,2024-07-08,2024-07-15,2024-07-22,2024-07-29,2024-08-05,2024-08-12,2024-08-19,2024-08-26,2024-09-02,2024-09-09,2024-09-16,2024-09-23,2024-09-30,2024-10-07,2024-10-14,2024-10-21,2024-10-28,2024-11-04,2024-11-11,2024-11-18,2024-11-25,2024-12-02,2024-12-09,2024-12-16,2024-12-23,2024-12-30,2025-01-06,2025-01-13,2025-01-20,2025-01-27,2025-02-03,2025-02-10,2025-02-17,2025-02-24,2025-03-03,2025-03-10,2025-03-17,2025-03-24,2025-03-31,2025-04-07,2025-04-14,2025-04-21,2025-04-28,2025-05-05,2025-05-12,2025-05-19,2025-05-26,2025-06-02,2025-06-09,2025-06-16,2025-06-23,2025-06-30,2025-07-07,2025-07-14,2025-07-21,2025-07-28,2025-08-04,2025-08-11,2025-08-18,2025-08-25,2025-09-01,2025-09-08,2025-09-15,2025-09-22,2025-09-29,2025-10-06,2025-10-13,2025-10-20,2025-10-27,2025-11-03,2025-11-10,2025-11-17,2025-11-24,2025-12-01,2025-12-08,2025-12-15,2025-12-22,2025-12-29,2026-01-05,2026-01-12,2026-01-19,2026-01-26,2026-02-02,2026-02-09,2026-02-16,2026-02-23,2026-03-02,2026-03-09,2026-03-16,2026-03-23,2026-03-30
HSE Dublin and Midlands,3.1736045187674162,2.013661346703302,1.6424795316427856,0.9279545376512913,0.7609227208740589,0.8722772653922138,1.289856807335295,1.1135454451815496,1.2434590804527303,1.17850226281714,1.4197704426064757,1.503286350995092,2.4126817978933572,1.2527386258292432,0.9186749922747784,1.6703181677723244,1.6610386223958116,2.35700452563428,2.3755636163873057,1.2712977165822692,1.2341795350762175,0.853718174639188,0.9372340830278042,1.4568886241125274,1.4568886241125274,2.384843161763819,1.3362545342178596,1.6239204408897598,1.1877818081936529,1.2156204443231917,1.289856807335295,0.9186749922747784,1.373372715723911,1.262018171205756,0.7702022662505718,1.4104908972299628,1.0857068090520108,1.596081804760221,2.5425954331645384,1.9765431651972505,1.7816727122904794,2.459079524775922,2.459079524775922,2.9416158843545936,3.284959063285571,2.8024227037069,2.672509068435719,2.6168317961766414,4.018043148030092,4.788245414280663,2.8024227037069,1.4476090787360145,4.871761322669279,5.066631775576051,5.094470411705589,6.161618130004574,5.697640861178929,6.477122672806013,6.486402218182526,8.379429474991161,6.560638581194629,6.978218123137711,6.495681763559039,5.391415863754003,4.649052233632969,5.530609044401697,6.365768128287859,4.630493142879944,4.426343144596659,3.9159681488884495,3.962365875771014,3.284959063285571,3.925247694264962,3.7210976959816784,4.101559056418708,4.073720420289169,3.8881295127589106,3.646861332969575,2.7560249768243352,3.433431789309778,3.4705499708158296,4.04588178415963,3.1550454280143905,3.813893149746807,3.1550454280143905,2.5982727054236157,2.35700452563428,2.162134072727509,2.588993160047103,3.6097431514635234,3.7210976959816784,3.3684749716741877,4.04588178415963,4.194354510183837,2.978734065860645,4.417063599220147,5.5213294990251836,5.437813590636567,5.131588593211641,6.096661312368984,6.616315853453707,6.272972674522729,6.764788579477914,2.9044977028485417,7.442195391963357,9.186749922747785,8.110322659072287,6.430724945923449,8.305193111979058,9.641447646196918,9.186749922747785,8.583579473274444,8.054645386813208,7.2658840298096115,6.291531765275756,4.500579507608763,5.066631775576051,4.04588178415963,3.7118181506051653,3.925247694264962,5.716199951931954,4.546977234491328,3.451990880062804,3.2942386086620843,3.3499158809211615,4.008763602653579,3.1550454280143905,3.0251317927432098,3.6097431514635234,3.6004636060870103,3.2756795179090585,2.9508954297311063,3.0158522473666967,1.8837477114321215,2.7931431583303867,1.6888772585253502,2.0693386189623797,1.5404045325011435,1.9951022559502765,2.5425954331645384,2.245649981116125,3.145765882637878,3.210722700273468,4.482020416855737,4.26859087319594,3.2756795179090585,3.2478408817795197,4.2964295093254785,5.020234048693486,5.539888589778209,4.49129996223225,6.105940857745497,6.337929492158319,5.948188586344777,5.038793139446512,0.9093954468982655,3.451990880062804,8.045365841436697,9.919834007492303,10.634359001483798,8.899084016075884,9.01043856059404,7.330840847445201,6.495681763559039,6.310090856028781,7.330840847445201,6.40288630979391,8.128881749825313,7.154529485291456,5.929629495591752
HSE Dublin and North East,5.163922964041237,4.894354391693244,3.630751708812028,3.1421586714312912,2.24078875764269,3.1590067072030408,3.4285752795510334,2.4766612584471837,2.2660608113003144,2.274484829186189,2.426117151131935,2.552477419420057,2.914710188512672,2.4092691153601855,2.0554603641534452,1.7690437560337027,1.4489310763704613,1.6932275950608298,1.8701319706642001,1.794315809691327,2.131276525126318,1.718499648718454,1.6763795592890802,1.6342594698597064,3.1421586714312912,1.5921393804303325,1.8195878633489513,1.6426834877455812,1.7858917918054522,0.9603380389897244,1.9880682210664469,2.6704136698223038,2.030188310495821,1.8448599170065758,1.8785559885500749,1.1372424145930946,1.4068109869410874,1.2467546471094666,1.7353476844902036,1.684803577174955,1.6174114340879568,1.5163232194574594,1.8448599170065758,2.0807324178110695,2.3755730438166864,1.979644203180572,2.030188310495821,2.325028936501438,2.1228525072404434,2.3081809007296883,1.2130585755659675,0.9771860747614739,2.215516703985066,3.2348228681759137,3.150582689317166,3.849776173844772,3.361183136464035,4.970170552666117,2.8220459917680496,3.36960715434991,3.445423315322783,3.302215011262912,3.361183136464035,3.5633595657250297,2.948406260056171,3.2432468860617885,3.580207601496779,3.588631619382654,3.580207601496779,2.619869562507055,3.0831905462301674,3.554935547839155,3.1253106356595417,2.4176931332460603,2.872590099083298,3.411727243779284,3.630751708812028,4.2541290323667615,3.36960715434991,2.426117151131935,2.3671490259308117,2.459813222675434,2.173396614555692,2.383997061702561,1.9880682210664469,1.8785559885500749,2.282908847072064,2.586173490963556,2.4766612584471837,2.990526349485545,3.1421586714312912,3.327487064920536,2.7546538486810515,3.150582689317166,3.2011267966324146,2.813621973882175,3.0073743852572945,3.3864551901216595,3.293790993377037,4.186736889279763,4.48157751528538,5.071258767296614,3.925592334817645,2.1902446503274415,4.169888853508014,6.275893324976708,6.713942255042196,6.334861450177831,7.472103864770926,8.525106100505273,6.38540555749308,6.478069754237702,6.638126094069323,5.930508591655841,4.506849568943005,3.748687959214275,4.296249121796135,4.464729479513631,3.5717835836109044,3.849776173844772,3.967712424247019,3.0494944746866683,3.361183136464035,2.552477419420057,2.847318045425674,2.881014116969173,4.296249121796135,4.287825103910261,3.4622713510945324,3.150582689317166,3.3864551901216595,2.2660608113003144,2.7546538486810515,3.3864551901216595,2.5440534015341822,3.8413521559588975,4.380489300654883,3.9087442990458956,3.9424403705893947,2.7546538486810515,3.3864551901216595,3.3864551901216595,3.9087442990458956,5.04598671363899,4.3299451933396345,3.403303225893409,3.7234159055566507,4.228856978709137,4.666905908774625,4.885930373807369,4.490001533171255,4.9448984990084925,5.896812520112342,6.183229128232084,4.599513765687627,1.010882146304973,1.9375241137511983,8.01124100946691,8.836794762282638,8.457713957418274,8.794674672853265,8.365049760673651,8.263961546043154,6.216925199775584,6.166381092460335,5.644091983536099,4.700601980318124,5.762028233938346,6.250621271319083,5.222891089242361
HSE Dublin and South East,10.297674887987041,10.586009784850678,8.011591062853919,7.537898018006514,8.186651535949698,9.175228325196453,8.07337711218184,5.251814192873391,6.971525899167227,7.476111968678592,8.536772482141258,6.209497957456185,5.49895839018508,3.7071629596753346,5.910865385704562,5.591637464176963,5.787293287048717,6.4566421547678745,5.694614213056834,4.901693246681831,4.098474605418843,4.129367630082803,3.3261489888198144,3.6144838856834514,4.59276300004222,4.2632374036266345,4.170558329634751,4.9943723206737145,4.757525798250013,5.612232813952938,5.95205608525651,4.767823473138,5.540149089737028,4.407404852058454,3.9131164574350756,4.170558329634751,4.551572300490272,3.6865676098993605,4.345618802730531,6.291879356560082,6.33307005611203,6.827358450735408,6.075628183912354,5.231218843097417,7.1877770718149545,7.455516618902617,6.199200282568198,7.156884047150993,5.262111867761378,6.693488677191577,5.056158370001637,1.00917213902273,6.539023553871771,7.661470116662358,7.352539870022747,7.980698038189956,9.000167852100674,9.63862369515587,9.803386493363663,8.269032935053595,7.1877770718149545,7.476111968678592,7.7644468655422285,7.331944520246773,7.846828264646125,9.484158571836065,8.763321329676971,8.90748877810879,8.825107379004894,7.846828264646125,9.08254925120457,7.5070049933425524,7.733553840878268,7.146586372263006,6.796465426071447,7.568791042670475,6.878846825175343,6.106521208576315,7.609981742222423,7.630577091998397,6.302177031448069,5.210623493321442,5.756400262384756,5.540149089737028,6.034437484360406,7.095097997823071,5.42687466596917,6.271284006784108,7.331944520246773,7.1362886973750195,7.7129584911022935,8.052781762405866,8.773619004564958,6.992121248943201,5.849079336376639,5.540149089737028,6.6111072780876805,5.921163060592549,6.33307005611203,8.413200383485412,7.815935239982164,7.414325919350669,5.849079336376639,3.841032733219166,8.650046905909115,8.783916679452945,8.402902708597425,7.877721289310086,7.177479396926968,8.969274827436713,7.270158470918851,6.858251475399369,8.17635386106171,6.291879356560082,5.818186311712678,5.241516517985404,5.107646744441572,5.179730468657482,4.304428103178583,4.5721676502662465,5.282707217537352,4.66484672425813,5.416576991081183,5.2003258184334555,5.39598164130521,4.932586271345793,5.1488374439935205,4.283832753402609,3.779246683891244,3.9028187825470884,3.4291257376996844,5.529851414849041,6.78616775118346,5.447470015745145,4.510381600938324,5.49895839018508,5.632828163728911,5.818186311712678,5.653423513504886,5.529851414849041,6.5596189036477455,6.477237504543849,5.42687466596917,5.910865385704562,7.043609623383136,6.477237504543849,6.96122822427924,7.939507338638008,9.381181822956194,9.175228325196453,6.899442174951317,7.836530589758138,8.166056186173723,7.486409643566579,6.878846825175343,3.48061411213962,5.818186311712678,10.297674887987041,11.965898219840941,10.864047006826327,9.751898118923728,11.626074948537369,11.636372623425355,9.957851616683469,9.731302769147753,9.772493468699702,8.670642255685088,8.814809704116907,9.999042316235418,8.866298078556841
HSE Mid West,7.674448444411089,5.834517587075938,6.173452218690308,6.996579181182349,6.560806083392445,6.827111865375164,7.166046496989534,7.311304196252835,5.786098353988171,6.149242602146424,5.9797752863392395,7.577609978235555,7.48077151206002,4.115634812460205,6.246081068321959,7.843915760218274,6.512386850304678,8.352317707639829,6.754483015743514,5.568211805093219,5.907146436707589,6.342919534497493,6.294500301409726,6.463967617216911,5.64084065472487,7.14183688044565,5.495582955461568,6.197661835234191,6.076613752514774,6.73027339919963,5.544002188549335,5.205067556934965,5.737679120900404,6.39133876758526,5.761888737444288,6.875531098462932,6.972369564638465,5.761888737444288,7.674448444411089,7.843915760218274,8.134431158744876,7.577609978235555,6.560806083392445,3.510394398863116,5.519792572005452,5.955565669795356,6.875531098462932,4.793504075688945,7.601819594779438,7.238675346621185,3.1714597672487463,1.7915116242473834,5.132438707303315,5.011390624583897,6.1008233690586575,6.585015699936329,5.955565669795356,6.996579181182349,7.0449984142701165,7.190256113533418,7.940754226393808,6.972369564638465,6.1008233690586575,6.633434933024096,5.931356053251473,6.706063782655747,6.246081068321959,6.270290684865842,7.48077151206002,5.326115639654383,7.432352278972253,8.15864077528876,8.037592692569342,7.7470772940427395,5.737679120900404,4.648246376425644,5.350325256198267,6.2218714517780755,6.851321481919047,6.003984902883123,5.616631038180986,4.866132925320596,5.2776964065666165,6.827111865375164,3.8735386470213697,3.413555932687582,5.253486790022733,6.560806083392445,6.560806083392445,6.657644549567979,6.270290684865842,7.0449984142701165,6.536596466848561,5.761888737444288,6.076613752514774,5.568211805093219,7.722867677498856,7.020788797726232,7.020788797726232,7.117627263901767,7.7470772940427395,7.287094579708952,6.463967617216911,3.897748263565253,7.238675346621185,8.037592692569342,8.909138888149151,7.48077151206002,8.763881188885849,7.940754226393808,6.778692632287397,7.238675346621185,8.23126962492041,7.190256113533418,4.406150210986808,5.64084065472487,6.39133876758526,4.527198293706226,4.164054045547973,5.253486790022733,4.285102128267391,5.229277173478849,6.173452218690308,5.471373338917685,7.069208030814,4.599827143337876,1.9609789400545685,0.16946731580718494,0.41156348124602055,0.5326115639654383,0.5810307970532055,0.3631442481582534,0.4357730977899041,0.6778692632287397,0.3631442481582534,0.07262884963165069,0.1210480827194178,0.4599827143337877,0.5084019474215548,0.7020788797726233,0.29051539852660274,0.4357730977899041,0.605240413597089,1.0894327444747602,0.8231269624920411,0.5326115639654383,0.4599827143337877,0.3147250150704863,0.605240413597089,0.5084019474215548,0.41156348124602055,0.38735386470213695,2.0093981731423356,2.0578174062301025,1.985188556598452,0.7504981128603904,1.210480827194178,4.285102128267391,6.609225316480212,6.05240413597089,4.381940594442924,6.076613752514774,4.454569444074576,5.132438707303315,4.575617526793993,4.043005962828555,2.493590504020007,4.018796346284671,6.149242602146424,5.447163722373801
HSE South West,4.455762380943379,4.604287793641491,4.307236968245267,3.5916145252452694,3.4160844920565907,3.159540597396214,3.389079871566025,3.4430891125471565,3.1325359769056482,3.969679212113192,3.2945636998490437,4.293734657999983,3.4160844920565907,3.564609904754703,3.3755775613207417,3.7806468686792307,3.4430891125471565,3.4835960432830055,3.9156699711320604,4.2802323477547,4.077697694075456,3.3755775613207417,3.9966838326037584,3.6996330072075327,3.9156699711320604,2.6464528080754617,1.7823049523773515,2.9705082539622527,3.7671445584339476,3.1325359769056482,2.902996702735838,3.4025821818113076,3.254056769113195,3.564609904754703,3.5511075945094204,3.4565914227924397,2.902996702735838,3.308066010094327,3.564609904754703,4.253227727264134,4.023688453094324,3.9021676608867772,3.9561769018679094,4.766315516584887,4.172213865792437,4.685301655113189,4.455762380943379,4.5232739321697935,3.8481584199056456,4.145209245301871,3.4835960432830055,2.1198627085094257,5.968021128415072,5.306407926396206,4.658297034622623,4.860831688301868,4.671799344867907,4.037190763339607,3.4295868023018734,3.68613069696225,4.1182046248113044,4.064195383830173,4.010186142849041,4.2802323477547,3.9291722813773435,3.9561769018679094,3.7806468686792307,3.4835960432830055,3.3620752510754586,4.131706935056588,3.240554458867912,3.0110151846981017,3.4565914227924397,4.091200004320739,3.6996330072075327,3.3755775613207417,3.308066010094327,3.3755775613207417,2.754471290037725,3.4025821818113076,3.0515221154339507,3.1325359769056482,2.5654389466037637,2.82198284126414,2.6059458773396127,2.6869597388113102,2.065853467528294,2.6464528080754617,2.82198284126414,2.82198284126414,3.281061389603761,3.8346561096603624,2.916499012981121,3.4025821818113076,2.794978220773574,3.0380198051886675,3.5376052842641372,3.6996330072075327,3.4160844920565907,3.8076514891697966,3.5511075945094204,3.68613069696225,3.5511075945094204,1.4177425757547115,4.293734657999983,5.036361721490547,4.941845549773566,5.306407926396206,5.076868652226396,4.914840929283,4.793320137075453,5.063366341981112,4.18571617603772,4.010186142849041,3.3620752510754586,3.8751630403962114,3.7806468686792307,3.5376052842641372,3.4025821818113076,3.159540597396214,3.227052148622629,3.159540597396214,3.4835960432830055,3.8211537994150797,3.1190336666603655,2.875992082245272,2.875992082245272,3.1055313564150824,3.0380198051886675,3.564609904754703,3.9831815223584752,4.374748519471681,4.064195383830173,3.9561769018679094,3.159540597396214,3.267559079358478,3.4295868023018734,2.9975128744528186,3.794149178924514,4.347743898981116,3.5106006637735714,4.212720796528286,4.145209245301871,4.806822447320736,6.035532679641486,5.292905616150923,4.631292414132058,4.752813206339605,5.198389444433942,4.442260070698096,4.482767001433945,4.833827067811302,5.022859411245264,5.319910236641489,4.145209245301871,0.9991709581509396,5.00935710099998,7.682814529566008,8.0068699754528,7.588298357849028,7.23723829147167,7.9663630447169504,8.047376906188648,7.898851493490535,8.263413870113176,8.128390767660346,7.9258561139811015,7.304749842698085,7.345256773433934,7.318252152943368
HSE West and North West,5.910601170009426,5.239241126199892,5.370880350476271,3.396291986330583,2.6986040976657732,2.8434072443697906,2.961882546218532,4.199291254416496,2.3695060369748253,3.6858982797386175,4.660028539383823,5.528847419607926,6.068568239141081,6.331846687693839,5.620994876601391,5.028618367357685,4.55471715996272,5.318224660765719,4.910143065508944,4.133471642278306,3.1988331499160143,4.251946944127048,4.48889754782453,5.199749358916978,4.765339918804926,4.1071437974230305,3.6990622021662554,4.028160262857203,5.147093669206426,4.7521759963772885,4.2914387114099615,5.1207658243511505,5.56833918689084,3.896521038580824,4.857487375798392,5.0154544449300476,4.778503841232564,4.330930478692875,4.3704222459757895,3.6727343573109796,3.8833571161531864,3.475275520896411,3.6464065124557035,4.423077935686341,3.60691474517279,4.028160262857203,3.29098060690948,3.870193193725548,5.18658543648934,5.489355652325012,2.8039154770868766,1.7508016828758433,6.0422403942858045,6.568797291391322,4.9364709103642195,6.160715696134546,5.212913281344616,5.278732893482806,4.686356384239099,4.041324185284841,3.409455908758221,3.4884394433240486,3.8043735815873587,4.673192461811461,3.6332425900280656,4.541553237535082,5.423536040186823,4.633700694528548,3.6464065124557035,3.1856692274883764,5.133929746778788,4.831159530943117,3.080357848067273,3.4357837536134967,2.9882103910738076,4.159799487133583,5.173421514061702,3.422619831185859,3.4884394433240486,3.396291986330583,3.3831280639029453,3.6858982797386175,3.778045736732083,3.8175375040149966,3.4489476760411346,3.211997072343652,4.199291254416496,3.1593413826331007,3.870193193725548,3.9228488834361,4.9364709103642195,4.462569702969255,3.5147672881793244,4.357258323548151,4.357258323548151,4.686356384239099,4.594208927245634,4.660028539383823,4.581045004817996,4.725848151522013,4.251946944127048,3.8438653488702723,4.186127331988859,3.027702158356721,7.042698498786287,8.016828758431492,7.503435783753614,6.83207573994408,8.47756604339882,8.056320525714407,6.081732161568719,6.015912549430529,6.542469446536046,5.673650566311943,5.1207658243511505,4.48889754782453,4.62053677210091,4.5678810823903575,4.910143065508944,3.9623406507190135,6.0422403942858045,5.291896815910444,4.646864616956186,5.160257591634064,4.225619099271772,4.528389315107444,4.317766556265237,5.449863885042099,4.4757336253968925,5.054946212212961,5.291896815910444,4.673192461811461,5.384044272903909,5.1207658243511505,4.831159530943117,5.752634100877771,5.56833918689084,5.594667031746115,6.529305524108408,6.13438785127927,7.174337723062666,7.029534576358649,6.147551773706908,6.068568239141081,7.253321257628493,6.608289058674235,6.555633368963684,6.529305524108408,8.082648370569682,7.4244522491877865,7.648238930457631,7.5165997061812515,7.898353456582751,9.004122940504336,7.345468714621959,2.777587632231601,6.266027075555649,12.123972555854523,11.505268201755541,11.623743503604283,10.6232853991038,9.767630441307336,9.17525393206363,8.767172336806855,8.72768056952394,8.938303328366148,8.54338565553701,7.964173068720941,8.253779362128975,7.832533844444562
